time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,11.572872709327106,11.572872709327104,1.7763568394002505e-15,1.5349316319435567e-16,3.1251792600821884e-16,2.700435180249986e-17,11.572872709327106,0.0
2.5,11.572708017604777,11.572707873546452,1.4405832438058042e-7,1.2448108442849698e-8,7.024686613135707e-5,6.070045664722144e-6,11.572708017604777,0.0
5.0,11.57248549937668,11.572485302490955,1.9688572550080607e-7,1.701326180200535e-8,7.312076428166999e-5,6.318501266267168e-6,11.57248549937668,0.0
7.5,11.572283132463088,11.572282917422683,2.1504040503828037e-7,1.8582366381534458e-8,7.398118745125613e-5,6.392963826102801e-6,11.572283132463088,0.0
10.0,11.57207859139186,11.572078434256017,1.57135842115963e-7,1.3578877889133235e-8,7.391183406508737e-5,6.387083658424882e-6,11.57207859139186,0.0
12.5,11.571874690226664,11.571874518494983,1.717316813198977e-7,1.4840437346330604e-8,7.336771726059177e-5,6.340175574365356e-6,11.571874690226664,0.0
15.0,11.57167054881844,11.571670386427499,1.6239094158265743e-7,1.4033491611912407e-8,7.27038229158752e-5,6.282915038857448e-6,11.57167054881844,0.0
17.5,11.571467175608934,11.571467026430188,1.4917874580078205e-7,1.2891947368198079e-8,7.23442305027072e-5,6.2519496797431974e-6,11.571467175608934,0.0
20.0,11.571268154049319,11.571268020036426,1.3401289322700904e-7,1.158152170037748e-8,7.245114823568211e-5,6.261297143159553e-6,11.571268154049319,0.0
22.5,11.571066299709015,11.571066175366866,1.2434214902157237e-7,1.0745954244916848e-8,7.203218091976932e-5,6.225198184335074e-6,11.571066299709015,0.0
25.0,11.570867615450894,11.570867497826981,1.176239123878986e-7,1.0165522266526685e-8,7.204166179163866e-5,6.226124452019438e-6,11.570867615450894,0.0
27.5,11.570669668236485,11.570669565596596,1.0263988947656344e-7,8.870695683096711e-9,7.189310505639877e-5,6.213391888090793e-6,11.570669668236485,0.0
30.0,11.570470461240742,11.570470372637171,8.860357070261671e-8,7.657732760255924e-9,7.178996354989042e-5,6.204584661477294e-6,11.570470461240742,0.0
32.5,11.570274746901633,11.570274663446124,8.3455509169994e-8,7.212923720099411e-9,7.154810368594777e-5,6.183786059627271e-6,11.570274746901633,0.0
35.0,11.570079094506664,11.570079018722975,7.578368865779339e-8,6.549971529042925e-9,7.149788095166796e-5,6.179549886190001e-6,11.570079094506664,0.0
37.5,11.569881534054302,11.569881469231833,6.48224691701671e-8,5.602690829579488e-9,7.143454269548478e-5,6.174180996169006e-6,11.569881534054302,0.0
40.0,11.569688076602088,11.569688018442777,5.815931025665577e-8,5.026869339223935e-9,7.133109076820877e-5,6.165342600071035e-6,11.569688076602088,0.0
42.5,11.56949504934169,11.569494995353306,5.398838354153668e-8,4.666442512079094e-9,7.120163236820408e-5,6.154255830919387e-6,11.56949504934169,0.0
45.0,11.56930016556665,11.569300116202296,4.9364354381964404e-8,4.266840143787262e-9,7.115621457837184e-5,6.150433782516239e-6,11.56930016556665,0.0
47.5,11.569108447065625,11.569108405453875,4.161175048977839e-8,3.596798377348839e-9,7.111952182180196e-5,6.147364090086011e-6,11.569108447065625,0.0
50.0,11.568917636492317,11.56891759940925,3.708306728356092e-8,3.2054050732099833e-9,7.10482765967001e-5,6.1413071498226905e-6,11.568917636492317,0.0
52.5,11.568722877626545,11.568722844027514,3.3599031112885314e-8,2.9042990715824405e-9,7.099202106912153e-5,6.136547812586756e-6,11.568722877626545,0.0
55.0,11.568532966958406,11.568532938705768,2.825263756278673e-8,2.4421970913235772e-9,7.095666748236119e-5,6.13359253805343e-6,11.568532966958406,0.0
57.5,11.56834394953599,11.568343926879779,2.2656211129401527e-8,1.95846624445414e-9,7.093798780862448e-5,6.132078032782715e-6,11.56834394953599,0.0
60.0,11.568153252871298,11.568153234152641,1.871865684677232e-8,1.6181197151867102e-9,7.08881643731883e-5,6.127872169708104e-6,11.568153252871298,0.0
62.5,11.567965294533417,11.567965280390379,1.414303874014422e-8,1.2226038356829862e-9,7.087421500193825e-5,6.126765874326293e-6,11.567965294533417,0.0
65.0,11.567777922064415,11.567777913375178,8.689237773751302e-9,7.511587646558656e-10,7.085027326641904e-5,6.1247954225745474e-6,11.567777922064415,0.0
67.5,11.567587750891809,11.56758774829368,2.5981279350162367e-9,2.246041258529405e-10,7.083480683093163e-5,6.123559064894113e-6,11.567587750891809,0.0
70.0,11.567401674163463,11.56740167544651,-1.2830465578872463e-9,-1.1091916698570375e-10,7.080242404683965e-5,6.120858083884251e-6,11.567401674163463,0.0
72.5,11.567216052359317,11.5672160581556,-5.796282565029287e-9,-5.010957294125274e-10,7.07918882978132e-5,6.120045478304529e-6,11.567216052359317,0.0
75.0,11.567030013333527,11.56703002400973,-1.0676203032744525e-8,-9.229856774330031e-10,7.077753797350517e-5,6.1189032873536775e-6,11.567030013333527,0.0
77.5,11.56684563662015,11.56684565178811,-1.5167961109341377e-8,-1.3113308144547418e-9,7.076016882081329e-5,6.117499190685969e-6,11.56684563662015,0.0
80.0,11.5666587784654,11.566658797411138,-1.894573919969389e-8,-1.637961278408829e-9,7.073994754219212e-5,6.115849779704274e-6,11.5666587784654,0.0
82.5,11.566475381268237,11.56647540402237,-2.2754132800173466e-8,-1.967248625888531e-9,7.072905282163629e-5,6.115004829922615e-6,11.566475381268237,0.0
85.0,11.566292617044294,11.566292644294037,-2.7249743794754977e-8,-2.3559618191398054e-9,7.071825987218544e-5,6.11416831768321e-6,11.566292617044294,0.0
87.5,11.566110705294093,11.56611073614311,-3.084901578631616e-8,-2.6671900842342624e-9,7.070308552233711e-5,6.112952514796056e-6,11.566110705294093,0.0
90.0,11.565926881756061,11.565926916069932,-3.431387085583992e-8,-2.966806828942189e-9,7.069108436206194e-5,6.112012040606025e-6,11.565926881756061,0.0
92.5,11.565745691399036,11.565745729752882,-3.835384632111527e-8,-3.3161585378483146e-9,7.068114582391103e-5,6.111248484088118e-6,11.565745691399036,0.0
95.0,11.565561931139719,11.565561973552088,-4.2412368728150796e-8,-3.6671256425472534e-9,7.067286790638622e-5,6.110629844634088e-6,11.565561931139719,0.0
97.5,11.565381875267402,11.565381921423624,-4.615622195558444e-8,-3.99089476278251e-9,7.066093037742757e-5,6.109692800419858e-6,11.565381875267402,0.0
100.0,11.565202327064949,11.565202376942882,-4.9877932895014965e-8,-4.312759213757148e-9,7.065317829269601e-5,6.109117358660736e-6,11.565202327064949,0.0
102.5,11.56502329147172,11.5650233452598,-5.3788079767969066e-8,-4.650927059319758e-9,7.064526717059196e-5,6.108527876695865e-6,11.56502329147172,0.0
105.0,11.564841109626437,11.564841167560848,-5.7934411046289824e-8,-5.009529356876845e-9,7.063915280388238e-5,6.10809540176762e-6,11.564841109626437,0.0
107.5,11.564663150452834,11.564663212025106,-6.157227261383014e-8,-5.324173459511371e-9,7.062982150384354e-5,6.107382513867506e-6,11.564663150452834,0.0
110.0,11.564485684200971,11.564485749540555,-6.53395844096849e-8,-5.650020778610997e-9,7.06244878920629e-5,6.107015030382873e-6,11.564485684200971,0.0
112.5,11.564308736833606,11.564308805993026,-6.915941952456706e-8,-5.9804196773376205e-9,7.061810936072552e-5,6.10655690433091e-6,11.564308736833606,0.0
115.0,11.564128498416512,11.56412857139767,-7.298115889398105e-8,-6.310995152291367e-9,7.061139728670219e-5,6.106071659128578e-6,11.564128498416512,0.0
117.5,11.563952592749859,11.563952669303589,-7.65537304658892e-8,-6.6200315032323265e-9,7.06044303698161e-5,6.10556207348016e-6,11.563952592749859,0.0
120.0,11.563777180769105,11.56377726091805,-8.01489452584292e-8,-6.9310350766459945e-9,7.059905846560162e-5,6.105190143494799e-6,11.563777180769105,0.0
122.5,11.563602286275225,11.56360237012768,-8.385245564568322e-8,-7.251412974070133e-9,7.059356468543348e-5,6.104807389408454e-6,11.563602286275225,0.0
125.0,11.563424480471378,11.563424567868832,-8.739745460673021e-8,-7.558094468842632e-9,7.058701920743783e-5,6.104335210269854e-6,11.563424480471378,0.0
127.5,11.563250592585819,11.563250683558323,-9.097250419642933e-8,-7.867381534977674e-9,7.058167061777375e-5,6.103964456415884e-6,11.563250592585819,0.0
130.0,11.563077211198216,11.563077305773016,-9.457479954733117e-8,-8.179033817722896e-9,7.05764816002028e-5,6.103607224195761e-6,11.563077211198216,0.0
132.5,11.562904336732236,11.562904434899425,-9.816718815613967e-8,-8.489838305095107e-9,7.057136229830666e-5,6.103255742946902e-6,11.562904336732236,0.0
135.0,11.562729797888931,11.562729899458498,-1.0156956697926489e-7,-8.784220400774996e-9,7.05653380187369e-5,6.102826862876307e-6,11.562729797888931,0.0
137.5,11.562557904408886,11.5625580096055,-1.0519661408636694e-7,-9.098039980085611e-9,7.05609548777957e-5,6.102538509311189e-6,11.562557904408886,0.0
140.0,11.562386522599207,11.562386631404923,-1.0880571643667736e-7,-9.410316479561695e-9,7.055605933269431e-5,6.102205560659065e-6,11.562386522599207,0.0
142.5,11.562215790608134,11.56221590283792,-1.1222978635316849e-7,-9.70659849164306e-9,7.055139175441849e-5,6.101891975734153e-6,11.562215790608134,0.0
145.0,11.562044085611204,11.562044201245431,-1.1563422752658425e-7,-1.0001192407706641e-8,7.054636457223747e-5,6.101547792922828e-6,11.562044085611204,0.0
147.5,11.561872908697941,11.56187302788545,-1.1918750963957336e-7,-1.030866803162221e-8,7.054200889608746e-5,6.1012614005659104e-6,11.561872908697941,0.0
150.0,11.561702084977764,11.561702207735244,-1.2275748062506864e-7,-1.0617595897456022e-8,7.053740868347663e-5,6.100953662793872e-6,11.561702084977764,0.0
152.5,11.561531852199037,11.561531978495857,-1.262968201132253e-7,-1.0923882901313227e-8,7.053276737803603e-5,6.100642049835333e-6,11.561531852199037,0.0
155.0,11.561362086620417,11.561362216428748,-1.298083311951359e-7,-1.1227771453102297e-8,7.052797108430076e-5,6.10031677547064e-6,11.561362086620417,0.0
157.5,11.561192812611896,11.561192945927504,-1.333156074423414e-7,-1.1531302141843859e-8,7.052361078110212e-5,6.100028943740925e-6,11.561192812611896,0.0
160.0,11.561024038344973,11.561024175181458,-1.3683648525386616e-7,-1.1836017709159187e-8,7.051920330839931e-5,6.0997367598670384e-6,11.561024038344973,0.0
162.5,11.560855755318414,11.56085589564682,-1.4032840667255186e-7,-1.2138236964681069e-8,7.051459979606826e-5,6.0994273510963045e-6,11.560855755318414,0.0
