time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,11.572872709327106,11.572872709327104,1.7763568394002505e-15,1.5349316319435567e-16,3.1251792600821884e-16,2.700435180249986e-17,11.572872709327106,0.0
10.0,11.572214256126852,11.572213682839957,5.732868952890158e-7,4.9539948241581495e-8,1.7137105320091355e-5,1.4808838603224269e-6,11.572214256126852,0.0
20.0,11.571351124374567,11.571349496717446,1.6276571219719926e-6,1.4066266803911956e-7,2.6947206608921498e-5,2.3287865279758328e-6,11.571351124374567,0.0
30.0,11.570528067549596,11.570526619966788,1.4475828074012043e-6,1.2510948497338315e-7,2.7395887862498337e-5,2.3677301245508524e-6,11.570528067549596,0.0
40.0,11.569710674370018,11.569709225322871,1.4490471471617639e-6,1.2524489055476453e-7,2.7383417643626007e-5,2.366819570024992e-6,11.569710674370018,0.0
50.0,11.568902653403773,11.568901203225401,1.4501783720533012e-6,1.2535141970674577e-7,2.7389245380181863e-5,2.3674886202040494e-6,11.568902653403773,0.0
60.0,11.568102792384078,11.568101351377226,1.441006851621296e-6,1.2456725856291582e-7,2.7380800339894464e-5,2.366922288927166e-6,11.568102792384078,0.0
70.0,11.567308404024196,11.567306967070863,1.436953333211477e-6,1.2422538442145882e-7,2.7378147590008714e-5,2.3668555063755387e-6,11.567308404024196,0.0
80.0,11.566520930353727,11.5665195002056,1.430148127923303e-6,1.2364548826174701e-7,2.737440119975685e-5,2.3666927475070663e-6,11.566520930353727,0.0
90.0,11.565744499745923,11.56574307604202,1.423703903213891e-6,1.230966068155117e-7,2.7369643400802147e-5,2.3664402582473963e-6,11.565744499745923,0.0
100.0,11.564975373440994,11.564973956130444,1.4173105498116456e-6,1.2255197300865025e-7,2.7365117950023385e-5,2.3662063313050776e-6,11.564975373440994,0.0
110.0,11.564216238889111,11.564214828000889,1.4108882222529928e-6,1.2200465583723178e-7,2.736044891332532e-5,2.365957912592063e-6,11.564216238889111,0.0
120.0,11.56346475161003,11.56346334708789,1.4045221412573028e-6,1.2146205064202276e-7,2.7355852809957155e-5,2.3657142039671355e-6,11.56346475161003,0.0
130.0,11.562722713318408,11.562721315142063,1.3981763444803619e-6,1.209210303789337e-7,2.7351206777494493e-5,2.3654642125068237e-6,11.562722713318408,0.0
140.0,11.561988398198624,11.56198700634383,1.391854793197922e-6,1.2038195726046353e-7,2.7346591006462257e-5,2.3652152263639097e-6,11.561988398198624,0.0
150.0,11.561263179750348,11.561261794183922,1.3855664260375988e-6,1.1984559165337834e-7,2.7341943649194207e-5,2.364961615706825e-6,11.561263179750348,0.0
160.0,11.56054564106816,11.560544261770978,1.3792971813586519e-6,1.1931073360921475e-7,2.7337319047594658e-5,2.36470837072607e-6,11.56054564106816,0.0
170.0,11.559836941772437,11.559835568710565,1.3730618722007648e-6,1.187786539824875e-7,2.733266704350968e-5,2.3644509158032154e-6,11.559836941772437,0.0
180.0,11.559135814305412,11.55913444746065,1.3668447618186974e-6,1.1824800606003011e-7,2.7328035893366563e-5,2.364193684751571e-6,11.559135814305412,0.0
