time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,11.572872709327106,11.572872709327104,1.7763568394002505e-15,1.5349316319435567e-16,3.1251792600821884e-16,2.700435180249986e-17,11.572872709327106,0.0
2.5,11.572708013796927,11.572707926228086,8.756884106730922e-8,7.566840964354244e-9,1.353087840635284e-5,1.1692058928836182e-6,11.572708013796927,0.0
5.0,11.572481899956,11.57248174924575,1.5071024961343937e-7,1.3023157082147815e-8,1.547252838875379e-5,1.3370103770750004e-6,11.572481899956,0.0
7.5,11.572275642839228,11.572275466095244,1.7674398478106923e-7,1.527305348023196e-8,1.6648195119085227e-5,1.4386275986596388e-6,11.572275642839228,0.0
10.0,11.572066792181744,11.572066662905462,1.2927628212366926e-7,1.117140822337892e-8,1.7124153312159782e-5,1.4797834837705144e-6,11.572066792181744,0.0
12.5,11.571858025446875,11.571857871776583,1.5367029249091502e-7,1.3279655881794373e-8,1.7617894612495538e-5,1.522477598131021e-6,11.571858025446875,0.0
15.0,11.571648958977692,11.571648805397768,1.535799238894242e-7,1.3272086323554735e-8,1.8166533565013283e-5,1.569917444731941e-6,11.571648958977692,0.0
17.5,11.571439672745237,11.571439524601704,1.4814353299641425e-7,1.2802515260511946e-8,1.8531589426714572e-5,1.6014938461255523e-6,11.571439672745237,0.0
20.0,11.571234160310802,11.571234016319252,1.4399154935063052e-7,1.2443923211278522e-8,1.8818789772007394e-5,1.6263424895985273e-6,11.571234160310802,0.0
22.5,11.571025294924187,11.571025149725989,1.4519819835356884e-7,1.2548429776336443e-8,1.9035955868611988e-5,1.6451399407935277e-6,11.571025294924187,0.0
25.0,11.570819394617478,11.570819243431314,1.5118616403242413e-7,1.3066158832515613e-8,1.9181964415526654e-5,1.6577879025965727e-6,11.570819394617478,0.0
27.5,11.570614119352733,11.570613975662699,1.436900340934244e-7,1.2418531342523287e-8,1.9367308099994752e-5,1.6738357964597104e-6,11.570614119352733,0.0
30.0,11.570408242234542,11.570408100535445,1.4169909690053828e-7,1.224668083735415e-8,1.9445315840823257e-5,1.680607583909059e-6,11.570408242234542,0.0
32.5,11.570204760429416,11.570204615667436,1.4476198018087416e-7,1.2511617830305493e-8,1.9552188556816426e-5,1.689874030897511e-6,11.570204760429416,0.0
35.0,11.57000161914932,11.570001474028615,1.4512070478645e-7,1.2542842219335831e-8,1.9611318843132895e-5,1.6950143559767981e-6,11.57000161914932,0.0
37.5,11.56979692830243,11.56979678740042,1.409020100595626e-7,1.217843415340189e-8,1.970302947168024e-5,1.7029710714698907e-6,11.56979692830243,0.0
40.0,11.569595175885947,11.569595036453013,1.3943293453166916e-7,1.205166925998273e-8,1.9723352936486918e-5,1.70475739527996e-6,11.569595175885947,0.0
42.5,11.569391535351492,11.569391393412328,1.4193916442195587e-7,1.2268507292561223e-8,1.9771351577102274e-5,1.7089361628646442e-6,11.569391535351492,0.0
45.0,11.569190276195853,11.56919013554366,1.4065219211545354e-7,1.2157479370431997e-8,1.9801170918240948e-5,1.7115433704105273e-6,11.569190276195853,0.0
47.5,11.568989920133026,11.568989782739301,1.3739372484167234e-7,1.187603462274367e-8,1.983899974240284e-5,1.7148428583102026e-6,11.568989920133026,0.0
50.0,11.568787546700536,11.568787409151128,1.3754940830779105e-7,1.188969956899422e-8,1.984644869636608e-5,1.7155167398701487e-6,11.568787546700536,0.0
52.5,11.568588206044637,11.568588067588848,1.3845578905602451e-7,1.1968252874942922e-8,1.9864807719399677e-5,1.7171332720634165e-6,11.568588206044637,0.0
55.0,11.568389338858543,11.568389202201015,1.3665752796043762e-7,1.1813012508266918e-8,1.9883022037130366e-5,1.7187372809404625e-6,11.568389338858543,0.0
57.5,11.56819053674129,11.568190401906573,1.3483471583697337e-7,1.1655644450938976e-8,1.9893464594176547e-5,1.7196695136541598e-6,11.56819053674129,0.0
60.0,11.56799305377691,11.567992918905457,1.34871452672769e-7,1.1659019161386335e-8,1.98965504064555e-5,1.719965625321615e-6,11.56799305377691,0.0
62.5,11.567793622349166,11.567793487303703,1.3504546281239982e-7,1.1674262804229995e-8,1.9903495203838323e-5,1.7205956341911602e-6,11.567793622349166,0.0
65.0,11.567597032679892,11.567596899410646,1.3326924630518988e-7,1.1520910170771663e-8,1.991379539519952e-5,1.7215153103052074e-6,11.567597032679892,0.0
67.5,11.567401209255499,11.56740107744885,1.3180664915068974e-7,1.1394663915108819e-8,1.991516236457989e-5,1.7216626279587365e-6,11.567401209255499,0.0
70.0,11.5672042433108,11.567204111194155,1.3211664473544715e-7,1.1421657468514824e-8,1.9916949680740962e-5,1.7218464601987761e-6,11.5672042433108,0.0
72.5,11.567009328495086,11.567009196951373,1.315437128113217e-7,1.1372318382009645e-8,1.992020998543403e-5,1.7221573372782719e-6,11.567009328495086,0.0
75.0,11.566815277296623,11.56681514733107,1.2996555298627754e-7,1.1236070592514285e-8,1.992493401781896e-5,1.7225946416666371e-6,11.566815277296623,0.0
77.5,11.566618174868605,11.566618045694138,1.2917446667870536e-7,1.116786814657455e-8,1.9923504548610007e-5,1.722500410007382e-6,11.566618174868605,0.0
80.0,11.566425028352908,11.56642489940679,1.289461177833573e-7,1.1148312245769131e-8,1.9923550077793173e-5,1.722533110183514e-6,11.566425028352908,0.0
82.5,11.5662323688995,11.56623224082472,1.2807478100285152e-7,1.107316340515797e-8,1.9925228512036272e-5,1.7227069175623098e-6,11.5662323688995,0.0
85.0,11.566040517655281,11.566040390562879,1.27092402379958e-7,1.0988410613464005e-8,1.99265155429235e-5,1.7228467696015897e-6,11.566040517655281,0.0
87.5,11.565848263760762,11.565848137184107,1.2657665493520653e-7,1.094400099747191e-8,1.9924992252510887e-5,1.722743701812327e-6,11.565848263760762,0.0
