# operator_residual.csv, from analysis/reduce_run.jl
# run: a4_float32
# generated: 1788996443 (unix)
# geometry: column
# region tags summed: upper, lower
# Column geometry: no horizontal remapping, so the maxima are over the model's own levels.
# operator residual = max |q_tag_res + sum of the region ledgers|, summed then reduced.
time,geometry,remapped,max_abs_operator_residual,max_abs_q_tag_res,max_abs_ledger_sum,max_abs_q_tag_fix_upper,max_abs_q_tag_fix_lower
0.0,column,false,7.899135234801236e-10,7.899135234801236e-10,0.0,0.0,0.0
60.0,column,false,3.015267338923877e-6,3.015267338923877e-6,0.0,0.0,0.0
120.0,column,false,3.0157200399116846e-6,3.0157200399116846e-6,0.0,0.0,0.0
180.0,column,false,3.0158980734995566e-6,3.0158980734995566e-6,0.0,0.0,0.0
240.0,column,false,3.0149103622534312e-6,3.0149103622534312e-6,0.0,0.0,0.0
300.0,column,false,3.0134915505186655e-6,3.0134915505186655e-6,0.0,0.0,0.0
360.0,column,false,3.0134422104310943e-6,3.0134422104310943e-6,0.0,0.0,0.0
420.0,column,false,3.0134053758956725e-6,3.0134053758956725e-6,0.0,0.0,0.0
480.0,column,false,3.0124028853606433e-6,3.0124028853606433e-6,0.0,0.0,0.0
540.0,column,false,3.0108287774055498e-6,3.0108287774055498e-6,0.0,0.0,0.0
600.0,column,false,3.010974069184158e-6,3.010974069184158e-6,0.0,0.0,0.0
660.0,column,false,3.007705799973337e-6,3.007705799973337e-6,0.0,0.0,0.0
720.0,column,false,3.008670773851918e-6,3.008670773851918e-6,0.0,0.0,0.0
780.0,column,false,3.007142140631913e-6,3.007142140631913e-6,0.0,0.0,0.0
840.0,column,false,3.00464989777538e-6,3.00464989777538e-6,0.0,0.0,0.0
900.0,column,false,3.0022868031664984e-6,3.0022868031664984e-6,0.0,0.0,0.0
960.0,column,false,2.99977136819507e-6,2.99977136819507e-6,0.0,0.0,0.0
1020.0,column,false,2.994327132910257e-6,2.994327132910257e-6,0.0,0.0,0.0
1080.0,column,false,2.99309999718389e-6,2.99309999718389e-6,0.0,0.0,0.0
1140.0,column,false,2.9903035283496138e-6,2.9903035283496138e-6,0.0,0.0,0.0
1200.0,column,false,2.987022071465617e-6,2.987022071465617e-6,0.0,0.0,0.0
1260.0,column,false,2.985415449074935e-6,2.985415449074935e-6,0.0,0.0,0.0
1320.0,column,false,2.9833786356903147e-6,2.9833786356903147e-6,0.0,0.0,0.0
1380.0,column,false,2.9795692171319388e-6,2.9795692171319388e-6,0.0,0.0,0.0
1440.0,column,false,2.9755181003565667e-6,2.9755181003565667e-6,0.0,0.0,0.0
1500.0,column,false,2.9704967801080784e-6,2.9704967801080784e-6,0.0,0.0,0.0
1560.0,column,false,2.9663140139746247e-6,2.9663140139746247e-6,0.0,0.0,0.0
1620.0,column,false,2.9647226256201975e-6,2.9647226256201975e-6,0.0,0.0,0.0
1680.0,column,false,2.9609927878482267e-6,2.9609927878482267e-6,0.0,0.0,0.0
1740.0,column,false,2.9577581699413713e-6,2.9577581699413713e-6,0.0,0.0,0.0
1800.0,column,false,2.9535126486734953e-6,2.9535126486734953e-6,0.0,0.0,0.0
1860.0,column,false,2.949642976091127e-6,2.949642976091127e-6,0.0,0.0,0.0
1920.0,column,false,2.946249651358812e-6,2.946249651358812e-6,0.0,0.0,0.0
1980.0,column,false,2.943711251646164e-6,2.943711251646164e-6,0.0,0.0,0.0
2040.0,column,false,2.9398688639048487e-6,2.9398688639048487e-6,0.0,0.0,0.0
2100.0,column,false,2.9372540666372515e-6,2.9372540666372515e-6,0.0,0.0,0.0
2160.0,column,false,2.9355082915571984e-6,2.9355082915571984e-6,0.0,0.0,0.0
2220.0,column,false,2.930000619016937e-6,2.930000619016937e-6,0.0,0.0,0.0
2280.0,column,false,2.929134097939823e-6,2.929134097939823e-6,0.0,0.0,0.0
2340.0,column,false,2.925664375652559e-6,2.925664375652559e-6,0.0,0.0,0.0
2400.0,column,false,2.9226503102108836e-6,2.9226503102108836e-6,0.0,0.0,0.0
2460.0,column,false,2.9196071409387514e-6,2.9196071409387514e-6,0.0,0.0,0.0
2520.0,column,false,2.9173786515457323e-6,2.9173786515457323e-6,0.0,0.0,0.0
2580.0,column,false,2.9165009891585214e-6,2.9165009891585214e-6,0.0,0.0,0.0
2640.0,column,false,2.9103896395099582e-6,2.9103896395099582e-6,0.0,0.0,0.0
2700.0,column,false,2.9061018267384497e-6,2.9061018267384497e-6,0.0,0.0,0.0
2760.0,column,false,2.9042569167359034e-6,2.9042569167359034e-6,0.0,0.0,0.0
2820.0,column,false,2.8986776214878773e-6,2.8986776214878773e-6,0.0,0.0,0.0
2880.0,column,false,2.8950555588380666e-6,2.8950555588380666e-6,0.0,0.0,0.0
2940.0,column,false,2.890668611144065e-6,2.890668611144065e-6,0.0,0.0,0.0
3000.0,column,false,2.8870902042399393e-6,2.8870902042399393e-6,0.0,0.0,0.0
3060.0,column,false,2.8843828658864368e-6,2.8843828658864368e-6,0.0,0.0,0.0
3120.0,column,false,2.8828246740886243e-6,2.8828246740886243e-6,0.0,0.0,0.0
3180.0,column,false,2.8761282919731457e-6,2.8761282919731457e-6,0.0,0.0,0.0
3240.0,column,false,2.8702843337669037e-6,2.8702843337669037e-6,0.0,0.0,0.0
3300.0,column,false,2.8690992621704936e-6,2.8690992621704936e-6,0.0,0.0,0.0
3360.0,column,false,2.8645197289733915e-6,2.8645197289733915e-6,0.0,0.0,0.0
3420.0,column,false,2.8646156806644285e-6,2.8646156806644285e-6,0.0,0.0,0.0
3480.0,column,false,2.859656888176687e-6,2.859656888176687e-6,0.0,0.0,0.0
3540.0,column,false,2.8547181045723846e-6,2.8547181045723846e-6,0.0,0.0,0.0
3600.0,column,false,2.85309715764015e-6,2.85309715764015e-6,0.0,0.0,0.0
