# operator_residual.csv, from analysis/reduce_run.jl
# run: a5_sphere_limiter
# generated: 1788997097 (unix)
# geometry: sphere
# region tags summed: tropics, extratropics
# NOTE: this is a sphere. The NetCDF writer bilinearly remaps to lat-lon, so
# every maximum here is over the remapped field, not over the model's own columns.
# operator residual = max |q_tag_res + sum of the region ledgers|, summed then reduced.
time,geometry,remapped,max_abs_operator_residual,max_abs_q_tag_res,max_abs_ledger_sum,max_abs_q_tag_fix_tropics,max_abs_q_tag_fix_extratropics
0.0,sphere,true,1.4296941062181986e-18,1.4296941062181986e-18,0.0,0.0,0.0
3600.0,sphere,true,1.3982016969182057e-5,7.532901802593928e-6,2.1514918771775986e-5,0.00030253018772398866,0.00030253018772398845
7200.0,sphere,true,0.000126623117459601,5.982316373515392e-5,0.00018644628119475492,0.00048403626926691115,0.0004840362692669108
10800.0,sphere,true,84.04047770859981,18.37657935514651,102.41705706374631,0.0006031136268640484,102.41660316871413
14400.0,sphere,true,90676.65515732061,806.6073140843132,90743.0129587184,0.4021566058021901,90742.6108021126
18000.0,sphere,true,6.759669841335012e7,1.2654355844283968e7,8.025105425763409e7,355.6571052711616,8.025069860052882e7
21600.0,sphere,true,1.6937023987547284e11,1.1702138580179918e11,2.8639162567727203e11,1.2692317979225111e6,2.863903564454741e11
25200.0,sphere,true,8.81993893830755e13,2.2557106269524277e10,8.819939862447827e13,3.908826077824483e8,8.819900774187048e13
28800.0,sphere,true,8.817264198168469e13,5.665771034280046e9,8.817264238829552e13,3.9076402933907837e8,8.817225162426617e13
32400.0,sphere,true,8.814508526771534e13,4.682079141358717e9,8.814508528762631e13,3.906419016200626e8,8.814469464572469e13
36000.0,sphere,true,8.813039974280245e13,3.946619549536056e9,8.813039974313875e13,3.905768181385931e8,8.813000916632061e13
39600.0,sphere,true,8.813885779556956e13,4.019001675626866e12,8.813885801433614e13,3.906143035540784e8,8.81384674000326e13
43200.0,sphere,true,1.1504736129938205e19,7.586512562909235e18,1.909124869284744e19,8.460872257520125e13,1.9091164084124865e19
46800.0,sphere,true,9.033050246693587e27,6.275086590299904e27,1.530813683699349e28,6.784270236183742e22,1.530806899429113e28
50400.0,sphere,true,1.1647311372324898e38,8.653764800227642e37,2.030107617255254e38,8.997044402372465e32,2.0300986202108515e38
54000.0,sphere,true,1.0707831112928722e47,6.670452411607398e46,1.7378283524536121e47,7.701719218152637e41,1.7378206507343939e47
57600.0,sphere,true,9.384033509204078e51,5.2831822528341286e51,1.4667215762038207e52,6.500226409115974e46,1.4667150759774115e52
61200.0,sphere,true,3.73444737819577e57,2.319531755960917e57,6.0539791341566875e57,2.6830064878392837e52,6.053952304091809e57
64800.0,sphere,true,2.697694116370314e64,1.6945918366824876e64,4.3922859530528013e64,1.9465762017578135e59,4.392266487290784e64
68400.0,sphere,true,2.2501324269293806e72,1.5882050987910379e72,3.838337525720419e72,1.7010769703393568e67,3.8383205149507155e72
72000.0,sphere,true,1.023302863119358e84,7.768140369092588e83,1.8001169000286167e84,7.977770016419615e78,1.8001089222586003e84
75600.0,sphere,true,4.390212708032028e92,2.768395355688208e92,7.158608063720236e92,3.1725566694666125e87,7.158576338153541e92
79200.0,sphere,true,5.98899259715703e98,3.609333052730928e98,9.598325649887957e98,4.253792327392913e93,9.598283111964684e98
82800.0,sphere,true,1.0074871709433653e105,6.313591297502971e104,1.6388463006936624e105,7.263049904697523e99,1.6388390376437578e105
86400.0,sphere,true,5.777098648226527e114,4.492855534323626e114,1.0269954182550152e115,4.551445105941906e109,1.0269908668099093e115
