# energy_tag_residual.csv, from analysis/reduce_run.jl
# run: b1_base
# generated: 1789725053 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_tag_res| per time. This family has no ledger, so there is no operator-residual subtraction to make.
time,geometry,remapped,max_abs_e_tag_res
0.0,sphere,true,1.3844868410309071e-11
21600.0,sphere,true,1525.232808756701
43200.0,sphere,true,2680.7408821820486
64800.0,sphere,true,3491.9845928765735
86400.0,sphere,true,4092.822540301604
108000.0,sphere,true,4575.731671246951
129600.0,sphere,true,4972.5961267449775
151200.0,sphere,true,5308.486570505272
172800.0,sphere,true,5577.182816808026
194400.0,sphere,true,5824.977384925219
216000.0,sphere,true,6032.78333047759
237600.0,sphere,true,6234.189735084846
259200.0,sphere,true,6406.485001444089
280800.0,sphere,true,6564.78251777161
302400.0,sphere,true,6695.188079068649
324000.0,sphere,true,6827.853143779008
345600.0,sphere,true,6941.659193482356
367200.0,sphere,true,7063.758353779313
388800.0,sphere,true,7156.497314077121
410400.0,sphere,true,7255.251107335151
432000.0,sphere,true,7324.4904044527075
453600.0,sphere,true,7406.828867617224
475200.0,sphere,true,7479.912108371942
496800.0,sphere,true,7559.082732128158
518400.0,sphere,true,7628.807586307018
540000.0,sphere,true,7689.193306803729
561600.0,sphere,true,7746.186475950016
583200.0,sphere,true,7799.712734477205
604800.0,sphere,true,7853.233537205836
626400.0,sphere,true,7901.893142302161
648000.0,sphere,true,7959.435229257014
669600.0,sphere,true,8004.636355380799
691200.0,sphere,true,9281.76975095643
712800.0,sphere,true,19133.288821972852
734400.0,sphere,true,29979.281306426765
756000.0,sphere,true,30155.88708514525
777600.0,sphere,true,27482.866034966024
799200.0,sphere,true,25103.97666578651
820800.0,sphere,true,22966.333111150558
842400.0,sphere,true,19250.128675725537
864000.0,sphere,true,17278.020709664495
