# where_negative.csv, from analysis/where_negative.jl
# run: c0_column
# geometry: column
# specific e_tot at t = 0, recovered as the sum of the
# region tags: strat + tropo
# smallest constant making the field positive: 45358.85910185167 J/kg
level,z,fraction_negative,minimum,maximum,mean
1,25.0,1.0,-43124.84041058353,-43124.84041058353,-43124.84041058353
2,75.0,1.0,-42986.27242269223,-42986.27242269223,-42986.27242269223
3,125.0,1.0,-42847.63877123115,-42847.63877123115,-42847.63877123115
4,175.0,1.0,-42708.850977488604,-42708.850977488604,-42708.850977488604
5,225.0,1.0,-42569.908967374926,-42569.908967374926,-42569.908967374926
6,275.0,1.0,-42430.90159165399,-42430.90159165399,-42430.90159165399
7,325.0,1.0,-42291.73992430329,-42291.73992430329,-42291.73992430329
8,375.0,1.0,-42152.42389048082,-42152.42389048082,-42152.42389048082
9,425.0,1.0,-42013.04279204015,-42013.04279204015,-42013.04279204015
10,475.0,1.0,-41873.507251102696,-41873.507251102696,-41873.507251102696
11,525.0,1.0,-41733.81719206218,-41733.81719206218,-41733.81719206218
12,575.0,1.0,-41594.06237246589,-41594.06237246589,-41594.06237246589
13,625.0,1.0,-41454.15295796341,-41454.15295796341,-41454.15295796341
14,675.0,1.0,-41314.088872172535,-41314.088872172535,-41314.088872172535
15,725.0,1.0,-41173.96033300884,-41173.96033300884,-41173.96033300884
16,775.0,1.0,-41033.677044963515,-41033.677044963515,-41033.677044963515
17,825.0,1.0,-45358.85910185167,-45358.85910185167,-45358.85910185167
18,875.0,1.0,-45035.78625372823,-45035.78625372823,-45035.78625372823
19,925.0,1.0,-44963.51368834834,-44963.51368834834,-44963.51368834834
20,975.0,1.0,-44958.75191472765,-44958.75191472765,-44958.75191472765
21,1025.0,1.0,-44972.80682028503,-44972.80682028503,-44972.80682028503
22,1075.0,1.0,-44986.30081731286,-44986.30081731286,-44986.30081731286
23,1125.0,1.0,-44990.54965447682,-44990.54965447682,-44990.54965447682
24,1175.0,1.0,-44981.656773930416,-44981.656773930416,-44981.656773930416
25,1225.0,1.0,-44957.84356475327,-44957.84356475327,-44957.84356475327
26,1275.0,1.0,-44918.692135451376,-44918.692135451376,-44918.692135451376
27,1325.0,1.0,-44864.57597882071,-44864.57597882071,-44864.57597882071
28,1375.0,1.0,-44796.038869588854,-44796.038869588854,-44796.038869588854
29,1425.0,1.0,-44713.93404299702,-44713.93404299702,-44713.93404299702
30,1475.0,1.0,-44619.31231721092,-44619.31231721092,-44619.31231721092
