# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c0_sphere
# generated: 1788997157 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc
0.0,sphere,true,1.3844868410309071e-11,-23686.026050418892,-100416.38783695316,0.0,106912.09484493131,112313.42859456438,0.0
3600.0,sphere,true,1266.946441806621,-24341.83390637152,-99343.53367849826,-3.299294693948757,107689.9041777305,110791.42282934624,1069.9094608168052
7200.0,sphere,true,1249.8357700849674,-24661.863187387815,-98302.73668643786,-10.044283495833508,109013.55954328564,110783.30294622223,2113.834192399295
10800.0,sphere,true,1785.6997104366042,-24786.570573756177,-97288.04994049505,-19.278339218551697,109586.86157547821,110779.27548621804,3131.460598534507
14400.0,sphere,true,2391.3994080886764,-24821.386121157568,-96301.56733509515,-29.42392176568396,109756.63948426742,110779.88474318909,4123.796073924516
18000.0,sphere,true,2969.565614368379,-24842.426684985418,-95964.55080264204,-39.89635019481767,109740.95335933004,111004.14097177346,5091.938849792811
21600.0,sphere,true,3527.6762689967045,-24834.333733223768,-95968.91567386144,-50.46234894190299,109601.20847269525,111127.88263990569,6035.839837281164
25200.0,sphere,true,4066.71574577127,-24809.349597625464,-95970.51062227323,-61.11512729831224,109393.33133417864,111131.42701786912,6955.291797792836
28800.0,sphere,true,4588.551464382821,-24774.676573285677,-95969.35655207546,-71.91552539273329,109149.3639539641,111055.57968896616,7850.720174293511
32400.0,sphere,true,5097.624484714366,-24734.706245673256,-95965.86085804777,-82.7347561346964,108893.1982443177,110930.16838344418,8722.168233393928
36000.0,sphere,true,5592.749227398726,-24692.355931704333,-95960.48465994708,-93.50390069506145,108633.89473967456,110817.63495866182,9570.378923612872
39600.0,sphere,true,6076.842381676481,-24649.396963100742,-95953.61434132721,-104.13909113468641,108368.73717120045,110762.2495224959,10396.004866311736
43200.0,sphere,true,6547.171969147544,-24606.977871141637,-95945.58793941131,-114.52735024896678,108098.21758486774,110754.50999292285,11199.42285369095
46800.0,sphere,true,7003.031804586068,-24565.78497479668,-95936.88502707334,-124.5541539622887,107821.28795278851,110738.59535427643,11981.108680330943
50400.0,sphere,true,7442.59428819735,-24526.045044773648,-95927.39239584462,-134.13222730455527,107648.33453744296,110727.28792138824,12741.076063556879
54000.0,sphere,true,7866.863501896419,-24488.386191536065,-95916.96370424768,-143.54643898754864,107775.72334169933,110728.67480343844,13479.947499580954
57600.0,sphere,true,8273.116293025818,-24452.52173231552,-95905.3155029084,-152.5454891300003,107899.6397315176,110731.42580953539,14198.17225558868
61200.0,sphere,true,8659.167286002015,-24417.80207743948,-95892.60787137478,-161.29143794050876,108010.55205280756,110734.26877427407,14896.524872252987
64800.0,sphere,true,9028.524292335735,-24384.29014426306,-95878.96512436033,-169.5486227329599,108113.13325960307,110734.88859316777,15575.497240052948
68400.0,sphere,true,9382.621668946835,-24352.00249600304,-95864.70161705108,-177.2205714309014,108224.59800449002,110723.34902107378,16235.727640896761
72000.0,sphere,true,9737.2433356467,-24320.739974413496,-95849.85196947798,-184.3448451355533,108312.10631379532,110704.59874609558,16877.4018858867
75600.0,sphere,true,10082.40824365929,-24290.393234247258,-95834.5152453695,-191.01060215237894,108381.68004635625,110691.69854379795,17500.960299536924
79200.0,sphere,true,10415.546979290622,-24298.27313639439,-95818.7697669109,-197.32269449778593,108439.12423670595,110689.60947208773,18106.725705831148
82800.0,sphere,true,10735.562391659088,-24318.36464720228,-95803.03574737336,-203.36452239250337,108487.37442336806,110693.10527437436,18694.976601573613
86400.0,sphere,true,11042.177725350648,-24338.0874571163,-95787.860146893,-209.19296717092027,108532.57628626282,110695.9213905719,19265.89819441486
