# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c0_sphere_audit
# generated: 1789040329 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc
0.0,sphere,true,1.3844868410309071e-11,-23686.026050418892,-100416.38783695316,0.0,106912.09484493131,112313.42859456438,0.0
3600.0,sphere,true,1266.9464418067234,-24341.8339063715,-99343.53367849831,-3.2992946939485392,107689.90417773044,110791.4228293463,1069.9094608168061
7200.0,sphere,true,1249.8357700850215,-24661.863187387808,-98302.73668643802,-10.044283495833348,109013.55954328574,110783.30294622236,2113.8341923992975
10800.0,sphere,true,1785.6997104364768,-24786.570573756166,-97288.04994049502,-19.278339218551377,109586.86157547835,110779.2754862183,3131.4605985345133
14400.0,sphere,true,2391.3994080885836,-24821.3861211576,-96301.56733509514,-29.423921765685524,109756.63948426748,110779.8847431897,4123.796073924525
18000.0,sphere,true,2969.565614368408,-24842.426684985418,-95964.55080264222,-39.89635019481705,109740.95335933006,111004.14097177345,5091.9388497928185
21600.0,sphere,true,3527.6762689966836,-24834.33373322377,-95968.91567386175,-50.46234894190189,109601.20847269519,111127.88263990548,6035.8398372811625
25200.0,sphere,true,4066.7157457712474,-24809.34959762548,-95970.51062227353,-61.11512729831444,109393.3313341787,111131.42701786879,6955.291797792836
28800.0,sphere,true,4588.5514643829465,-24774.67657328573,-95969.35655207574,-71.91552539273617,109149.363953964,111055.57968896569,7850.720174293523
32400.0,sphere,true,5097.624484714337,-24734.706245673275,-95965.86085804795,-82.7347561346994,108893.19824431803,110930.168383444,8722.168233393939
36000.0,sphere,true,5592.749227398832,-24692.35593170435,-95960.48465994712,-93.50390069506513,108633.89473967468,110817.63495866157,9570.378923612894
39600.0,sphere,true,6076.842381676353,-24649.396963100793,-95953.61434132721,-104.13909113469141,108368.73717120082,110762.24952249567,10396.004866311754
43200.0,sphere,true,6547.171969147463,-24606.97787114168,-95945.58793941142,-114.52735024897484,108098.21758486754,110754.50999292343,11199.422853690974
46800.0,sphere,true,7003.031804585962,-24565.78497479671,-95936.88502707347,-124.55415396229633,107821.28795278828,110738.59535427709,11981.108680330997
50400.0,sphere,true,7442.594288197249,-24526.045044773677,-95927.3923958448,-134.1322273045597,107648.33453744254,110727.28792138853,12741.076063556813
54000.0,sphere,true,7866.863501896158,-24488.38619153609,-95916.9637042478,-143.54643898749492,107775.72334169965,110728.67480343861,13479.947499580992
57600.0,sphere,true,8273.116293025467,-24452.521732315567,-95905.31550290874,-152.5454891299459,107899.63973151732,110731.42580953555,14198.172255588739
61200.0,sphere,true,8659.167286001682,-24417.802077439468,-95892.60787137477,-161.291437940522,108010.55205280744,110734.26877427417,14896.52487225307
64800.0,sphere,true,9028.524292335784,-24384.290144263116,-95878.96512436049,-169.54862273297627,108113.13325960284,110734.88859316784,15575.497240052824
68400.0,sphere,true,9382.621668946595,-24352.00249600306,-95864.70161705118,-177.22057143092087,108224.59800448953,110723.34902107387,16235.727640896665
72000.0,sphere,true,9737.243335646637,-24320.739974413544,-95849.85196947806,-184.34484513557513,108312.10631379524,110704.5987460956,16877.401885886597
75600.0,sphere,true,10082.408243659174,-24290.39323424735,-95834.51524536974,-191.01060215240256,108381.6800463543,110691.69854379805,17500.960299536833
79200.0,sphere,true,10415.546979290648,-24298.273136394408,-95818.76976691121,-197.3226944977831,108439.12423670386,110689.60947208805,18106.72570583102
82800.0,sphere,true,10735.56239165908,-24318.364647202307,-95803.03574737358,-203.3645223924983,108487.37442336562,110693.10527437463,18694.976601573442
86400.0,sphere,true,11042.177725350612,-24338.087457116424,-95787.86014689329,-209.1929671709121,108532.57628626454,110695.9213905721,19265.898194414684
