time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,4.8629389502288286e23,4.86293895022883e23,-1.34217728e8,-2.7600126050047226e-16,1.2651798006341249e7,2.601677326371928e-17,4.8629389502288286e23,0.0
3600.0,4.862714719338494e23,4.8627201507246694e23,-5.431386175690506e17,-1.1169452639470021e-6,1.2485330481099566e21,0.002567563840717768,4.862714719338494e23,0.0
7200.0,4.862510310365703e23,4.862519689291072e23,-9.378925368427151e17,-1.9288237494188008e-6,1.2737412914485563e21,0.002619513811072536,4.862510310365703e23,0.0
10800.0,4.862326029508151e23,4.862340105136455e23,-1.4075628304497377e18,-2.894834328071826e-6,1.3033727803232124e21,0.0026805540648927964,4.862326029508151e23,0.0
14400.0,4.862157170672751e23,4.862177365064783e23,-2.019439203196076e18,-4.153381168705941e-6,1.3336520042754117e21,0.0027429224466861105,4.862157170672751e23,0.0
18000.0,4.861999134892667e23,4.8620272241315766e23,-2.8089238909301555e18,-5.777302325645446e-6,1.3633683149715884e21,0.0028041311344282785,4.861999134892667e23,0.0
21600.0,4.8618499183570064e23,4.861887214193555e23,-3.72958365485944e18,-7.671120494233191e-6,1.3930014820432693e21,0.0028651675914216916,4.8618499183570064e23,0.0
25200.0,4.8617083136887816e23,4.8617560380328927e23,-4.772434411108958e18,-9.816373388077477e-6,1.4225038100653833e21,0.002925934092055947,4.8617083136887816e23,0.0
28800.0,4.861573069010183e23,4.8616317741889364e23,-5.870517875353059e18,-1.2075346378673884e-5,1.4521235093972462e21,0.002986941651980351,4.861573069010183e23,0.0
32400.0,4.8614408656977374e23,4.861511022824315e23,-7.015712657760059e18,-1.4431344228133753e-5,1.4814669112960444e21,0.0030473823547855026,4.8614408656977374e23,0.0
36000.0,4.861307736716236e23,4.861390061715868e23,-8.23249996313369e18,-1.693474350729884e-5,1.5097120485099417e21,0.003105567740769558,4.861307736716236e23,0.0
39600.0,4.861171471920702e23,4.8612665498452176e23,-9.507792451536945e18,-1.9558644467606717e-5,1.5364384844647322e21,0.0031606342079055862,4.861171471920702e23,0.0
43200.0,4.8610319965435324e23,4.861140436463384e23,-1.0843991985182736e19,-2.230800371792127e-5,1.5624301744170876e21,0.0032141943840897644,4.8610319965435324e23,0.0
46800.0,4.8608916198817946e23,4.861014402192724e23,-1.2278231092925825e19,-2.5259215907439635e-5,1.588916763294096e21,0.0032687763635691485,4.8608916198817946e23,0.0
50400.0,4.860753783940138e23,4.8608915540329015e23,-1.3777009276348269e19,-2.8343359669579055e-5,1.6160698303210392e21,0.003324730900093132,4.860753783940138e23,0.0
54000.0,4.860621283559505e23,4.860774577180666e23,-1.5329362116108878e19,-3.153786567976133e-5,1.6438640830080053e21,0.00338200404250417,4.860621283559505e23,0.0
57600.0,4.8604958893970264e23,4.860665109159037e23,-1.6921976201029878e19,-3.4815328695050397e-5,1.670585371486427e21,0.0034370677591369658,4.8604958893970264e23,0.0
61200.0,4.860379119975964e23,4.860564290684977e23,-1.851707090128811e19,-3.809799697555215e-5,1.694666294394956e21,0.003486695692996345,4.860379119975964e23,0.0
64800.0,4.860271435347931e23,4.8604726092406703e23,-2.011738927391572e19,-4.139149333842829e-5,1.7163376712183374e21,0.00353136176456258,4.860271435347931e23,0.0
68400.0,4.8601724142221595e23,4.860389779852187e23,-2.1736563002736378e19,-4.4723851645940386e-5,1.7367895136022668e21,0.0035735141998665685,4.8601724142221595e23,0.0
72000.0,4.860080982715408e23,4.860315015917861e23,-2.340332024526956e19,-4.8154177530173044e-5,1.7578482496738652e21,0.0036169114381541154,4.860080982715408e23,0.0
75600.0,4.859996266340711e23,4.860247242693706e23,-2.509763529948319e19,-5.164126456907799e-5,1.7795846632936917e21,0.0036616996511267146,4.859996266340711e23,0.0
79200.0,4.859917410643356e23,4.8601854525223015e23,-2.6804187894558753e19,-5.5153587252031954e-5,1.8023050818644696e21,0.0037085096917848248,4.859917410643356e23,0.0
82800.0,4.8598431278721436e23,4.860128412789787e23,-2.8528491764354384e19,-5.870249514997294e-5,1.824775278620756e21,0.0037548028415882715,4.8598431278721436e23,0.0
86400.0,4.8597721588418256e23,4.8600747552877504e23,-3.0259644592474292e19,-6.226556225978654e-5,1.8458309900852826e21,0.003798184214720837,4.8597721588418256e23,0.0
