# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c1_sphere_shift
# generated: 1789040317 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc
0.0,sphere,true,2.6208536751805034e-11,0.0,0.0031758515465102923,0.0,217406.80386938297,222808.42859491386,0.0
3600.0,sphere,true,1323.3835687623862,-4588.182137992529,-5398.103619229525,-3.811376405379729,220859.7404255471,221225.6866422336,1112.1209560654147
7200.0,sphere,true,1306.4884052233808,-7611.330350026202,-8109.788606559823,-12.597426398355866,223571.42334384902,223506.3362442747,2197.23352930289
10800.0,sphere,true,1295.7444037303894,-9539.388736918036,-9284.309056305998,-23.674163758778064,224745.9529960308,225433.89241859203,3255.1807555555893
14400.0,sphere,true,1295.6407852456125,-10694.263499507979,-9632.02421896776,-35.50800516904233,225093.71969032555,226588.46256328738,4287.630514402926
18000.0,sphere,true,1312.5294361845097,-11315.242137256339,-9599.836142357746,-47.63237308662971,225061.61152118217,227209.368582304,5295.900519255535
21600.0,sphere,true,1413.158770629216,-11568.546261368261,-9312.769816782353,-59.68305996341235,224774.72747637308,227462.77705069463,6279.753666653401
25200.0,sphere,true,1669.8450612328693,-11575.246034321493,-8885.601634566901,-71.62380442354083,224347.79921648875,227469.80134894804,7238.948658516195
28800.0,sphere,true,1918.462837638398,-11419.048071516938,-8384.194293379518,-83.47895374999592,223846.5952564522,227314.10117533806,8173.901262350937
32400.0,sphere,true,2164.4920728813254,-11160.144374746867,-7856.607967795776,-95.22721799347576,223319.3564619021,227055.87312982342,9084.641061368115
36000.0,sphere,true,2401.906748127047,-10933.666109017027,-7323.100443093575,-106.79950272969748,222785.89862469543,226827.94615194207,9971.889103041009
39600.0,sphere,true,2643.1844136044515,-10661.165576059375,-6777.598154382331,-118.10234147801972,222240.35873606635,226544.09163258763,10836.282927559407
43200.0,sphere,true,2869.7680986601313,-10358.26800015585,-6221.297912854426,-129.00451982208818,221684.0730748157,226217.46168958934,11678.19229724081
46800.0,sphere,true,3089.1020966636947,-10039.29309330402,-5652.104489048122,-139.37524847935794,221115.00975884328,225870.2024584668,12498.077709986035
50400.0,sphere,true,3293.938356735016,-9711.632556014845,-5360.470315555704,-149.1260462833161,220798.74686414318,225515.05296642636,13295.926669260383
54000.0,sphere,true,3496.3814384451107,-9381.884559156751,-5621.176594779805,-158.5782787704382,221059.56232756824,225161.79555649663,14072.350308467665
57600.0,sphere,true,3695.7680326171553,-9054.764986638675,-5875.668227502155,-167.2973201591561,221313.8549940701,224817.3984828967,14827.782483398356
61200.0,sphere,true,3893.6551693295864,-8734.100770452225,-6104.394052366824,-175.81556502567474,221541.74895146492,224485.07565548993,15562.982327549289
64800.0,sphere,true,4089.530102641702,-8421.883106324853,-6320.845099029342,-183.72410515703254,221755.46500975703,224165.68312575386,16278.446444884234
68400.0,sphere,true,4282.8833788210195,-8115.060707576356,-6571.201114865099,-190.9344063523791,221994.82232997438,223857.47435242363,16974.862400377544
72000.0,sphere,true,4465.901318900737,-7807.767188090579,-6792.6841940749,-197.5151116040384,222195.76079118391,223550.38490355655,17652.438836996975
75600.0,sphere,true,4647.347950306661,-7490.184056072527,-6987.895910911563,-203.5881150468426,222365.54597088197,223232.7639531822,18311.61916473354
79200.0,sphere,true,4818.056608605327,-7155.094273630842,-7159.95628090697,-209.28607431380482,222511.43383416205,223057.6846204429,18952.71807658205
82800.0,sphere,true,4980.527453777047,-7151.066735984756,-7311.796575260201,-214.7099045066251,222637.83285491134,223298.14603371162,19576.003086478468
86400.0,sphere,true,5132.324147161713,-7379.762852950194,-7446.7068761727,-219.92528521048462,222752.205718252,223526.39699542325,20181.64899000503
