# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c4_sphere_tag_offset_2x
# generated: 1789048203 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc
0.0,sphere,true,6.27245958514678e-11,0.0,0.007116541422815315,0.0,327901.7998882602,333303.4285945644,0.0
3600.0,sphere,true,1379.818371209869,-6939.260185512016,-8163.67149497262,-3.500624369474541,334030.17491259414,333242.18047812185,1090.1924092033103
7200.0,sphere,true,1363.1403900569399,-11510.475906751271,-12263.654818902227,-11.270932230703602,338130.2070365113,337812.77372832166,2153.908167898241
10800.0,sphere,true,1353.0012368424482,-14425.5222755284,-14038.523370654138,-21.38998587046515,339905.1116910899,340727.35524928547,3190.909017370013
14400.0,sphere,true,1352.4331969874318,-16171.559872819891,-14562.872202509308,-32.346105958892764,340429.49709847674,342473.11055706086,4202.519960430413
18000.0,sphere,true,1369.0800638704677,-17110.854254336817,-14512.605238915403,-43.52228565180692,340379.2973485885,343412.3339279923,5189.9443433769065
21600.0,sphere,true,1370.8377906530222,-17494.39763445009,-14077.693682108413,-54.837780029616695,339944.5408641662,343795.9627290605,6153.042805097738
25200.0,sphere,true,1603.0071654419298,-17504.740443401206,-13431.78188033209,-66.15452084176906,339298.78077387426,343806.6479754878,7091.59062394316
28800.0,sphere,true,1837.107459612249,-17268.372071999413,-12674.262507678792,-77.45677193449214,338541.39642771817,343570.82273018337,8006.011038830816
32400.0,sphere,true,2069.284218183253,-16878.582820321168,-11877.883747985892,-88.71585918745097,337745.319701739,343181.52599506866,8896.338647359149
36000.0,sphere,true,2293.2386860219704,-16536.31741282116,-11073.193961294137,-99.86224167786504,336940.6591371888,342837.2974982557,9763.307426149402
39600.0,sphere,true,2521.1840388277487,-16124.987980611106,-10250.600156768576,-110.80732029302689,336117.99662990734,342413.8054121774,10607.561555051981
43200.0,sphere,true,2734.715683272516,-15667.790692851828,-9411.322065912469,-121.42929501840652,335278.7014612916,341932.39653087966,11429.47355876626
46800.0,sphere,true,2941.338123898662,-15185.75252190674,-8646.357788646465,-131.60580344498368,334419.59550798725,341422.89398250787,12229.514877465857
50400.0,sphere,true,3133.8260465130734,-14689.75410641386,-8112.865245569856,-141.2491333420362,333948.0828941817,340900.01073195436,13007.68564627729
54000.0,sphere,true,3324.1795124176133,-14190.17976730984,-8499.287954570611,-150.2829077578491,334342.4676142692,340377.3651571496,13764.600929829363
57600.0,sphere,true,3511.905050972826,-13694.83986009128,-8883.934429217206,-159.4384447179762,334726.88773451094,339865.0619728142,14500.701368882897
61200.0,sphere,true,3698.549056511838,-13209.72132715486,-9229.951832360413,-168.14927354454562,335072.19766101986,339368.6778522105,15216.757990333432
64800.0,sphere,true,3882.706902877835,-12737.448348682312,-9557.081092059525,-176.2209029990967,335396.9305371793,338889.72678588436,15913.266860413061
68400.0,sphere,true,4063.7715615407506,-12273.03392848007,-9936.04149273083,-183.6537220476286,335765.51762681606,338424.0437722877,16590.888540845368
72000.0,sphere,true,4234.348882763152,-11807.713043432303,-10271.472279358035,-190.50005351926134,336080.9678811615,337958.7383445356,17249.815566859306
75600.0,sphere,true,4403.413296848274,-11326.860219507797,-10567.236649004912,-196.86448291651234,336351.7685588386,337477.74798825325,17890.489317754513
79200.0,sphere,true,4562.037262036785,-10819.683375503382,-10827.976944165903,-202.8642836584672,336586.7893256122,337009.4388593492,18513.230929642683
82800.0,sphere,true,4712.5601000888855,-10814.858396956519,-11058.087085527855,-208.59315841506887,336791.8109992713,337372.99256884574,19118.315179285008
86400.0,sphere,true,4852.646655958641,-11160.739521490215,-11262.512129447101,-214.11045725802708,336975.67537628155,337718.4321715232,19705.922209288598
