z,e_prc_radiation,e_src_rad,total,rad_share
25.0,7587.324107300024,6099.740290366305,200110.66143575928,0.0304818356333527
75.0,-270.90295396190476,1143.873020504943,73278.46313532375,0.015609948292618341
125.0,-412.09919649641245,0.0018869163227792343,67628.79842037044,2.7901077157255496e-8
175.0,-111.50243139318765,2.2314877538230975e-9,68139.83683803251,3.274865126441841e-14
225.0,-109.58001663214736,4.0951826845726194e-13,68291.48341408848,5.996622828854508e-18
275.0,-110.9680781390362,-2.286729002109125e-12,68404.56079498382,-3.342948153651201e-17
325.0,-113.45503394856854,-2.0727513835189436e-9,68256.07890618315,-3.036727888175215e-14
375.0,-116.41379671979249,0.0007129919131631164,67012.6182985948,1.0639666547368247e-8
425.0,-1346.0929600047014,80.67092871368912,62622.897642556156,0.0012882017880128914
475.0,-5025.779790019883,329.25720452117446,56238.408990175056,0.0058546678405979845
525.0,-10878.174806808434,454.5933080376269,50864.15353280463,0.008937400437509272
575.0,-8232.20701897405,344.6644006795456,53719.183298904034,0.006416039476284767
625.0,-19782.34388792834,45.45785333155122,56921.85278918874,0.0007986010838386677
675.0,-20565.795089624895,0.0043826670608471925,61718.036659943005,7.101112248587915e-8
725.0,-19790.205306755066,3.1079355038603164e-9,63288.992438599365,4.910704664599488e-14
775.0,-8458.615007504019,1.203956589918859e-15,63604.349197001895,1.8928840639338067e-20
825.0,-2652.1781914760013,3.36051073915122e-22,63655.102915060954,5.279247986819475e-27
875.0,-2325.678403222979,7.407479840564081e-29,63683.73193940801,1.1631667326927291e-33
925.0,-2171.9168395760626,1.1646799081205633e-35,63717.780850155505,1.8278726794637275e-40
975.0,-2078.3207148799297,-6.2701830152733e-38,63767.440973936275,-9.832891079690838e-43
1025.0,-2015.9599731681478,-1.885854742360338e-39,63836.42398402081,-2.9541985980173245e-44
1075.0,-1972.580893566097,-2.613897097703984e-46,63924.69601077772,-4.089025464060525e-51
1125.0,-1941.8117429228819,-2.0094758996437381e-53,64029.941271224794,-3.138337877168726e-58
1175.0,-1919.9491594214342,-9.34049200689639e-61,64148.370521315934,-1.4560762699019186e-65
1225.0,-1904.6846286237208,-2.6604494683146793e-68,64275.72824050501,-4.1391199153121824e-73
1275.0,-1894.4964670372499,-4.523357098802259e-76,64408.31853744221,-7.0229392747968025e-81
1325.0,-1888.324810622419,-4.315935531641916e-84,64543.65636107881,-6.686846972996275e-89
1375.0,-1885.3925596797278,-2.0630608772568726e-92,64680.53192007738,-3.189616436373927e-97
1425.0,-1885.10877564685,-3.9580351555637255e-101,64818.62516588012,-6.106323831205226e-106
1475.0,-1887.0151343450716,-1.7387763505601763e-110,64957.9960591122,-2.6767703070425363e-115
