# process_record_extrema.csv, from analysis/reduce_run.jl
# run: c5_column_offset
# generated: 1789056227 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_radiation,min_e_prc_surface_flux,max_e_prc_radiation,max_e_prc_surface_flux
0.0,column,false,0.0,0.0,0.0,0.0
3600.0,column,false,-3976.4305596468066,0.0,442.0161199340467,6486.706201101389
7200.0,column,false,-5921.217775350955,0.0,594.0317944038679,13070.740887246855
10800.0,column,false,-6856.92402145319,0.0,1251.2273332027723,19780.294428169032
14400.0,column,false,-10254.800315675044,0.0,1901.6576295217722,26594.531842877754
18000.0,column,false,-13235.151083324352,0.0,2435.7629209712777,33509.05920775311
21600.0,column,false,-15682.815064671908,0.0,2910.488960217864,40512.903263031454
25200.0,column,false,-17440.521014895217,0.0,3324.399577727511,47594.079728786484
28800.0,column,false,-17706.965820986752,0.0,3709.984097868936,54744.66799035395
32400.0,column,false,-17920.849865020133,0.0,4187.559943716946,61968.964383783474
36000.0,column,false,-18123.434049835058,0.0,4634.930511476459,69247.34128749788
39600.0,column,false,-18316.531269011935,0.0,5032.910883290211,76587.58068520785
43200.0,column,false,-18493.62212517501,0.0,5377.647014641754,83984.03605225761
46800.0,column,false,-18881.629402144965,0.0,5665.266153614155,91429.72959354153
50400.0,column,false,-19107.056289576638,0.0,5890.0792010566665,98911.14375575591
54000.0,column,false,-19321.55955602935,0.0,6155.018098725772,106453.71808540415
57600.0,column,false,-19502.582475755997,0.0,6384.951239125795,114027.56650726224
61200.0,column,false,-19680.63536674066,0.0,6582.91584086826,121641.81950536509
64800.0,column,false,-19850.320730057298,0.0,6771.2588888717655,129297.77560340025
68400.0,column,false,-20012.46204309187,0.0,6946.377550849111,136991.8504807902
72000.0,column,false,-20145.85134090612,0.0,7078.724127337649,144703.60649577534
75600.0,column,false,-20245.343195204336,0.0,7177.601615914295,152432.87992520034
79200.0,column,false,-20339.502932505144,0.0,7292.186811705903,160203.08981621533
82800.0,column,false,-20461.819820802262,0.0,7409.892959982802,168015.280972257
86400.0,column,false,-20565.795089624895,0.0,7587.324107300024,175871.19517425197
