time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,4.806384935485137e23,4.806384935485137e23,0.0,0.0,1.2629971883994274e7,2.6277487245659936e-17,4.806384935485137e23,0.0
3600.0,4.8054055782346215e23,4.8054111203701005e23,-5.542135478951608e17,-1.1533127409794287e-6,1.2997297035548232e21,0.0027047242577021135,4.8054055782346215e23,0.0
7200.0,4.804441507707032e23,4.804456478002413e23,-1.4970295380879606e18,-3.1159283252517584e-6,1.3760680915419705e21,0.002864158277990386,4.804441507707032e23,0.0
10800.0,4.803544194938049e23,4.803569815369484e23,-2.562043143507673e18,-5.333651652893172e-6,1.4525127603123703e21,0.0030238355292806943,4.803544194938049e23,0.0
14400.0,4.802704674242353e23,4.80274035892297e23,-3.568468061667197e18,-7.430121782847574e-6,1.5270634007148123e21,0.0031795904688970136,4.802704674242353e23,0.0
18000.0,4.801913657797155e23,4.801958667873158e23,-4.501007600313172e18,-9.373362207387083e-6,1.599375130661661e21,0.003330703641588098,4.801913657797155e23,0.0
21600.0,4.801163476740358e23,4.801218153179673e23,-5.46764393151044e18,-1.1388164468881143e-5,1.67128363934809e21,0.003480997152970868,4.801163476740358e23,0.0
25200.0,4.800449214813583e23,4.8005139739016334e23,-6.475908805069636e18,-1.34902141763854e-5,1.7444149597830602e21,0.0036338577531452995,4.800449214813583e23,0.0
28800.0,4.799766018722485e23,4.799841208581687e23,-7.518985920188514e18,-1.5665317623524036e-5,1.8170240829550284e21,0.0037856513752281846,4.799766018722485e23,0.0
32400.0,4.799106077136478e23,4.7991920283834993e23,-8.595124702152753e18,-1.7909845217010243e-5,1.8888517747067162e21,0.003935840851081485,4.799106077136478e23,0.0
36000.0,4.7984607913613363e23,4.7985577453005224e23,-9.695393918606115e18,-2.0205216506219498e-5,1.9580453946630388e21,0.004080569748924709,4.7984607913613363e23,0.0
39600.0,4.7978245036115176e23,4.7979326475940835e23,-1.0814398256595862e19,-2.254021223255545e-5,2.0254755698821992e21,0.004221654144201276,4.7978245036115176e23,0.0
43200.0,4.7971955388942706e23,4.797314974287643e23,-1.1943539337221636e19,-2.4896919961646094e-5,2.0929824561026265e21,0.004362929213815305,4.7971955388942706e23,0.0
46800.0,4.796575477426458e23,4.796706207388211e23,-1.3072996175320187e19,-2.7254853461274706e-5,2.1602641382695649e21,0.0045037634629876136,4.796575477426458e23,0.0
50400.0,4.795966776354675e23,4.796108724143981e23,-1.4194778930606506e19,-2.9597325403900512e-5,2.2277304821915378e21,0.004645008162222497,4.795966776354675e23,0.0
54000.0,4.79537110934548e23,4.795524169094756e23,-1.5305974927589376e19,-3.191822818000521e-5,2.2949672816745044e21,0.004785797030811541,4.79537110934548e23,0.0
57600.0,4.794788898113259e23,4.794952899817615e23,-1.6400170435569779e19,-3.420415535295666e-5,2.360070689775661e21,0.0049221576589208015,4.794788898113259e23,0.0
61200.0,4.7942197453121216e23,4.794394523945621e23,-1.747786334997368e19,-3.645611648707564e-5,2.4217651474158657e21,0.005051427085260148,4.7942197453121216e23,0.0
64800.0,4.7936628249565706e23,4.793848341671554e23,-1.855167149833506e19,-3.870040963613901e-5,2.4798910230970426e21,0.005173269613762436,4.7936628249565706e23,0.0
68400.0,4.79311726384414e23,4.7933135786756466e23,-1.963148315064061e19,-4.095765254634291e-5,2.536085247918296e21,0.005291097856187903,4.79311726384414e23,0.0
72000.0,4.792582176387622e23,4.7927893709141854e23,-2.0719452656311992e19,-4.3232336752395855e-5,2.5923902443311003e21,0.0054091722351751045,4.792582176387622e23,0.0
75600.0,4.7920565091831084e23,4.7922747290865065e23,-2.182199033980361e19,-4.553784016942563e-5,2.6496787199661703e21,0.005529314428760473,4.7920565091831084e23,0.0
79200.0,4.791538198668201e23,4.7917675973007205e23,-2.2939863251941327e19,-4.787578080524834e-5,2.7074206838485486e21,0.005650420745056506,4.791538198668201e23,0.0
82800.0,4.791024997350637e23,4.791265702286838e23,-2.40704936201274e19,-5.0240801568428494e-5,2.76404220066395e21,0.005769208472492677,4.791024997350637e23,0.0
86400.0,4.790514003891273e23,4.7907661347640303e23,-2.5213087275716444e19,-5.2631277677585696e-5,2.818274010264177e21,0.005883030522350899,4.790514003891273e23,0.0
