time,form_a_max,form_a_relative,initial_min_extratropics,initial_min_tropics
0.0,0.0,0.0,0.0031357680740889526,0.0
3600.0,0.0401604380437135,2.9839231286184903e-5,-5397.265517499526,-4589.607308000599
7200.0,0.13549467760697098,5.132725253999955e-5,-8105.047680577455,-7620.205946602305
10800.0,0.305431532629143,7.861327492155056e-5,-9274.232826756212,-9561.685311659383
14400.0,0.571874969454484,0.00011246930999265937,-9616.608787526704,-10732.369840641923
18000.0,0.9176763214484822,0.00014711252803617365,-9582.219456357405,-11367.652333397837
21600.0,1.3307876093787172,0.0001811698401839921,-9295.882294100005,-11630.216407680802
25200.0,1.8005573663731411,0.00021413872925698697,-8874.300090986872,-11637.758867299804
28800.0,2.3448073138364407,0.0002487175148562312,-8387.760025211719,-11469.935848436913
32400.0,2.9808825271554724,0.00028639341261945685,-7883.919463856669,-11199.058346126058
36000.0,3.679636763702092,0.000324224189697133,-7399.0838130575785,-10932.317815760123
39600.0,4.440956047650161,0.0003624832127423291,-6923.230452241462,-10598.91851498445
43200.0,5.2688355639716065,0.00040167756967468505,-6456.846202039486,-10217.580188746451
46800.0,6.183093060141118,0.0004433346877992151,-5992.143071236141,-9805.621623651097
50400.0,7.175671643837177,0.0004867720340592878,-5519.753976515666,-9378.83787498273
54000.0,8.227167557482062,0.0005307203135773851,-5508.273305056966,-8952.564804876994
57600.0,9.318878805280292,0.0005741722862633008,-5745.596139541981,-8540.222075416275
61200.0,10.460919300504884,0.0006179773616043426,-5980.357298947027,-8151.876459930302
64800.0,11.68191767137887,0.0006638968959087122,-6198.1367182341655,-7792.37416814657
68400.0,13.004030264673474,0.0007130909174894379,-6451.690718457654,-7457.8921420680645
72000.0,14.400245834413454,0.0007639807217908454,-6682.87228002612,-7139.062610219416
75600.0,15.840735391152975,0.0008150512920262323,-6886.290331936536,-6969.173410488424
79200.0,17.29195160666859,0.0008647518087185315,-7063.882419012987,-7204.332140845907
82800.0,18.750376229090307,0.0009131194585040569,-7217.997792171108,-7430.977962830617
86400.0,20.21270062642634,0.0009602367142892282,-7352.035897179139,-7653.470349059534
