# process_record_extrema.csv, from analysis/reduce_run.jl
# run: c5_sphere_gray
# generated: 1789056249 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_radiation,min_e_prc_surface_flux,max_e_prc_radiation,max_e_prc_surface_flux
0.0,sphere,true,0.0,0.0,0.0,0.0
3600.0,sphere,true,-378.08916266296313,-902.39478674022,308.66335438617494,1069.5953055804905
7200.0,sphere,true,-721.2845968842992,-1722.3552128900951,597.7024557759268,2109.6833110190873
10800.0,sphere,true,-1022.3871503454623,-2470.2823099271855,870.9477322448022,3122.0538684073304
14400.0,sphere,true,-1285.9508809096549,-3174.9201135242247,1128.7659102236585,4108.6976679225145
18000.0,sphere,true,-1515.7429641971758,-3848.378127785222,1371.9212158359992,5069.333283931348
21600.0,sphere,true,-1714.9280039033783,-4485.937151877311,1599.3145278533025,6004.024527232407
25200.0,sphere,true,-1886.226797051508,-5092.715239762063,1810.3732965492218,6912.14582685064
28800.0,sphere,true,-2032.2038425919661,-5675.236285712631,2005.3907098262287,7793.4188053762755
32400.0,sphere,true,-2155.2493600633816,-6245.895009535221,2184.956370901991,8648.240017189
36000.0,sphere,true,-2257.4922129397964,-6854.449808363566,2349.4664943448606,9477.862400098724
39600.0,sphere,true,-2340.90486524508,-7464.804882640422,2499.30239474185,10283.831941101324
43200.0,sphere,true,-2407.394793949815,-8066.35728619275,2634.9154571815097,11067.29281994091
46800.0,sphere,true,-2458.7487642667825,-8647.115324778617,2756.706001941409,11828.720079881876
50400.0,sphere,true,-2496.6121826664253,-9197.73131911852,2865.1222934321945,12568.247261761124
54000.0,sphere,true,-2522.4343455437393,-9714.731159315159,2961.545236533647,13286.07794283699
57600.0,sphere,true,-2537.383233521836,-10196.170681139703,3046.2895547388653,13983.337866266786
61200.0,sphere,true,-2542.52247700756,-10643.067976930208,3119.853579401704,14661.036211204215
64800.0,sphere,true,-2538.8524902785257,-11059.148778449826,3182.9753063208964,15319.453766741279
68400.0,sphere,true,-2527.239161712473,-11445.340636446253,3236.0776759348128,15958.571228843806
72000.0,sphere,true,-2508.2770816365282,-11809.86790980261,3279.4503016928047,16578.371143919234
75600.0,sphere,true,-2482.3478813176216,-12156.880804458122,3313.310115033556,17179.301593048272
79200.0,sphere,true,-2449.685873301054,-12490.328528602953,3337.7671512261068,17762.40072481897
82800.0,sphere,true,-2410.6629782850905,-12813.473973516877,3352.936207052586,18328.52772588894
86400.0,sphere,true,-2365.7862577795263,-13129.072297604256,3359.148236054472,18878.573250062822
