# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c5_sphere_gray
# generated: 1789056247 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_new_tropics,max_e_src_new_extratropics
0.0,sphere,true,3.801784917881153e-11,0.0,0.0031357680740889526,0.0,0.0,0.0,0.0,217406.80386903352,222808.42859456438,0.0,0.0,0.0,0.0
3600.0,sphere,true,1317.916880520308,-4590.567366333316,-5398.405268757214,-3.388530444328895,-1.0472701955876993,-0.9600583327175578,-4.379923361702966,220944.18595275673,221239.8513876746,1077.3067383628058,307.96609165742285,88.34183367955941,1345.89385559364
7200.0,sphere,true,1301.1046148866621,-7623.694480921876,-8108.959220262424,-10.604607410654717,-3.189147812383633,-3.488534319571263,-13.039538129327518,223743.1663018472,223682.28335574857,2122.2030457983947,595.3471669173431,183.68547279851379,2639.8194117518015
10800.0,sphere,true,1310.0900025217563,-9568.787028645413,-9281.736064704653,-20.158761991581247,-5.800406314360807,-7.101716986029451,-24.48033659875648,225004.76401219016,225710.60036612643,3134.778765945258,865.8488110231339,279.62447363379044,3885.2411750300394
14400.0,sphere,true,1321.3865971686685,-10743.755312887506,-9627.85002706187,-30.494237258187603,-8.548066719741302,-11.385472245583571,-37.58377434945842,225438.01601692053,226966.46400990055,4117.231220341832,1119.93647570262,375.62875843762026,5084.720173811912
18000.0,sphere,true,1384.5728157747808,-11383.711161733452,-9597.410622320029,-41.0384336634751,-11.29818792710824,-16.058828335614724,-51.24569931349705,225492.73141875534,227687.64038013612,5070.331189033856,1358.2830346870433,471.434492474357,6237.920955460405
21600.0,sphere,true,1683.6083557626746,-11651.138725381432,-9314.938852756613,-51.67828863339382,-14.047116483134396,-20.92231770062933,-65.12209498045698,225292.05363956327,228036.29962905252,5994.906102533763,1579.7657295921358,566.8647202767839,7345.525105195756
25200.0,sphere,true,1960.338084294036,-11663.610281195264,-8897.050620332579,-62.47372660799317,-17.162257474137693,-25.85148254692858,-79.11853636265492,224954.69782582799,228130.35545683003,6890.839844549398,1784.2967619861945,661.8615802781547,8408.368596444408
28800.0,sphere,true,2217.080023547644,-11500.69777838989,-8413.993562382659,-73.3639215955079,-20.55419337178682,-30.761929952976566,-93.39913200849689,224553.13425100845,228048.2429833483,7758.981932002275,1972.3468988573688,756.5118060417037,9427.592243327834
32400.0,sphere,true,2465.093978482569,-11233.654347144084,-7912.909981296387,-84.31233483316721,-23.864470593336172,-35.57532032192544,-107.65066686325932,224135.3664361415,227858.04749937006,8599.75579733964,2144.351980291662,850.7337223833689,10408.348781112372
36000.0,sphere,true,2709.2489715299907,-10971.594910213822,-7431.149504356879,-95.2414552021422,-27.028997106134355,-40.226576630438004,-121.6370499217394,223738.2053415561,227675.50391974303,9414.485743239007,2301.065371551859,944.5487222731425,11349.050689695541
39600.0,sphere,true,2948.927489967744,-10642.679819893183,-6958.205577875858,-106.02565832901479,-29.847989955370917,-44.64615060412913,-135.13202958699094,223349.87460280053,227417.51870956804,10204.428126104438,2443.10569384499,1037.9605983745867,12251.48059695716
43200.0,sphere,true,3175.2006047733757,-10265.590986117728,-6494.57410705257,-116.49395960399553,-31.47383992888209,-48.77716293161809,-147.32799967772476,222968.7964251335,227100.12700529894,10970.347547866326,2571.1388778759633,1130.969394682485,13117.076883840766
46800.0,sphere,true,3381.4854737133455,-9857.618167707305,-6032.447862368049,-126.48986434236147,-29.392736287684816,-52.577960701579855,-155.588439769866,222585.40306437417,226749.35918071636,11712.940201937117,2685.7545643151043,1223.5329828642057,13946.783841279434
50400.0,sphere,true,3570.9134618945905,-9434.561469409722,-5562.4160281011555,-135.91408939260705,-22.424254213059235,-56.05126272443236,-157.5540197655771,222189.97174704168,226381.45567752846,12432.370573236642,2787.485113979091,1315.5867700513786,14741.339151910594
54000.0,sphere,true,3754.6516818294426,-9011.805992158155,-5525.332985140804,-144.70963522499648,-8.64674641780799,-59.26559929320376,-151.86501093651688,222225.3765618439,226014.49620280927,13129.588620306302,2876.877509409191,1407.0492926383258,15501.889313182692
57600.0,sphere,true,3937.6116090275477,-8602.846272196526,-5765.106478321897,-153.58953237446644,-9.521437880432838,-62.62419678025067,-138.03983462049652,222551.0837945407,225663.00667214283,13805.515982721958,2954.5227670896966,1497.8636958526154,16230.109024834828
61200.0,sphere,true,4121.201863603671,-8217.835499978431,-6001.952289636128,-162.19722429146793,-9.505962213345839,-65.96601266445421,-116.46373570731537,222869.625965048,225336.48494880612,14461.404678326338,3021.5678613303317,1588.0340238218146,16927.673973579313
64800.0,sphere,true,4300.352178586137,-7861.687513364111,-6220.873351186828,-170.2112153022713,-10.437550654218061,-69.34222880139352,-87.94011890612344,223172.77214909633,225040.64547623566,15098.150133025936,3078.063623749732,1677.6541130560581,17595.98176036081
