z,e_prc_radiation,e_src_rad,total,rad_share
25.0,7587.324107300024,6077.737206666668,200110.66143575928,0.030371881053512878
75.0,-270.90295396190476,1133.0054961351725,73278.46313532375,0.01546164381262807
125.0,-412.09919649641245,0.0018760249942665487,67628.79842037044,2.774003143757574e-8
175.0,-111.50243139318765,2.2234466640975312e-9,68139.83683803254,3.26306426207423e-14
225.0,-109.58001663214736,4.095082602451182e-13,68291.48341408849,5.996476277459759e-18
275.0,-110.9680781390362,-2.2867264151956142e-12,68404.56079498383,-3.3429443718660673e-17
325.0,-113.45503394856854,-2.072751381957723e-9,68256.07890618313,-3.036727885887916e-14
375.0,-116.41379671979249,0.0007129919131862447,67012.61829859478,1.0639666547713383e-8
425.0,-1346.0929600047014,80.60643854715322,62622.89764255616,0.0012871719703429392
475.0,-5025.779790019883,328.2381594985662,56238.40899017505,0.005836547750771363
525.0,-10878.174806808434,452.4777806570568,50864.153532804616,0.008895808722447985
575.0,-8232.20701897405,343.08409465718717,53719.183298904034,0.006386621567721911
625.0,-19782.34388792834,45.164304268254256,56921.85278918873,0.0007934440299320755
675.0,-20565.795089624895,0.004347870375073363,61718.03665994301,7.044732156710473e-8
725.0,-19790.205306755066,3.0884237525980047e-9,63288.992438599336,4.87987505188091e-14
775.0,-8458.615007504019,1.1971047506816009e-15,63604.349197001895,1.8821114684686192e-20
825.0,-2652.1781914760013,3.3433920185133785e-22,63655.102915060976,5.252355059380986e-27
875.0,-2325.678403222979,7.37481041923003e-29,63683.73193940802,1.1580367850060679e-33
925.0,-2171.9168395760626,1.1596912218254441e-35,63717.780850155505,1.820043332257096e-40
975.0,-2078.3207148799297,-6.27345066148978e-38,63767.44097393628,-9.838015397315272e-43
1025.0,-2015.9599731681478,-1.885257142170871e-39,63836.42398402081,-2.953262455056659e-44
1075.0,-1972.580893566097,-2.611033082729632e-46,63924.69601077771,-4.0845451690367233e-51
1125.0,-1941.8117429228819,-2.0057071127630724e-53,64029.94127122478,-3.1324519013176767e-58
1175.0,-1919.9491594214342,-9.315464690083486e-61,64148.37052131592,-1.4521747963945619e-65
1225.0,-1904.6846286237208,-2.651097923284386e-68,64275.728240505014,-4.124570807450965e-73
1275.0,-1894.4964670372499,-4.5035364863527015e-76,64408.3185374422,-6.992165901264261e-81
1325.0,-1888.324810622419,-4.293170852531935e-84,64543.6563610788,-6.6515767692405e-89
1375.0,-1885.3925596797278,-2.0503045693292647e-92,64680.53192007738,-3.169894415622196e-97
1425.0,-1885.10877564685,-3.9299780135122483e-101,64818.62516588012,-6.063038213869661e-106
1475.0,-1887.0151343450716,-1.724955497387032e-110,64957.9960591122,-2.6554937067598443e-115
