# process_record_extrema.csv, from analysis/reduce_run.jl
# run: c6_column_no_repair
# generated: 1789059894 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_radiation,min_e_prc_surface_flux,min_e_prc_subsidence,min_e_prc_microphysics,max_e_prc_radiation,max_e_prc_surface_flux,max_e_prc_subsidence,max_e_prc_microphysics
0.0,column,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,column,false,-3976.4305596468066,0.0,-358.4726883670726,-29.818706192371685,442.0161199340467,6486.706201101389,106.24610846347167,0.0
7200.0,column,false,-5921.217775350955,0.0,-907.6915459720448,-48.658556726611224,594.0317944038679,13070.740887246855,651.2663938607743,0.0
10800.0,column,false,-6856.92402145319,0.0,-1191.4134649396738,-77.60291892982188,1251.2273332027723,19780.294428169032,1271.2721699868032,0.0
14400.0,column,false,-10254.800315675044,0.0,-2286.9193542171693,-97.31877262394674,1901.6576295217722,26594.531842877754,1804.5434027567471,0.0
18000.0,column,false,-13235.151083324352,0.0,-3373.0533136235517,-114.80311897450773,2435.7629209712777,33509.05920775311,2260.827920474899,0.0
21600.0,column,false,-15682.815064671908,0.0,-4303.596514042279,-151.84794966934706,2910.488960217864,40512.903263031454,3100.7236491778694,0.0
25200.0,column,false,-17440.521014895217,0.0,-4968.734226850248,-187.86473485211854,3324.399577727511,47594.079728786484,4887.197867701663,0.0
28800.0,column,false,-17706.965820986752,0.0,-5060.187152135866,-222.8009891629741,3709.984097868936,54744.66799035395,6560.8185186098735,0.0
32400.0,column,false,-17920.849865020133,0.0,-5100.79737894941,-251.66658244486203,4187.559943716946,61968.964383783474,7987.306115105144,0.0
36000.0,column,false,-18123.434049835058,0.0,-6115.110752323349,-276.3191917724641,4634.930511476459,69247.34128749788,9202.036692972599,0.0
39600.0,column,false,-18316.531269011935,0.0,-7042.535539283725,-301.240279580151,5032.910883290211,76587.58068520785,10237.36490099217,0.0
43200.0,column,false,-18493.62212517501,0.0,-7778.464329677816,-326.21912447175646,5377.647014641754,83984.03605225761,11121.008751921876,0.0
46800.0,column,false,-18881.629402144965,0.0,-8245.09439104378,-350.80289409456356,5665.266153614155,91429.72959354153,11875.38939777382,0.0
50400.0,column,false,-19107.056289576638,0.0,-8550.205715919192,-375.32280295280964,5890.0792010566665,98911.14375575591,12518.4394081044,0.0
54000.0,column,false,-19321.55955602935,0.0,-9775.259281586747,-398.0046275844861,6155.018098725772,106453.71808540415,13069.583835273628,0.0
57600.0,column,false,-19502.582475755997,0.0,-11073.13863209294,-417.78689880582374,6384.951239125795,114027.56650726224,13543.344434918772,0.0
61200.0,column,false,-19680.63536674066,0.0,-12444.453483370005,-435.8857808736304,6582.91584086826,121641.81950536509,13949.548497068068,0.0
64800.0,column,false,-19850.320730057298,0.0,-13888.492887074377,-452.23763181762195,6771.2588888717655,129297.77560340025,14297.587487601731,0.0
68400.0,column,false,-20012.46204309187,0.0,-15404.216368226651,-466.762822075033,6946.377550849111,136991.8504807902,14595.947409669652,0.0
72000.0,column,false,-20145.85134090612,0.0,-16989.07479146838,-480.03857085950625,7078.724127337649,144703.60649577534,14851.607020432097,0.0
75600.0,column,false,-20245.343195204336,0.0,-18644.22752710233,-493.1072050152038,7177.601615914295,152432.87992520034,15069.975757081716,0.0
79200.0,column,false,-20339.502932505144,0.0,-20371.907320913422,-504.73495206699073,7292.186811705903,160203.08981621533,15256.437936428021,0.0
82800.0,column,false,-20461.819820802262,0.0,-22170.910558389016,-514.4044101375173,7409.892959982802,168015.280972257,15415.423988698703,0.0
86400.0,column,false,-20565.795089624895,0.0,-24039.15880578118,-519.9770515155637,7587.324107300024,175871.19517425197,15551.63514349165,0.0
