z,e_prc_radiation,e_src_rad,total,rad_share
25.0,15771.289692558163,13113.682450186394,206494.089936245,0.06350633305890373
75.0,6323.423842508618,6912.1812280586455,78910.53118187247,0.08759516790132227
125.0,1152.50502758972,1318.5913226066646,68665.32333722757,0.019203161923971854
175.0,77.80728589782697,85.5803802051926,68450.77230189102,0.0012502471093789012
225.0,80.79841515321102,85.76627534607533,68556.23447717067,0.001251035387228504
275.0,82.8750558217321,88.99328551904522,68680.0588451796,0.0012957660056706738
325.0,83.76636547878007,90.9181555557627,68734.69147401437,0.0013227404329025749
375.0,45.42843477702998,103.28515023058108,68103.40039143723,0.0015165931456715825
425.0,-830.0758382464652,207.27854374114446,64442.964943319574,0.003216465038867393
475.0,-4502.154369037014,521.6289869096066,55436.4195349303,0.009409499951217629
525.0,-12684.1723639913,906.6166099330046,46738.52179619005,0.019397631227757586
575.0,-12431.1941445682,832.4275749324229,48771.26144111726,0.017067993534213444
625.0,-12377.834218047252,216.56643358353088,52508.07663262685,0.004124440418923351
675.0,-12880.661926743895,1.2112961507108986,57345.07736272451,2.112293166942811e-5
725.0,-43033.22943940676,9.107455569812256e-8,61406.9246390218,1.4831316864262583e-12
775.0,-19183.15606488879,2.1079932363432368e-14,63160.30064546809,3.337528819211678e-19
825.0,-2991.465350828279,3.90966425680213e-21,63328.63188883617,6.173612377518203e-26
875.0,-2576.6567868904813,5.785486995115833e-28,63376.19565840021,9.128801334652208e-33
925.0,-2378.2371271354455,6.918378893695694e-35,63423.57425405606,1.0908213507461305e-39
975.0,-2255.8795018899054,6.640167058429217e-42,63483.47285085122,1.0459678338690923e-46
1025.0,-2173.052318912562,5.057170403636281e-49,63560.51518514774,7.956465407659244e-54
1075.0,-2114.212481360165,3.0063130362989476e-56,63655.25037566927,4.722804511107603e-61
1125.0,-2071.2788620294114,1.3607350000773103e-63,63765.70049535271,2.1339607179199445e-68
1175.0,-2039.5574065474216,4.527918194293121e-71,63888.31243248604,7.087240250833041e-76
1225.0,-2016.1205556469424,1.0574738457242128e-78,64019.00225523471,1.6518124439181578e-83
1275.0,-1999.0369506815762,1.631664877511325e-86,64154.20464282573,2.543348306779751e-91
1325.0,-1986.9626987107176,1.5309531769543877e-94,64291.53864308759,2.3812669742645686e-99
1375.0,-1978.91604901506,7.691550535916885e-103,64429.85633506824,1.1937866966390371e-107
1425.0,-1974.1541740319392,1.641884652392149e-111,64568.8614024423,2.542842814214539e-116
1475.0,-1972.1037381449066,8.42430089624446e-121,64708.638413800734,1.301881959310052e-125
