# process_record_extrema.csv, from analysis/reduce_run.jl
# run: c8_column_1m
# generated: 1789108345 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_radiation,min_e_prc_surface_flux,min_e_prc_subsidence,min_e_prc_microphysics,min_e_prc_precipitation,max_e_prc_radiation,max_e_prc_surface_flux,max_e_prc_subsidence,max_e_prc_microphysics,max_e_prc_precipitation
0.0,column,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,column,false,-4680.094769035459,0.0,-428.4222554638367,0.0,-22.398395171005077,428.3743801148292,6486.056562956825,113.64019389842319,0.0,4.302829394697927
7200.0,column,false,-9140.318481529714,0.0,-1445.5047960127679,0.0,-30.782977573777114,676.9810205893973,13078.588022286911,1005.49427371228,0.0,7.082440567795904
10800.0,column,false,-12976.849940690265,0.0,-2662.2327380794272,0.0,-41.195679072151385,1454.8191426365172,19796.996499152996,2527.9435567684404,0.0,8.930301089085964
14400.0,column,false,-16014.643132103374,0.0,-3712.039642816141,0.0,-78.98124056459241,2283.628987282801,26627.070383483184,4425.683265718863,0.0,11.33599170808024
18000.0,column,false,-16500.574720712255,0.0,-3948.5507774866487,0.0,-132.24452498258884,3066.5302128942553,33563.27639280923,6298.616634112083,0.0,13.934557562851923
21600.0,column,false,-16779.89648437532,0.0,-4491.92411873256,0.0,-191.42879749316813,3849.7130128307213,40590.23633939335,7847.807802757635,0.0,16.41636192664099
25200.0,column,false,-17034.547772515976,0.0,-6183.957264862381,0.0,-253.88582229534973,4626.610002195709,47700.67434379693,9125.190851674537,0.0,18.504796364306507
28800.0,column,false,-20147.632932682096,0.0,-7853.181383253367,0.0,-313.68746147455647,5387.745046234563,54887.07719801795,10179.403481408026,0.0,20.170957373840103
32400.0,column,false,-24086.141459328705,0.0,-9404.115925886763,0.0,-369.9593316242888,6128.8213698863965,62143.318342574734,11049.259550648077,0.0,21.52228337246938
36000.0,column,false,-27953.382821533465,0.0,-10772.2794871206,0.0,-422.3807588540136,6849.233671417003,69463.09500360466,11768.30508560303,0.0,22.45096926720423
39600.0,column,false,-31708.364130934406,0.0,-11919.483510745775,0.0,-470.9268633940515,7548.780529322769,76841.64407881215,12364.376311359554,0.0,22.485434243275453
43200.0,column,false,-35279.50491974503,0.0,-12816.872496018905,0.0,-515.9227135100084,8226.579895620484,84274.80044511876,13460.68964717844,0.0,21.267560410663236
46800.0,column,false,-38478.93537778379,0.0,-13405.055768588787,0.0,-558.7250563650501,8881.882844265689,91760.07186883708,16973.785308154267,0.0,20.511828010484145
50400.0,column,false,-40061.26702449083,0.0,-13418.099263011925,0.0,-601.848586599969,9514.072573455624,99290.91210303061,20441.179164187393,0.0,21.12182700804201
54000.0,column,false,-40578.54647079076,0.0,-12794.06088516019,0.0,-673.6499709116993,10155.601007008785,106839.90001128499,23504.99369984133,0.0,55.27208018708321
57600.0,column,false,-41010.598619690325,0.0,-13503.324182222443,0.0,-736.4537924206079,10840.976557518743,114471.75780364122,26070.760054930408,0.0,55.59781330312074
61200.0,column,false,-41388.62351851629,0.0,-13268.463932893823,0.0,-795.0043765884509,11499.625949254289,122135.77917585934,28218.663131223035,0.0,55.86197779895721
64800.0,column,false,-41722.619185963515,0.0,-14031.434496456655,0.0,-881.7453857119544,12171.251233735535,129826.38580069733,30016.93998334471,0.0,56.14621192257858
68400.0,column,false,-42014.40330582355,0.0,-15565.456377416893,0.0,-950.746114345745,12826.947765901774,137562.6717368519,31521.209826679664,0.0,56.42959199573791
72000.0,column,false,-42265.20987793441,0.0,-17171.41033459289,0.0,-1014.9774131414569,13449.325103778794,145337.3092101634,32782.29764769516,0.0,56.70959741212066
75600.0,column,false,-42490.47205642472,0.0,-18846.550847032264,0.0,-1102.0163161097732,14077.089048950244,153132.57326657695,33838.950252807605,0.0,56.977334614552326
79200.0,column,false,-42692.10009933947,0.0,-20591.928449624353,0.0,-1174.3988855404732,14670.436360226668,160965.28048396052,34723.59242397162,0.0,57.22557675060794
82800.0,column,false,-42872.78137853798,0.0,-22405.162627189755,0.0,-1247.6452816069932,15233.816561951664,168829.169733683,35467.154500313845,0.0,57.457786677907514
86400.0,column,false,-43033.22943940676,0.0,-24284.004009640652,0.0,-1329.6319331550008,15771.289692558163,176715.2756978205,36092.105317230045,0.0,57.6724536541074
