# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c9_sphere_enthalpy
# generated: 1789112317 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_mp,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_mp,max_e_src_new_tropics,max_e_src_new_extratropics
0.0,sphere,true,3.801784917881153e-11,0.0,0.0031357680740889526,0.0,0.0,0.0,0.0,0.0,217406.80386903352,222808.42859456438,0.0,0.0,0.0,0.0,0.0
3600.0,sphere,true,1183.923658900567,-731.7187820723302,-430.0066367195436,-0.2519038556190789,-0.03036688196580054,-0.004523704923437923,-0.1087460571633941,-0.26990055007135466,215718.09434863523,221365.88402643922,1057.9922242575178,304.37605362144086,1.47948146530655,87.92355190594454,1323.2831249103053
7200.0,sphere,true,1183.8417668019915,-1464.9257917261841,-941.5174732482094,-1.0904700276511214,-0.1806480930576906,-0.009534367892899418,-0.4522466265912062,-1.2406436011714128,215867.95699249126,221399.99920031248,2060.51788146794,583.547985552529,1.4844756184888093,181.38209594039793,2568.544118442467
10800.0,sphere,true,1183.8048793878365,-2169.9862777006224,-1436.6185150813035,-2.7551968872597863,-0.5461657172526477,-0.015685500257922872,-1.0315491629662428,-3.227352098710883,216052.97309769143,221416.7585598188,3007.291561056599,842.0705182261713,2.010313841899726,274.6031835550484,3742.49922748377
14400.0,sphere,true,1183.8240310391432,-2839.1266222488334,-1915.5999668376114,-5.901131125084885,-1.2969142957234192,-0.021400760171254925,-1.8375517293471484,-7.00848969469094,216232.48670841794,221420.511964816,3902.6739295020902,1081.1231826407043,16.231506618374,367.58663608922086,4852.3623108364145
18000.0,sphere,true,1183.7016367750093,-3471.6404243809607,-2395.2524859628165,-11.051332153934059,-2.3956861946886825,-0.026409840975952288,-2.8664125342411433,-13.181916692896262,216397.46512651295,221409.10649302704,4755.405473801937,1301.273950907967,28.025488661547527,460.32824175862095,5902.025438092223
21600.0,sphere,true,1183.5975719582277,-4068.239212053801,-2860.026948997903,-18.73310136160512,-3.9517079101347647,-0.03069357397313426,-4.097719872334844,-22.381274568214078,216565.43291606117,221422.41121668863,5571.607394698629,1502.5052014183157,38.67469587649289,552.8206609878911,6895.6539117294915
25200.0,sphere,true,1183.6264817643414,-4636.8424618526,-3301.991118554359,-29.007568452342564,-5.989002462857026,-0.03424686851927438,-5.526584482490546,-34.33546300887923,216706.81505803132,221447.8672130514,6357.29037088292,1685.5402802806234,48.139404450751485,645.0573423971191,7840.22522297377
28800.0,sphere,true,1183.6856893134552,-5181.685283903039,-3713.031517876436,-41.83471271158536,-8.426906467861448,-0.03701626662029493,-7.160111764153013,-45.58475015821784,216811.6335885182,221503.6427923303,7114.867742569562,1852.5000398062461,56.59172217522977,737.0251763063143,8741.049017594429
32400.0,sphere,true,1183.65529380202,-5707.440401168831,-4088.5525181241114,-56.931979779555434,-9.343318798977299,-0.03900576014895792,-9.002444551686532,-55.537280463337105,216893.57429755531,221541.16867732018,7842.413369151819,2003.0192907231908,64.10512565617626,828.7326671175246,9597.025915241076
36000.0,sphere,true,1183.4651566317034,-6228.595787212539,-4427.540300142858,-74.14457500991372,-7.2179592281002165,-0.04275020445154669,-11.058799117169327,-64.01628155221536,216973.0196391926,221568.3836032625,8542.081043149821,2138.512301635889,71.0013006695744,920.206939651481,10407.757360186708
39600.0,sphere,true,1183.2066949952857,-6769.024646210159,-4729.694875470393,-92.7108847875841,-4.081229545447102,-0.0629745616357731,-13.310512355495847,-70.08708744455701,217071.0008984891,221557.75217752712,9210.638211556194,2259.6654845342273,77.3879095389884,1011.5107458872205,11177.393859045873
43200.0,sphere,true,1183.0329505841828,-7282.538969166612,-4998.418448339392,-112.09612404189588,-4.66208523897851,-0.04116690070057609,-15.67109510652203,-73.23952940442983,217214.8301453744,221546.21293540872,9861.046429085036,2367.5049994669275,83.25497814828769,1102.708523347093,11912.12599327386
