time,form_a_max,form_a_relative,initial_min_lower,initial_min_upper,form_a_max_unrepaired,initial_lower,initial_upper,energy_change,records,form_b
0.0,0.0,0.0,0.0,0.0,0.0,3.8231164254683936e8,2.5450518738212138e8,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,3.8231164119433016e8,2.5450518738212144e8,1562.9042575359344,1562.7644878413753,0.13976969455916333
120.0,0.0,0.0,0.0,0.0,0.0,3.8231164118784547e8,2.5450518738212144e8,3131.923572063446,3131.7831082864263,0.14046377701970414
180.0,0.0,0.0,2.7976019033079065e-56,0.0,0.0,3.823116411872137e8,2.5450518738212138e8,4698.903462171555,4698.762967329035,0.140494842519729
240.0,0.0,0.0,6.3035963014028225e-53,2.290501033580745e-44,0.0,3.8231164118707883e8,2.5450518738212138e8,6266.661138176918,6266.520636551546,0.14050162537205324
300.0,0.0,0.0,9.256045531369947e-51,5.497510562091174e-42,0.0,3.8231164118705016e8,2.5450518738212147e8,7836.076893091202,7835.936390142883,0.14050294831849897
360.0,0.0,0.0,4.393792460033316e-49,3.646664788348629e-40,0.0,3.823116411870425e8,2.5450518738212153e8,9406.939820051193,9406.799316882256,0.14050316893735726
420.0,0.0,0.0,1.0431304192171743e-47,1.1430126676054162e-38,0.0,3.823116411870385e8,2.5450518738212144e8,10978.91600728035,10978.775504123798,0.1405031565518584
480.0,0.0,0.0,1.5368061089873374e-46,2.1371207362165978e-37,0.0,3.823116411870359e8,2.5450518738212138e8,12551.841112613678,12551.700609348305,0.14050326537289948
540.0,0.0,0.0,1.5947732260170556e-45,2.7249285208889126e-36,0.0,3.82311641187034e8,2.5450518738212153e8,14125.645595669746,14125.505092228337,0.14050344140923698
600.0,0.0,0.0,1.2645856175028233e-44,2.582621481600145e-35,0.0,3.823116411870326e8,2.5450518738212156e8,15700.276803851128,15700.136300404802,0.14050344632596534
660.0,0.0,0.0,8.10393515539439e-44,1.931092168223597e-34,0.0,3.823116411870314e8,2.5450518738212147e8,17275.681388616562,17275.540885351602,0.14050326495998888
720.0,0.0,0.0,4.369581716325765e-43,1.18934313221616e-33,0.0,3.823116411870304e8,2.5450518738212153e8,18851.810278058052,18851.669774821712,0.1405032363400096
780.0,0.0,0.0,2.0425838199414262e-42,6.231572219088833e-33,0.0,3.8231164118702954e8,2.5450518738212144e8,20428.621824145317,20428.48132041022,0.14050373509599012
840.0,0.0,0.0,8.46919979052692e-42,2.847501876205739e-32,0.0,3.8231164118702877e8,2.5450518738212144e8,22006.08069908619,22005.940195584953,0.14050350123579847
900.0,0.0,0.0,3.1710805520039417e-41,1.1571970804699333e-31,0.0,3.8231164118702805e8,2.5450518738212144e8,23584.155873775482,23584.01537044677,0.1405033287119295
960.0,0.0,0.0,1.0875416422767141e-40,4.248518252281972e-31,0.0,3.8231164118702745e8,2.5450518738212153e8,25162.819814682007,25162.679311099553,0.14050358245367534
1020.0,0.0,0.0,3.4555917689647924e-40,1.4271973550835934e-30,0.0,3.823116411870269e8,2.5450518738212147e8,26742.048125743866,26741.907622257833,0.14050348603268503
