# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: d1_column_1m_ice
# generated: 1789122227 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_upper,min_e_src_lower,min_e_src_sfc,min_e_src_mp,min_e_src_new_upper,min_e_src_new_lower,max_e_src_upper,max_e_src_lower,max_e_src_sfc,max_e_src_mp,max_e_src_new_upper,max_e_src_new_lower
0.0,column,false,2.9103830456733704e-11,0.0,0.0,0.0,0.0,0.0,0.0,103757.39210490731,90053.63401376444,0.0,0.0,0.0,0.0
60.0,column,false,692.4598580943857,0.0,0.0,0.0,0.0,0.0,0.0,103766.95553010784,90058.79263537585,26.245395615412374,0.0,0.0,26.245395615412374
120.0,column,false,847.2228157417703,0.0,0.0,0.0,0.0,0.0,0.0,103771.11102849901,90061.78109142082,49.86734571859612,0.0,0.0,49.86734571859612
180.0,column,false,881.963507935332,0.0,2.7976019033079065e-56,0.0,0.0,0.0,0.0,103771.84927512259,90064.2193725976,71.33850015299579,0.0,0.0,71.33850015299579
240.0,column,false,907.3062852948206,2.290501033580745e-44,6.3035963014028225e-53,0.0,0.0,0.0,0.0,103770.56959710275,90066.39844508853,91.11009059438044,0.0,0.0,91.11009059438044
300.0,column,false,949.9114636034355,5.497510562091174e-42,9.256045531369947e-51,0.0,0.0,0.0,0.0,103768.27903443623,90068.3486592965,109.5075880381011,0.0,0.0,109.5075880381011
360.0,column,false,996.0416491418873,3.646664788348629e-40,4.393792460033316e-49,0.0,0.0,0.0,0.0,103765.38905532693,90070.09919506033,126.76451052188997,0.0,0.0,126.76451052188997
420.0,column,false,1036.8253989294317,1.1430126676054162e-38,1.0431304192171743e-47,0.0,0.0,0.0,0.0,103762.071492287,90071.69228417358,143.0551701291359,0.0,0.0,143.0551701291359
480.0,column,false,1071.9354237119842,2.1371207362165978e-37,1.5368061089873374e-46,0.0,0.0,0.0,0.0,103758.4356684957,90073.16134703407,158.511563495753,0.0,0.0,158.511563495753
540.0,column,false,1102.9895406953146,2.7249285208889126e-36,1.5947732260170556e-45,0.0,0.0,0.0,0.0,103754.56541667199,90074.52588250482,173.23677305318472,0.0,0.0,173.23677305318472
600.0,column,false,1130.831023481427,2.582621481600145e-35,1.2645856175028233e-44,0.0,0.0,0.0,0.0,103750.53070722436,90075.7921477231,187.31299653363592,0.0,0.0,187.31299653363592
660.0,column,false,1155.7118368368683,1.931092168223597e-34,8.10393515539439e-44,0.0,0.0,0.0,0.0,103746.39563924183,90076.97968826584,200.8169746470941,0.0,0.0,200.8169746470941
720.0,column,false,1177.8166548400914,1.18934313221616e-33,4.369581716325765e-43,0.0,0.0,0.0,0.0,103742.20701143924,90078.10454371477,213.8125722046921,0.0,0.0,213.8125722046921
