time,form_a_max,form_a_relative,initial_min_lower,initial_min_upper,form_a_max_unrepaired,initial_lower,initial_upper,energy_change,records,form_b
0.0,0.0,0.0,0.0,0.0,0.0,3.8231164254683936e8,2.5450518738212138e8,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,3.8231164119405943e8,2.5450518738212138e8,1561.1718020439148,1561.032036779146,0.1397652647688119
120.0,0.0,0.0,0.0,0.0,0.0,3.823116411875683e8,2.5450518738212144e8,3124.4316322803497,3124.291172305012,0.14045997533776244
180.0,0.0,0.0,0.0,8.383799256324915e-90,0.0,3.823116411869349e8,2.5450518738212138e8,4681.8010622262955,4681.66057066692,0.14049155937573232
240.0,0.0,0.0,2.946425139284917e-76,1.1537764426665735e-84,0.0,3.8231164118679935e8,2.5450518738212144e8,6236.221974372864,6236.081476510127,0.14049786273699283
300.0,0.0,0.0,3.938833560303333e-73,8.403944981212162e-83,0.0,3.8231164118677044e8,2.5450518738212138e8,7788.670862078667,7788.530362737456,0.14049934121067054
360.0,0.0,0.0,1.2977039894224611e-71,1.1194968678162862e-81,0.0,3.8231164118676263e8,2.5450518738212144e8,9339.01472389698,9338.874224557338,0.14049933964270167
420.0,0.0,0.0,1.1494591732527115e-70,6.246611436821465e-81,0.0,3.823116411867587e8,2.5450518738212144e8,10886.983123779297,10886.842623929497,0.14049984980010777
480.0,0.0,0.0,4.972468139982489e-70,2.05872550997495e-80,0.0,3.8231164118675613e8,2.5450518738212138e8,12432.463327169418,12432.322827674801,0.14049949461696087
540.0,0.0,0.0,1.386320263435033e-69,4.831972289856227e-80,0.0,3.823116411867543e8,2.5450518738212132e8,13975.4286185503,13975.28811912283,0.14049942747078603
600.0,0.0,0.0,2.9044312668220846e-69,9.009861685593147e-80,0.0,3.8231164118675274e8,2.5450518738212144e8,15515.864742398262,15515.72424253627,0.14049986199279374
660.0,0.0,0.0,5.00148086388893e-69,1.4298163735892298e-79,0.0,3.823116411867514e8,2.5450518738212132e8,17053.75285577774,17053.61235594397,0.14049983377117314
720.0,0.0,0.0,7.490757390857208e-69,2.0198658472209276e-79,0.0,3.823116411867503e8,2.5450518738212138e8,18589.074261903763,18588.933762423065,0.14049948069805396
780.0,0.0,0.0,1.0136270826230862e-68,2.6201343259551332e-79,0.0,3.8231164118674946e8,2.5450518738212144e8,20121.81416463852,20121.67366508522,0.14049955329755903
840.0,0.0,0.0,1.2727315724319227e-68,3.1907076017591447e-79,0.0,3.823116411867487e8,2.5450518738212138e8,21651.961039423943,21651.820539795823,0.14049962811986916
900.0,0.0,0.0,1.5115484974133336e-68,3.706880375121589e-79,0.0,3.8231164118674797e8,2.5450518738212144e8,23179.504451990128,23179.363952232237,0.14049975789021119
960.0,0.0,0.0,1.7220301962587019e-68,4.156482512606214e-79,0.0,3.8231164118674743e8,2.5450518738212147e8,24704.4349244833,24704.29442485697,0.14049962632998358
1020.0,0.0,0.0,1.901425039422967e-68,4.537039652010946e-79,0.0,3.8231164118674695e8,2.5450518738212144e8,26226.744509339333,26226.604009640032,0.1404996993005625
1080.0,0.0,0.0,2.0505220050755502e-68,4.852242665401488e-79,0.0,3.823116411867464e8,2.5450518738212138e8,27746.426654100418,27746.28615420699,0.14049989342674962
1140.0,0.0,0.0,2.1721101149534884e-68,5.109049372114851e-79,0.0,3.82311641186746e8,2.5450518738212138e8,29263.476024627686,29263.33552520345,0.14049942423662287
1200.0,0.0,0.0,2.2698591237922204e-68,5.315669880228837e-79,0.0,3.823116411867456e8,2.5450518738212132e8,30777.88836157322,30777.747862185053,0.140499388166063
1260.0,0.0,0.0,2.3476465198348928e-68,5.480166363118532e-79,0.0,3.8231164118674517e8,2.5450518738212147e8,32289.660586953163,32289.520087018627,0.14049993453591014
1320.0,0.0,0.0,2.409040006617423e-68,5.610092944808829e-79,0.0,3.823116411867447e8,2.5450518738212132e8,33798.79100513458,33798.65050570783,0.14049942675046623
1380.0,0.0,0.0,2.4571885868152224e-68,5.712140456734265e-79,0.0,3.8231164118674433e8,2.5450518738212138e8,35305.2785820961,35305.13808252787,0.14049956823146204
1440.0,0.0,0.0,2.4947688607945402e-68,5.791943932849233e-79,0.0,3.82311641186744e8,2.5450518738212144e8,36809.122828006744,36808.98232834953,0.14049965721642366
