z,e_prc_radiation,e_src_rad,total,rad_share
25.0,355.6113874442263,1495.9290963606068,68011.98289802118,0.021995081346233344
75.0,375.0626396110592,1498.2295053167588,68073.11998948963,0.022009120568413535
125.0,399.76234330245364,1499.2683888059105,68184.17188273929,0.02198851063827979
175.0,420.8599198590111,1499.8773385719953,68308.10691504194,0.02195753046468503
225.0,417.1637647041066,1500.281068366958,68437.20632034792,0.021922009226155257
275.0,490.903631437772,1500.5639404037106,68568.91570408801,0.021884026092514813
325.0,1107.5971823862303,1500.7665294554527,68702.057329347,0.02184456459958704
375.0,3484.026971449149,1500.9282139702993,68835.76526072231,0.021804482136363042
425.0,6163.573917296193,1501.0594512036798,68971.68955429124,0.02176341424871312
475.0,4859.127214188721,1581.7203501902936,69089.6074986235,0.022893752149652998
525.0,3079.4985790081646,1675.7343107761835,70359.64765155091,0.023816695601932083
575.0,2829.7756583140485,2087.8433288859633,71930.93030906304,0.02902566837263472
625.0,2522.7459034824383,2512.179777429484,74081.22310606732,0.03391115416429638
675.0,-1623.4010442807557,2388.3482888981807,74778.43541187624,0.03193899786406691
725.0,-25477.93798266367,2028.8325732246144,74751.56523944023,0.027141004562592986
775.0,-76667.74181168474,1422.8925376597588,73480.15568717207,0.019364310327776874
825.0,-18309.79054535853,659.6470987774907,70115.25291432427,0.009408039925114887
875.0,-6378.313955584226,295.5458597608589,69724.21155639403,0.0042387838193310625
925.0,-3380.3989664265023,1.1075799976590008,62921.394839208195,1.760259766156415e-5
975.0,-2965.143759588292,2.8367777690465795e-5,63035.10151698251,4.500314429226886e-10
1025.0,-2729.070699063122,1.0172210461053938e-9,63179.91633634903,1.610038608930795e-14
1075.0,-2571.6922771508384,5.507539103168578e-14,63319.96971485823,8.697949679966787e-19
1125.0,-2459.68648658228,6.290324620009378e-18,63463.59458193655,9.911705539918745e-23
1175.0,-2376.7803907212624,1.5799675976109308e-20,63611.8265496026,2.483763921444575e-25
1225.0,-2313.8446569921593,3.1672330603448402e-22,63761.81255150032,4.967288308792462e-27
1275.0,-2265.3929166623866,1.902495441621238e-23,63909.76107490177,2.9768464310037514e-28
1325.0,-2227.8742372477614,1.3621222311355432e-24,64056.33348884416,2.1264442670181333e-29
1375.0,-2198.7642857507813,1.0485932325545068e-25,64201.26888970455,1.633290510746683e-30
1425.0,-2176.267724875595,8.789545683445452e-27,64344.29313320635,1.3660179101275113e-31
1475.0,-2159.078519372287,5.330561926743613e-28,64486.053718597155,8.266224430486945e-33
