z,e_prc_radiation,e_src_rad,total,rad_share
25.0,355.6113874442263,1496.2663874078007,68011.98289802119,0.02200004063477077
75.0,375.0626396110592,1498.5010280781291,68073.11998948963,0.022013109261181142
125.0,399.76234330245364,1499.520188272168,68184.1718827393,0.02199220356963474
175.0,420.8599198590111,1500.1147286843163,68308.10691504195,0.021961005749289473
225.0,417.1637647041066,1500.507409398497,68437.20632034792,0.021925316506561758
275.0,490.903631437772,1500.7816358171647,68568.91570408801,0.021887200933639522
325.0,1107.5971823862303,1500.9775923487157,68702.05732934701,0.021847636747663348
375.0,3484.026971449149,1501.1331788031607,68835.7652607223,0.021807459728492445
425.0,6163.573917296193,1501.2586430059057,68971.68955429124,0.021766302271371593
475.0,4859.127214188721,1578.0165819538686,69089.60749862349,0.02284014396789428
525.0,3079.4985790081646,1668.668512677955,70359.6476515509,0.023716271589958333
575.0,2829.7756583140485,2068.8531128146274,71930.93030906304,0.028761662110102854
625.0,2522.7459034824383,2480.0216440571644,74081.22310606734,0.03347706125891498
675.0,-1623.4010442807557,2352.3931795246663,74778.43541187624,0.031458175964337726
725.0,-25477.93798266367,2003.2776228239588,74751.56523944021,0.02679913947496841
775.0,-76667.74181168474,1430.5758943791054,73480.15568717208,0.019468874024566752
825.0,-18309.79054535853,697.9152893922981,70115.25291432427,0.00995382973580798
875.0,-6378.313955584226,326.0653275828861,69724.21155639403,0.004676500749229116
925.0,-3380.3989664265023,6.2593948898185,62921.394839208195,9.947959522852288e-5
975.0,-2965.143759588292,0.07281850032428255,63035.101516982504,1.1552055691488698e-6
1025.0,-2729.070699063122,0.0007832219955707574,63179.91633634902,1.2396692509074277e-8
1075.0,-2571.6922771508384,9.208414555254286e-6,63319.96971485822,1.4542670498298586e-10
1125.0,-2459.68648658228,1.0782619533558864e-7,63463.59458193652,1.6990243941568182e-12
1175.0,-2376.7803907212624,1.5698845862009213e-9,63611.826549602585,2.467913077416151e-14
1225.0,-2313.8446569921593,6.212950550547234e-11,63761.812551500334,9.743999271553082e-16
1275.0,-2265.3929166623866,5.603715682558303e-12,63909.76107490177,8.768168724634707e-17
1325.0,-2227.8742372477614,5.936766053378088e-13,64056.33348884419,9.268039130606833e-18
1375.0,-2198.7642857507813,6.857347325610965e-14,64201.268889704545,1.0681015257489131e-18
1425.0,-2176.267724875595,8.811577178577278e-15,64344.29313320636,1.3694419115515715e-19
1475.0,-2159.078519372287,8.596867553681059e-16,64486.05371859716,1.3331359352823608e-20
