z,e_prc_radiation,e_src_rad,total,rad_share
25.0,292.88943,1013.4123,71222.74,0.014228774
75.0,309.86758,1014.9303,71249.87,0.014244663
125.0,333.68524,1016.2568,71339.086,0.014245441
175.0,354.8925,1077.7649,71380.07,0.015098961
225.0,363.72437,1109.9755,71984.68,0.015419607
275.0,417.92072,1220.1016,72164.24,0.016907288
325.0,894.0926,1468.8123,72275.82,0.02032232
375.0,1869.086,1567.233,72375.53,0.021654183
425.0,3456.9165,1733.2064,72389.54,0.023942774
475.0,4197.153,2076.4136,72314.77,0.028713547
525.0,4482.768,1314.1174,71424.31,0.018398741
575.0,3919.8052,1637.6029,73419.57,0.02230472
625.0,3374.7515,3274.302,74344.9,0.044042055
675.0,651.4323,3303.8096,72815.45,0.045372367
725.0,-8262.183,2551.653,69099.055,0.036927465
775.0,-64172.37,1452.8513,62718.582,0.023164608
825.0,-42680.676,720.0059,57892.9,0.012436861
875.0,-8326.822,197.98808,63722.88,0.0031070171
925.0,-3803.9634,1.0124032,62686.15,1.615035e-5
975.0,-3205.5876,3.8630344e-5,62872.4,6.144245e-10
1025.0,-2896.9292,1.0818758e-9,63041.33,1.7161374e-14
1075.0,-2699.893,6.774673e-14,63196.5,1.0720014e-18
1125.0,-2562.9202,4.0483394e-18,63350.457,6.390387e-23
1175.0,-2462.9019,1.64898e-20,63505.75,2.5965837e-25
1225.0,-2387.5588,3.3359963e-22,63660.344,5.240305e-27
1275.0,-2329.748,1.5650128e-23,63811.594,2.4525524e-28
1325.0,-2284.9336,7.253092e-25,63961.04,1.1339859e-29
1375.0,-2249.9792,3.807153e-26,64107.805,5.938673e-31
1425.0,-2222.7097,2.1087217e-27,64252.066,3.2819514e-32
1475.0,-2201.5493,1.1301962e-28,64394.125,1.7551233e-33
