time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative
0.0,1.2159377,1.076171e-8,0.9381622,8.303246e-9,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
3600.0,101491.83,0.0008976879,100772.85,0.0008913286,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.517702e-9
7200.0,95260.61,0.0008420219,92566.41,0.00081820745,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.513437e-9
10800.0,204383.22,0.0018054743,196833.27,0.0017387798,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.5094796e-9
14400.0,216033.25,0.0019071538,202834.17,0.0017906316,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.505269e-9
18000.0,198648.33,0.0017526441,182084.83,0.0016065069,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.501432e-9
21600.0,193830.9,0.0017091747,175840.22,0.0015505353,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.497759e-9
25200.0,218369.2,0.0019244837,200511.53,0.0017671043,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.4941603e-9
28800.0,261290.61,0.0023013328,245361.33,0.0021610348,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.490166e-9
32400.0,246626.02,0.0021710922,233106.06,0.0020520736,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.486935e-9
36000.0,235987.44,0.0020764507,224519.14,0.0019755415,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.48385e-9
39600.0,238125.81,0.0020943612,228771.88,0.0020120915,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.4810486e-9
43200.0,237563.38,0.0020885605,232527.73,0.0020442891,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.4783996e-9
46800.0,260856.25,0.002292395,261814.25,0.002300814,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.4757253e-9
50400.0,285989.9,0.0025122825,294565.25,0.0025876127,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.4731838e-9
54000.0,330722.16,0.00290416,348091.06,0.003056681,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.470792e-9
57600.0,369993.62,0.0032478266,396509.97,0.0034805886,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368858,6.4684285e-9
61200.0,425595.3,0.0037345716,457264.44,0.0040124664,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368859,6.4661267e-9
64800.0,283717.44,0.002488721,315255.47,0.0027653673,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368859,6.4638375e-9
68400.0,272898.3,0.002393141,304283.4,0.002668368,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368859,6.462011e-9
72000.0,281290.25,0.002466097,313892.2,0.002751921,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368859,6.460345e-9
75600.0,292622.6,0.0025648433,328189.12,0.0028765847,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368859,6.4588206e-9
79200.0,316429.47,0.0027728642,356340.3,0.003122602,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368859,6.4573142e-9
82800.0,342386.44,0.002999663,387924.16,0.0033986208,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368859,6.4558905e-9
86400.0,369525.75,0.0032367979,421794.7,0.0036946388,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.7368859,6.4546266e-9
