time,gap_integral,gap_gross,new_integral,kept_over_levels,kept_over_columns,kept_overall
0.0,0.0,0.0,0.0,0.0,NaN,0.0
3600.0,-0.4979378,5.5528884,507127.5,0.08967186,NaN,0.08967186
7200.0,-0.26401728,15.1190195,1.03217556e6,0.017462593,NaN,0.017462593
10800.0,-0.6850647,29.044302,1.543901e6,0.023586888,NaN,0.023586888
14400.0,-0.64292777,68.10596,2.0530211e6,0.009440111,NaN,0.009440111
18000.0,-0.84307593,158.22115,2.5842225e6,0.0053284657,NaN,0.0053284657
21600.0,-0.31752208,345.4553,3.1427058e6,0.0009191409,NaN,0.0009191409
25200.0,-0.90773135,538.0994,3.7077662e6,0.0016869212,NaN,0.0016869212
28800.0,-5.87554,230.89555,4.199547e6,0.025446743,NaN,0.025446743
32400.0,-8.57116,271.03235,4.713757e6,0.031624123,NaN,0.031624123
36000.0,-10.963385,543.9367,5.2508105e6,0.020155625,NaN,0.020155625
39600.0,-12.446885,643.49817,5.7886265e6,0.019342534,NaN,0.019342534
43200.0,-15.89318,1114.1443,6.3568245e6,0.014264921,NaN,0.014264921
46800.0,-20.345219,1842.4851,6.9461565e6,0.01104227,NaN,0.01104227
50400.0,-30.454329,2626.6313,7.546413e6,0.011594444,NaN,0.011594444
54000.0,-39.774075,1696.1272,8.149124e6,0.023449937,NaN,0.023449937
57600.0,-49.27752,1136.5424,8.747294e6,0.0433574,NaN,0.0433574
61200.0,-61.77158,1995.3901,9.331143e6,0.030957144,NaN,0.030957144
64800.0,-96.77045,1814.6125,9.847715e6,0.053328436,NaN,0.053328436
68400.0,-142.68065,1815.4905,1.0368958e7,0.07859069,NaN,0.07859069
72000.0,-190.2264,2263.722,1.0909724e7,0.08403258,NaN,0.08403258
75600.0,-230.10582,2302.0364,1.1471272e7,0.09995751,NaN,0.09995751
79200.0,-267.28647,2337.1626,1.2043687e7,0.11436366,NaN,0.11436366
82800.0,-294.32614,2599.9248,1.2618776e7,0.113205634,NaN,0.113205634
86400.0,-317.75433,2780.966,1.3192936e7,0.11426041,NaN,0.11426041
