time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative
0.0,1.2159377,1.076171e-8,0.9381622,8.303246e-9,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
3600.0,83522.66,0.0007387566,84305.15,0.00074567774,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430964,6.8487567e-9
7200.0,79459.766,0.00070236926,80189.53,0.0007088199,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430964,6.8443606e-9
10800.0,149907.42,0.0013243075,149260.56,0.001318593,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430964,6.840382e-9
14400.0,157914.84,0.0013942596,154208.1,0.001361532,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.8365265e-9
18000.0,128817.19,0.0011366932,124355.0,0.0010973185,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.832573e-9
21600.0,195358.2,0.001722898,189277.12,0.0016692679,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.828774e-9
25200.0,190191.8,0.0016764564,181110.86,0.001596412,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.825199e-9
28800.0,164433.2,0.0014486569,154921.16,0.0013648558,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.8216726e-9
32400.0,235959.2,0.0020777278,224987.98,0.0019811213,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.81815e-9
36000.0,225192.88,0.0019819732,211435.28,0.0018608894,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.8148758e-9
39600.0,220128.72,0.0019365359,206193.72,0.0018139457,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.811828e-9
43200.0,267663.53,0.002353543,251569.2,0.0022120269,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.808442e-9
46800.0,272349.62,0.0023937933,253373.98,0.0022270086,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.8057298e-9
50400.0,295900.78,0.0025997846,273863.9,0.0024061685,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.803088e-9
54000.0,312376.6,0.0027435478,286233.4,0.0025139367,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.800626e-9
57600.0,323970.9,0.0028444158,293293.8,0.0025750755,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.7983246e-9
61200.0,342170.2,0.0030032094,306492.3,0.0026900666,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.796077e-9
64800.0,354347.38,0.0031091485,313147.25,0.0027476463,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.7940236e-9
68400.0,368330.25,0.003230905,321292.94,0.0028183048,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.7920616e-9
72000.0,379319.2,0.0033263862,326140.44,0.0028600427,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.790202e-9
75600.0,389284.53,0.0034128986,329745.94,0.0028909175,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.788457e-9
79200.0,398630.88,0.0034940066,332478.12,0.0029141766,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.78684e-9
82800.0,407548.97,0.0035713858,334645.03,0.0029325224,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.785343e-9
86400.0,416343.72,0.003647712,336533.53,0.002948471,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77430993,6.7839614e-9
