time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,increment_left,increment_left_relative,increment_left_gross,increment_left_gross_relative,increment_moved_gross,increment_moved_gross_relative
0.0,1.2159377,1.076171e-8,0.9381622,8.303246e-9,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,20.52309,1.8152642e-7,99.95603,8.8410957e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.824732e-9,-65.2159,-5.768336e-7,77.47824,6.8529386e-7,832711.44,0.00736532
7200.0,43.603462,3.8542439e-7,110.103874,9.73242e-7,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.8203514e-9,-53.961246,-4.7698e-7,81.94546,7.243411e-7,1.131281e6,0.00999974
10800.0,29.109196,2.5715556e-7,214.5334,1.8952243e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.816387e-9,-184.90836,-1.6335116e-6,201.34035,1.7786746e-6,2.1556642e6,0.019043501
14400.0,59.99571,5.297133e-7,162.32167,1.4331682e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.8125425e-9,-116.60338,-1.029513e-6,143.58665,1.2677533e-6,3.5213218e6,0.031090407
18000.0,89.1743,7.8688123e-7,167.92722,1.4818032e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.8086026e-9,-95.80549,-8.4539533e-7,138.78853,1.2246811e-6,4.1702472e6,0.036798596
21600.0,62.401146,5.5032655e-7,232.33133,2.0489704e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.8048167e-9,-190.4831,-1.6799036e-6,208.97786,1.8430121e-6,5.749526e6,0.05070607
25200.0,90.39951,7.9683167e-7,191.71954,1.6899229e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.8012547e-9,-106.31755,-9.371421e-7,168.66553,1.4867119e-6,7.6205445e6,0.06717172
28800.0,114.29661,1.0069534e-6,197.60501,1.7409006e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.79774e-9,-86.30018,-7.603048e-7,164.8746,1.4525457e-6,8.75957e6,0.07717183
32400.0,97.02704,8.543671e-7,272.54776,2.3999066e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.7942305e-9,-184.77673,-1.6270429e-6,238.0916,2.0965044e-6,1.0687159e7,0.09410528
36000.0,115.530174,1.016807e-6,263.76324,2.3214395e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.7909673e-9,-150.57011,-1.3252014e-6,207.70514,1.8280596e-6,1.2873341e7,0.113301165
39600.0,133.13994,1.1712705e-6,267.58557,2.3540276e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.7879307e-9,-145.71635,-1.2819089e-6,215.70697,1.8976365e-6,1.3878138e7,0.12208999
43200.0,130.44403,1.1469833e-6,308.8553,2.7157384e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.784556e-9,-179.86366,-1.581526e-6,241.75548,2.1257356e-6,1.6084988e7,0.14143394
46800.0,135.53793,1.1912989e-6,307.54416,2.7031326e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.77159345,6.7818537e-9,-171.85538,-1.5105079e-6,234.03812,2.0570576e-6,1.8378852e7,0.16153932
