time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
0.0,1.1298741e8,1.12987416e8,-8.0,-7.080435e-8,2.1541002,1.9064958e-8,1.1298741e8,0.0,NaN,NaN,NaN
3600.0,1.13058424e8,1.1305851e8,-88.0,-7.7835864e-7,120.479126,1.065636e-6,1.13058424e8,0.0,-88.0,0.0,0.0
7200.0,1.1313104e8,1.131311e8,-64.0,-5.6571565e-7,153.70732,1.3586662e-6,1.1313104e8,0.0,-88.0,24.0,2.1214336e-7
10800.0,1.1319684e8,1.1319702e8,-184.0,-1.625487e-6,243.64261,2.15238e-6,1.1319684e8,0.0,-88.0,-96.0,-8.480802e-7
14400.0,1.1326072e8,1.1326083e8,-112.0,-9.888689e-7,222.31737,1.9628815e-6,1.1326072e8,0.0,-88.0,-24.0,-2.1190047e-7
18000.0,1.1332626e8,1.1332634e8,-80.0,-7.059264e-7,257.10153,2.2686845e-6,1.1332626e8,0.0,-88.0,8.0,7.059264e-8
21600.0,1.13389304e8,1.13389464e8,-160.0,-1.4110678e-6,294.73248,2.599297e-6,1.13389304e8,0.0,-88.0,-72.0,-6.3498055e-7
25200.0,1.13448696e8,1.134488e8,-104.0,-9.1671393e-7,282.1191,2.486755e-6,1.13448696e8,0.0,-88.0,-16.0,-1.4103291e-7
28800.0,1.1350734e8,1.13507416e8,-72.0,-6.343202e-7,311.9016,2.747854e-6,1.1350734e8,0.0,-88.0,16.0,1.4096004e-7
32400.0,1.1356598e8,1.1356616e8,-176.0,-1.5497599e-6,369.57477,3.2542735e-6,1.1356598e8,0.0,-88.0,-88.0,-7.7487994e-7
36000.0,1.1362055e8,1.13620696e8,-144.0,-1.2673763e-6,379.29346,3.3382469e-6,1.1362055e8,0.0,-88.0,-56.0,-4.928686e-7
39600.0,1.13671384e8,1.1367152e8,-136.0,-1.1964313e-6,400.72552,3.525298e-6,1.13671384e8,0.0,-88.0,-48.0,-4.2226986e-7
43200.0,1.1372792e8,1.1372809e8,-168.0,-1.4772098e-6,439.29935,3.862722e-6,1.1372792e8,0.0,-88.0,-80.0,-7.034333e-7
46800.0,1.1377324e8,1.1377342e8,-184.0,-1.617252e-6,443.08212,3.8944318e-6,1.1377324e8,0.0,-88.0,-96.0,-8.4378365e-7
50400.0,1.1381742e8,1.1381763e8,-208.0,-1.8274882e-6,441.33014,3.877527e-6,1.1381742e8,0.0,-88.0,-120.0,-1.0543201e-6
54000.0,1.1385863e8,1.1385883e8,-200.0,-1.7565642e-6,451.11142,3.962031e-6,1.1385863e8,0.0,-88.0,-112.0,-9.836759e-7
57600.0,1.1389717e8,1.1389736e8,-192.0,-1.6857311e-6,458.72223,4.027512e-6,1.1389717e8,0.0,-88.0,-104.0,-9.131044e-7
61200.0,1.1393484e8,1.1393503e8,-192.0,-1.6851737e-6,481.59406,4.2269253e-6,1.1393484e8,0.0,-88.0,-104.0,-9.128024e-7
64800.0,1.1396927e8,1.139695e8,-232.0,-2.0356365e-6,495.7135,4.3495365e-6,1.1396927e8,0.0,-88.0,-144.0,-1.2634985e-6
68400.0,1.1400219e8,1.1400238e8,-192.0,-1.6841782e-6,525.5698,4.610173e-6,1.1400219e8,0.0,-88.0,-104.0,-9.1226315e-7
72000.0,1.14033416e8,1.1403362e8,-200.0,-1.7538719e-6,528.9267,4.6383484e-6,1.14033416e8,0.0,-88.0,-112.0,-9.821682e-7
75600.0,1.1406273e8,1.1406296e8,-232.0,-2.0339685e-6,538.1913,4.71838e-6,1.1406273e8,0.0,-88.0,-144.0,-1.2624632e-6
79200.0,1.140899e8,1.1409014e8,-240.0,-2.1036042e-6,534.4117,4.684128e-6,1.140899e8,0.0,-88.0,-152.0,-1.3322826e-6
82800.0,1.1411508e8,1.1411536e8,-280.0,-2.4536635e-6,552.6336,4.8427746e-6,1.1411508e8,0.0,-88.0,-192.0,-1.6825121e-6
86400.0,1.1413832e8,1.1413862e8,-304.0,-2.663435e-6,607.2599,5.3203858e-6,1.1413832e8,0.0,-88.0,-216.0,-1.8924407e-6
