time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
0.0,1.1298739844259547e8,1.1298739844259542e8,4.470348358154297e-8,3.9565017159196814e-16,3.488170169374527e-9,3.0872205373829646e-17,1.1298739844259547e8,0.0,NaN,NaN,NaN
3600.0,1.1305828499395898e8,1.1305828499153674e8,0.002422243356704712,2.1424731118415066e-11,0.002422257380593068,2.142485515964174e-11,1.1305828499395898e8,0.0,0.002422243356704712,0.0,0.0
7200.0,1.1313032779707341e8,1.1313032779470618e8,0.0023672282695770264,2.092478927333458e-11,0.0023671946865515964,2.092449242079217e-11,1.1313032779707341e8,0.0,0.002422243356704712,-5.501508712768555e-5,-4.862983092064261e-13
10800.0,1.1319690093738686e8,1.1319690093508366e8,0.002303197979927063,2.03468289401407e-11,0.0023032181552397335,2.034700717216387e-11,1.1319690093738686e8,0.0,0.002422243356704712,-0.00011904537677764893,-1.051666395385657e-12
14400.0,1.1326181630880868e8,1.1326181630656618e8,0.0022425055503845215,1.9799307687864756e-11,0.0022424803846926578,1.979908549743303e-11,1.1326181630880868e8,0.0,0.002422243356704712,-0.00017973780632019043,-1.5869232207095704e-12
18000.0,1.1332752722217281e8,1.133275272199915e8,0.002181306481361389,1.9247807967123906e-11,0.0021812980881462385,1.9247733905548962e-11,1.1332752722217281e8,0.0,0.002422243356704712,-0.00024093687534332275,-2.126022522939006e-12
21600.0,1.1339423308259426e8,1.1339423308047505e8,0.002119213342666626,1.8688898765451593e-11,0.002119240683328902,1.868913987702784e-11,1.1339423308259426e8,0.0,0.002422243356704712,-0.00030303001403808594,-2.672358247860493e-12
25200.0,1.1346706940904865e8,1.1346706940703472e8,0.0020139217376708984,1.77489534907323e-11,0.0020138996885406962,1.774875916888794e-11,1.1346706940904865e8,0.0,0.002422243356704712,-0.0004083216190338135,-3.598591390087062e-12
28800.0,1.135251199380898e8,1.1352511993640728e8,0.0016825199127197266,1.482068385954825e-11,0.0017596131125917347,1.549976880492466e-11,1.135251199380898e8,0.0,0.002422243356704712,-0.0007397234439849854,-6.515945055934658e-12
32400.0,1.1358407299659358e8,1.1358407299514654e8,0.001447036862373352,1.2739786698939289e-11,0.001660048209310011,1.461514951449044e-11,1.1358407299659358e8,0.0,0.002422243356704712,-0.0009752064943313599,-8.585767956750473e-12
36000.0,1.1364177340826876e8,1.1364177340686193e8,0.001406833529472351,1.2379545718792764e-11,0.0016326554824599993,1.4366684305378892e-11,1.1364177340826876e8,0.0,0.002422243356704712,-0.0010154098272323608,-8.935181111477427e-12
39600.0,1.1371829362378816e8,1.1371829362242231e8,0.00136585533618927,1.2010867316633333e-11,0.001611750615799351,1.4173186779705573e-11,1.1371829362378816e8,0.0,0.002422243356704712,-0.001056388020515442,-9.289516988447507e-12
43200.0,1.1377122497633609e8,1.1377122497500157e8,0.0013345181941986084,1.1729839372619766e-11,0.0015960575411914923,1.4028657435335386e-11,1.1377122497633609e8,0.0,0.002422243356704712,-0.0010877251625061035,-9.560635061566275e-12
46800.0,1.1381760662869479e8,1.1381760662740499e8,0.0012897998094558716,1.1332164220106677e-11,0.0015760484540411346,1.3847141059490473e-11,1.1381760662869479e8,0.0,0.002422243356704712,-0.0011324435472488403,-9.949634162868944e-12
50400.0,1.1386216641077557e8,1.1386216640953988e8,0.0012356936931610107,1.0852539804161572e-11,0.0015611945625632062,1.3711266979858373e-11,1.1386216641077557e8,0.0,0.002422243356704712,-0.0011865496635437012,-1.0420929980051826e-11
54000.0,1.1390445256187937e8,1.1390445256066304e8,0.0012163221836090088,1.0678442819855821e-11,0.0015488779724834312,1.3598045885361617e-11,1.1390445256187937e8,0.0,0.002422243356704712,-0.0012059211730957031,-1.0587129352477053e-11
