ta: bit for bit over 25 hours
rhoa: bit for bit over 25 hours

tag        hour    ∫ref J/m²       Δ∫/∫        L1        L∞
rad           1   7.7690e+04  -4.62e-05  4.77e-01  4.56e-01
sfc           1   4.0680e+05  +6.56e-04  1.46e+00  7.64e-01
sub           1   2.0090e+04  +2.23e-04  3.89e-01  3.69e-01
mp            1   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         1   5.2420e+07  +5.93e-05  2.23e-02  1.18e-01
tropo         1   6.0639e+07  -6.55e-05  1.93e-02  1.14e-01
new_strat     1   1.1944e+04  +1.72e-04  2.33e-01  2.29e-01
new_tropo     1   4.9264e+05  +5.40e-04  1.27e+00  7.61e-01

rad           6   4.1091e+05  -1.26e-02  5.47e-01  4.95e-01
sfc           6   2.4271e+06  +3.71e-03  1.19e+00  7.57e-01
sub           6   1.8166e+05  +1.60e-02  9.53e-01  7.92e-01
mp            6   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         6   5.1298e+07  +7.42e-03  9.91e-02  3.65e-01
tropo         6   6.2101e+07  -6.22e-03  8.07e-02  3.50e-01
new_strat     6   9.4734e+04  +1.02e-02  6.85e-01  7.66e-01
new_tropo     6   2.9250e+06  +1.97e-03  9.83e-01  7.49e-01

rad          12   7.6850e+05  -2.69e-02  5.31e-01  5.64e-01
sfc          12   4.8449e+06  +8.03e-04  1.23e+00  7.84e-01
sub          12   2.9529e+05  +5.58e-02  1.02e+00  8.10e-01
mp           12   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        12   5.0147e+07  +1.79e-02  1.10e-01  2.77e-01
tropo        12   6.3632e+07  -1.42e-02  8.35e-02  2.59e-01
new_strat    12   1.5617e+05  +3.65e-02  8.67e-01  7.82e-01
new_tropo    12   5.7525e+06  -1.05e-03  1.02e+00  7.71e-01

rad          24   1.4998e+06  -3.19e-02  6.75e-01  6.74e-01
sfc          24   9.6594e+06  -2.37e-02  1.26e+00  8.04e-01
sub          24   5.0577e+05  +1.80e-01  1.17e+00  7.81e-01
mp           24   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        24   4.8233e+07  +3.44e-02  1.15e-01  2.49e-01
tropo        24   6.6011e+07  -2.53e-02  7.85e-02  2.23e-01
new_strat    24   2.9230e+05  +1.22e-01  9.69e-01  7.65e-01
new_tropo    24   1.1373e+07  -1.95e-02  1.03e+00  7.81e-01

