time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,increment_left,increment_left_relative,increment_left_gross,increment_left_gross_relative,increment_moved_gross,increment_moved_gross_relative
0.0,2.797045234315121e-9,2.4755373367908736e-17,6.911249350594062e-10,6.116832005920909e-18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,0.09809595939641522,8.676583003162191e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.2151511934442823e-9,0.09924908908190755,8.778577269706366e-10,0.09924908908190755,8.778577269706366e-10,775590.0498298419,0.006860090349471869
7200.0,0.0950781268805545,8.404300550210978e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.2137405746926247e-9,0.09746070756780827,8.614905500453263e-10,0.09746070756780827,8.614905500453263e-10,1.0586076775936317e6,0.009357417293711241
10800.0,0.09270216553568418,8.189472807654605e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.2124416878605025e-9,0.09625629555576047,8.50345092225517e-10,0.09625629555576047,8.50345092225517e-10,2.3014247486762973e6,0.020331192145552252
14400.0,0.09129648129962073,8.060680094851682e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.2111765165867894e-9,0.09592871892497412,8.469666126840893e-10,0.09592871892497412,8.469666126840893e-10,3.4134621694092946e6,0.03013788283163663
18000.0,0.09018821998407409,7.958220082118791e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.2098963116214356e-9,0.09580954798539695,8.454246784898866e-10,0.09580954798539695,8.454246784898866e-10,4.16706262049632e6,0.036770213932303314
21600.0,0.08895639856657846,7.844922589351741e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.208600864166699e-9,0.09551999790789854,8.423755923096006e-10,0.09551999790789854,8.423755923096006e-10,5.61924386596461e6,0.04955521339613235
25200.0,0.08793020478487686,7.74939323480302e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.207167953851945e-9,0.09534139349361782,8.40255008553338e-10,0.09534139349361782,8.40255008553338e-10,6.736052448105006e6,0.059365629135440384
28800.0,0.08694770133063356,7.658772452606349e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.2060067091306373e-9,0.0951469558107467,8.381002291730055e-10,0.0951469558107467,8.381002291730055e-10,7.744178658550765e6,0.0682144568177032
32400.0,0.08605791347467001,7.576495040799515e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.204871574091594e-9,0.09500822660012839,8.364476067420591e-10,0.09500822660012839,8.364476067420591e-10,7.98008671220589e6,0.07025627854430137
36000.0,0.0854471489401036,7.518962712435293e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.2037692652755666e-9,0.0949983896696922,8.359428705672947e-10,0.0949983896696922,8.359428705672947e-10,9.546544694873786e6,0.08400527634183452
39600.0,0.0847417468280709,7.453643176818538e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.2028095640167277e-9,0.09491239650091636,8.348224612478826e-10,0.09491239650091636,8.348224612478826e-10,1.1296272346241523e7,0.0993588006486033
43200.0,0.08406539006212757,7.390884162033928e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.201835808791054e-9,0.09483506913247786,8.337735778524551e-10,0.09483506913247786,8.337735778524551e-10,1.1243620088061038e7,0.09885196936737287
46800.0,0.08315290398683076,7.307687801350155e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.2009406496416706e-9,0.09455192776830985,8.30946288124884e-10,0.09455192776830985,8.30946288124884e-10,1.1976714700274782e7,0.10525440209437581
50400.0,0.08275090873585828,7.269100135027244e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.199954238268111e-9,0.09454468460967119,8.30510250776814e-10,0.09454468460967119,8.30510250776814e-10,1.3228612115256839e7,0.11620429017907288
54000.0,0.08246509839524158,7.241342093238182e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.1991489758408447e-9,0.09450867726777942,8.298900700940937e-10,0.09450867726777942,8.298900700940937e-10,1.4850945270476393e7,0.13040762359374394
57600.0,0.08217221525090579,7.213100355056731e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.198379910547562e-9,0.09448772324913285,8.294159139263433e-10,0.09448772324913285,8.294159139263433e-10,1.5282930064472482e7,0.13415399346087178
61200.0,0.08187146057635764,7.184388670672218e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.1976728776003486e-9,0.09446354096535801,8.289369564503401e-10,0.09446354096535801,8.289369564503401e-10,1.5432960271099124e7,0.13542739331394954
64800.0,0.08162530510841398,7.160094709312947e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.196846520190758e-9,0.09443042664861823,8.283347882705064e-10,0.09443042664861823,8.283347882705064e-10,1.7449277768635813e7,0.15306341736376872
68400.0,0.0813220562791317,7.130786527508849e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.196012718452466e-9,0.09432696986943465,8.271132294256833e-10,0.09432696986943465,8.271132294256833e-10,1.9477550174244713e7,0.17079038421587836
72000.0,0.0809585965884485,7.097076053532757e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.1954434517284025e-9,0.0942009191693733,8.257938203354745e-10,0.0942009191693733,8.257938203354745e-10,2.0649854025396347e7,0.18102288168060743
75600.0,0.08071973306833513,7.074409007082157e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.194907462978862e-9,0.09417736580002184,8.253857880264756e-10,0.09417736580002184,8.253857880264756e-10,2.1382825050700825e7,0.18740256488147464
79200.0,0.0804891952945419,7.052565733942696e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.1943976248286254e-9,0.0941603336573688,8.250448277168973e-10,0.0941603336573688,8.250448277168973e-10,2.4274297725669518e7,0.2126944861718465
82800.0,0.0802587865753962,7.031008743328528e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.193970662195662e-9,0.09415099097915805,8.24802453430611e-10,0.09415099097915805,8.24802453430611e-10,2.632223718475971e7,0.23059391711106145
86400.0,0.08002284917641433,7.009114053384596e-10,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2504411949379574,2.193587102998878e-9,0.09412210360360784,8.244052366191058e-10,0.09412210360360784,8.244052366191058e-10,2.835576577221888e7,0.24836505874764558
