time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,increment_left,increment_left_relative,increment_left_gross,increment_left_gross_relative,increment_moved_gross,increment_moved_gross_relative
0.0,2.7906303e15,6.460075e-9,1.7147523e15,3.969508e-9,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,4.986309e17,1.1542588e-6,4.997111e17,1.1567594e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.3553567e18,3.137456e-6,1.5840672e16,3.6668876e-8,1.8732912e17,4.3364e-7,5.347513e20,0.0012378724
7200.0,7.844131e17,1.8160341e-6,8.2090906e17,1.9005278e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.9585038e18,9.164531e-6,1.7943267e16,4.154136e-8,2.6189585e17,6.0632823e-7,1.7981781e21,0.0041630524
10800.0,9.883073e17,2.2884058e-6,1.0883597e18,2.5200752e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.81116e18,1.8086585e-5,1.7695686e16,4.0974008e-8,3.1458732e17,7.284207e-7,4.1082604e21,0.009512595
14400.0,1.1332395e18,2.6243608e-6,1.3382825e18,3.0992003e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.3735044e19,3.1807675e-5,-8.7324373e15,-2.0222615e-8,3.619652e17,8.3824057e-7,7.279623e21,0.016858181
18000.0,1.2407596e18,2.8737252e-6,1.6057227e18,3.7190168e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.4520402e19,5.679174e-5,-1.060145e17,-2.4554035e-7,4.342607e17,1.0057919e-6,1.1791773e22,0.027310943
21600.0,1.3354289e18,3.0933427e-6,1.8847735e18,4.365826e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.1298813e19,9.5663185e-5,-2.3572696e17,-5.4603004e-7,5.3984815e17,1.2504861e-6,2.2602094e22,0.05235473
25200.0,1.4436931e18,3.344405e-6,2.1033262e18,4.872486e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.8426224e19,0.0001585136,-2.8096547e17,-6.5087403e-7,6.061188e17,1.4041119e-6,2.826575e22,0.065479375
28800.0,1.5517383e18,3.594954e-6,2.2887156e18,5.302329e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0938156e20,0.00025340723,-2.8532753e17,-6.61026e-7,6.3724876e17,1.4763314e-6,3.4535638e22,0.08000965
32400.0,1.6667675e18,3.8616818e-6,2.4841387e18,5.755424e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.7269371e20,0.0004001087,-2.904202e17,-6.728655e-7,6.678165e17,1.5472433e-6,3.83763e22,0.08891285
36000.0,1.7908811e18,4.1494686e-6,2.7009338e18,6.2580593e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.6391157e20,0.00061148265,-2.8788623e17,-6.6703194e-7,6.9834526e17,1.6180649e-6,4.048003e22,0.09379216
39600.0,1.9167001e18,4.4412213e-6,2.970716e18,6.883501e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.7177018e20,0.00086143555,-3.2176974e17,-7.4557863e-7,7.523738e17,1.7433392e-6,4.180089e22,0.096857615
43200.0,2.0628523e18,4.780119e-6,3.25141e18,7.5342896e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.9445872e20,0.0011457783,-3.3609988e17,-7.788233e-7,8.088087e17,1.874202e-6,4.3191768e22,0.10008559
46800.0,2.2544621e18,5.2244027e-6,3.5004525e18,8.111812e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.361376e20,0.0014741605,-2.8912974e17,-6.70018e-7,8.491663e17,1.9678248e-6,4.4895065e22,0.104038075
50400.0,2.4636163e18,5.709407e-6,3.7408112e18,8.6692935e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.859928e20,0.0018215306,-2.2014025e17,-5.1017287e-7,9.224852e17,2.1378505e-6,4.6791355e22,0.108438514
54000.0,2.677695e18,6.2059044e-6,3.9761944e18,9.215344e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,9.301888e20,0.0021558327,-1.3462191e17,-3.1200366e-7,9.964209e17,2.3093341e-6,4.8726057e22,0.112928934
57600.0,2.8901939e18,6.698824e-6,4.2018027e18,9.73884e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0684228e21,0.0024763655,-4.0920404e16,-9.484436e-8,1.0974956e18,2.5437498e-6,5.054572e22,0.11715369
61200.0,3.0857684e18,7.152606e-6,4.4392026e18,1.0289777e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.2049151e21,0.0027929132,2.7169976e16,6.2978195e-8,1.2086486e18,2.801567e-6,5.214035e22,0.12085786
64800.0,3.268588e18,7.5769026e-6,4.7031824e18,1.090243e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.347364e21,0.0031233197,5.5663326e16,1.2903295e-7,1.34635e18,3.1209695e-6,5.3592827e22,0.12423334
