time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,increment_left,increment_left_relative,increment_left_gross,increment_left_gross_relative,increment_moved_gross,increment_moved_gross_relative
0.0,2.7906303e15,6.460075e-9,1.7147523e15,3.969508e-9,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,5.2206145e17,1.208497e-6,5.023982e17,1.1629794e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.3515183e18,3.1285701e-6,3.608692e16,8.353602e-8,1.9834375e17,4.591372e-7,2.974714e20,0.00068860344
7200.0,8.405333e17,1.945963e-6,8.346647e17,1.9323763e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.820747e18,8.845614e-6,5.7194207e16,1.3241333e-7,2.9417554e17,6.8106135e-7,6.7843914e20,0.0015706903
10800.0,1.120825e18,2.595262e-6,1.1150387e18,2.5818638e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.4009645e18,1.7136877e-5,1.3327651e17,3.0860076e-7,3.9719727e17,9.197073e-7,1.3240748e21,0.0030658853
14400.0,1.3784239e18,3.1922111e-6,1.3858356e18,3.2093753e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.3241262e19,3.066466e-5,2.283183e17,5.2874896e-7,5.593163e17,1.2952878e-6,2.2160511e21,0.005132023
18000.0,1.6632539e18,3.8524004e-6,1.6676845e18,3.8626627e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.3891284e19,5.5336586e-5,3.551523e17,8.2259766e-7,7.5306376e17,1.7442335e-6,3.2678353e21,0.007568904
21600.0,1.9307092e18,4.47251e-6,1.94531e18,4.506333e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.965457e19,9.186027e-5,4.5592504e17,1.0561556e-6,9.372917e17,2.171247e-6,4.4067722e21,0.010208339
25200.0,2.188327e18,5.0699755e-6,2.2329491e18,5.1733573e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,5.9521855e19,0.00013790185,5.501341e17,1.2745656e-6,1.1013947e18,2.551741e-6,5.587169e21,0.012944506
28800.0,2.4189976e18,5.6051385e-6,2.5116884e18,5.8199153e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8.374979e19,0.0001940594,6.6112954e17,1.5319249e-6,1.2668177e18,2.9353848e-6,6.767416e21,0.015681002
32400.0,2.6353304e18,6.1072014e-6,2.8030609e18,6.495906e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.1125932e20,0.000257836,7.511203e17,1.740671e-6,1.4163887e18,3.282386e-6,7.9381286e21,0.018396081
36000.0,2.8483855e18,6.601786e-6,3.083174e18,7.145962e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.438229e20,0.00033334253,8.311408e17,1.9263591e-6,1.5666725e18,3.6311226e-6,9.1149704e21,0.021126032
39600.0,3.0737546e18,7.125033e-6,3.3561457e18,7.779622e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.7896007e20,0.0004148335,9.068924e17,2.1021972e-6,1.7224148e18,3.9925967e-6,1.0295479e22,0.023865154
43200.0,3.281227e18,7.606927e-6,3.619015e18,8.390027e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.1694927e20,0.0005029573,9.7455893e17,2.2593374e-6,1.8612973e18,4.3150785e-6,1.149058e22,0.026638815
46800.0,3.4689548e18,8.043174e-6,3.8520846e18,8.931504e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.5701526e20,0.0005959197,1.0466786e18,2.4268456e-6,1.9944226e18,4.6243e-6,1.268713e22,0.029416582
50400.0,3.6588154e18,8.484486e-6,4.0797346e18,9.460562e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.998049e20,0.00069522246,1.1234105e18,2.6050948e-6,2.119622e18,4.915226e-6,1.3885985e22,0.032200433
54000.0,3.8453528e18,8.918215e-6,4.320257e18,1.0019621e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.4518367e20,0.00080055645,1.180889e18,2.7387398e-6,2.2420397e18,5.199781e-6,1.5080835e22,0.034975756
57600.0,4.025844e18,9.338043e-6,4.5630673e18,1.0584146e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.920733e20,0.0009094236,1.243817e18,2.885064e-6,2.374049e18,5.506665e-6,1.6275464e22,0.037751336
61200.0,4.1930464e18,9.727168e-6,4.7985387e18,1.1131809e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.39539e20,0.0010196571,1.3057591e18,3.0291433e-6,2.5050907e18,5.8113924e-6,1.7477652e22,0.040545233
64800.0,4.3726395e18,1.014515e-5,5.0324174e18,1.1675929e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.880104e20,0.001132254,1.3792343e18,3.200021e-6,2.6601983e18,6.1720407e-6,1.8694481e22,0.04337387
68400.0,4.5897887e18,1.06504e-5,5.252822e18,1.218894e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,5.3779925e20,0.0012479392,1.4734278e18,3.4190234e-6,2.8401556e18,6.5904546e-6,1.9916507e22,0.046215367
72000.0,4.821328e18,1.1189186e-5,5.458178e18,1.26671675e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,5.8985995e20,0.0013689284,1.6003544e18,3.714052e-6,3.0262485e18,7.0232218e-6,2.1141133e22,0.049063675
75600.0,5.0575567e18,1.1739004e-5,5.6670605e18,1.3153713e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.4510054e20,0.0014973313,1.7106419e18,3.97054e-6,3.2087587e18,7.447792e-6,2.236656e22,0.05191462
79200.0,5.24785e18,1.2182352e-5,5.8898375e18,1.3672661e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.023139e20,0.0016303506,1.7704207e18,4.1098524e-6,3.3570822e18,7.793126e-6,2.3611715e22,0.054812204
82800.0,5.4423934e18,1.2635687e-5,6.1032785e18,1.4170075e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.616827e20,0.0017684102,1.8530214e18,4.302188e-6,3.5046455e18,8.136789e-6,2.4888666e22,0.057784393
86400.0,5.634542e18,1.3083588e-5,6.315727e18,1.4665321e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8.2304754e20,0.0019111428,1.9296865e18,4.480794e-6,3.66848e18,8.518328e-6,2.6210918e22,0.060862597
90000.0,5.830632e18,1.3540765e-5,6.5420667e18,1.5192965e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8.85691e20,0.0020568839,2.0088165e18,4.665174e-6,3.8265358e18,8.886554e-6,2.756195e22,0.06400848
93600.0,6.0293743e18,1.4004222e-5,6.781095e18,1.5750218e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,9.4858334e20,0.0022032422,2.0760502e18,4.821971e-6,4.0286485e18,9.357204e-6,2.8936393e22,0.06720957
97200.0,6.2283364e18,1.44683145e-5,7.0437073e18,1.6362406e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0122015e21,0.002351326,2.1444309e18,4.9814744e-6,4.251337e18,9.87578e-6,3.032447e22,0.0704432
100800.0,6.424491e18,1.4926009e-5,7.2820974e18,1.6918484e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0758236e21,0.002499459,2.2137116e18,5.1431125e-6,4.4491436e18,1.0336687e-5,3.1737132e22,0.07373483
104400.0,6.647322e18,1.5445808e-5,7.5050503e18,1.7438839e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.1389067e21,0.0026463794,2.3242417e18,5.40064e-6,4.65823e18,1.0823927e-5,3.3178379e22,0.077093735
108000.0,6.8663017e18,1.5956799e-5,7.733082e18,1.7971135e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.2017494e21,0.0027927808,2.4407168e18,5.6720532e-6,4.8917305e18,1.1368036e-5,3.463468e22,0.08048855
111600.0,7.098047e18,1.6497594e-5,7.942742e18,1.846087e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.2656832e21,0.0029417565,2.5669908e18,5.966313e-6,5.1566875e18,1.19854e-5,3.6092354e22,0.083887435
115200.0,7.330442e18,1.704003e-5,8.1555505e18,1.8958044e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.3291406e21,0.0030896633,2.6967603e18,6.2687736e-6,5.404592e18,1.2563284e-5,3.756307e22,0.087317504
118800.0,7.548047e18,1.7548224e-5,8.378952e18,1.9479969e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.39335e21,0.0032393567,2.829778e18,6.578864e-6,5.6547465e18,1.3146547e-5,3.9044655e22,0.090773724
122400.0,7.7899563e18,1.8113056e-5,8.6133075e18,2.0027497e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.4586527e21,0.0033916312,2.957207e18,6.8760405e-6,5.922506e18,1.3770898e-5,4.0520543e22,0.09421758
126000.0,8.0352656e18,1.8685942e-5,8.8367183e18,2.0549713e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5254725e21,0.0035474733,3.0797975e18,7.162043e-6,6.1869074e18,1.43876005e-5,4.200951e22,0.09769276
129600.0,8.26798e18,1.9229665e-5,9.056221e18,2.1062955e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5946613e21,0.0037088625,3.207294e18,7.459523e-6,6.4401914e18,1.4978595e-5,4.3505835e22,0.10118585
133200.0,8.4805304e18,1.972661e-5,9.297341e18,2.1626598e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.6666815e21,0.0038768773,3.2895733e18,7.651895e-6,6.692691e18,1.5567906e-5,4.501164e22,0.10470184
136800.0,8.680842e18,2.0195192e-5,9.528117e18,2.21663e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.7417555e21,0.004052036,3.3505965e18,7.794858e-6,6.9554116e18,1.6181133e-5,4.6529165e22,0.10824587
140400.0,8.906627e18,2.0723131e-5,9.734261e18,2.2648795e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8177795e21,0.0042294445,3.4644097e18,8.060674e-6,7.222166e18,1.680388e-5,4.8061163e22,0.111824356
144000.0,9.146582e18,2.1284148e-5,9.932625e18,2.3113274e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.8946365e21,0.00440883,3.598208e18,8.37305e-6,7.5118184e18,1.7480043e-5,4.9598737e22,0.11541654
147600.0,9.417858e18,2.1918162e-5,1.0126996e19,2.3568538e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.9729938e21,0.004591745,3.7879226e18,8.815625e-6,7.8409126e18,1.8248142e-5,5.113767e22,0.1190126
151200.0,9.686402e18,2.254595e-5,1.0324194e19,2.4030467e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.0530274e21,0.004778601,3.965279e18,9.229535e-6,8.1624555e18,1.8998831e-5,5.2666796e22,0.122586586
