time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
0.0,4.319811e23,4.3198102e23,7.2057594e16,1.6680728e-7,4.505382e15,1.0429582e-8,4.319811e23,0.0,NaN,NaN,NaN
3600.0,4.3199234e23,4.3199227e23,7.2057594e16,1.6680295e-7,1.0244598e18,2.3714767e-6,4.3199234e23,0.0,7.2057594e16,0.0,0.0
7200.0,4.3193693e23,4.319369e23,3.6028797e16,8.3412175e-8,1.6751978e18,3.8783387e-6,4.3193693e23,0.0,7.2057594e16,-3.6028797e16,-8.3412175e-8
10800.0,4.3187355e23,4.318735e23,3.6028797e16,8.342441e-8,2.2358638e18,5.177126e-6,4.3187355e23,0.0,7.2057594e16,-3.6028797e16,-8.342441e-8
14400.0,4.3180852e23,4.3180852e23,0.0,0.0,2.7642596e18,6.4015867e-6,4.3180852e23,0.0,7.2057594e16,-7.2057594e16,-1.6687395e-7
18000.0,4.3174482e23,4.3174475e23,7.2057594e16,1.6689857e-7,3.330938e18,7.715062e-6,4.3174482e23,0.0,7.2057594e16,0.0,0.0
21600.0,4.3168357e23,4.3168354e23,3.6028797e16,8.3461124e-8,3.8760187e18,8.978843e-6,4.3168357e23,0.0,7.2057594e16,-3.6028797e16,-8.3461124e-8
25200.0,4.3162477e23,4.3162477e23,0.0,0.0,4.4212753e18,1.02433305e-5,4.3162477e23,0.0,7.2057594e16,-7.2057594e16,-1.6694499e-7
28800.0,4.3156785e23,4.3156785e23,0.0,0.0,4.930686e18,1.1425054e-5,4.3156785e23,0.0,7.2057594e16,-7.2057594e16,-1.6696701e-7
32400.0,4.3151193e23,4.3151204e23,-1.0808639e17,-2.5048297e-7,5.438391e18,1.2603107e-5,4.3151193e23,0.0,7.2057594e16,-1.8014399e17,-4.1747163e-7
36000.0,4.314568e23,4.3145706e23,-2.5220158e17,-5.845349e-7,5.9315607e18,1.3747751e-5,4.314568e23,0.0,7.2057594e16,-3.2425917e17,-7.515449e-7
39600.0,4.3140215e23,4.314024e23,-2.5220158e17,-5.84609e-7,6.4299006e18,1.49046555e-5,4.3140215e23,0.0,7.2057594e16,-3.2425917e17,-7.5164013e-7
43200.0,4.3134724e23,4.3134757e23,-3.2425917e17,-7.517358e-7,6.9002414e18,1.5996953e-5,4.3134724e23,0.0,7.2057594e16,-3.9631677e17,-9.187882e-7
46800.0,4.312918e23,4.3129215e23,-3.6028797e17,-8.353694e-7,7.32104e18,1.697468e-5,4.312918e23,0.0,7.2057594e16,-4.3234556e17,-1.0024432e-6
50400.0,4.3123595e23,4.3123627e23,-3.2425917e17,-7.519298e-7,7.7385503e18,1.7945049e-5,4.3123595e23,0.0,7.2057594e16,-3.9631677e17,-9.1902535e-7
54000.0,4.3117967e23,4.311801e23,-4.3234556e17,-1.0027039e-6,8.165609e18,1.8937833e-5,4.3117967e23,0.0,7.2057594e16,-5.0440316e17,-1.1698213e-6
57600.0,4.3112285e23,4.311234e23,-5.4043196e17,-1.2535452e-6,8.5889104e18,1.9922187e-5,4.3112285e23,0.0,7.2057594e16,-6.1248955e17,-1.4206845e-6
61200.0,4.310655e23,4.310661e23,-6.1248955e17,-1.4208736e-6,8.991585e18,2.0858977e-5,4.310655e23,0.0,7.2057594e16,-6.8454714e17,-1.5880352e-6
64800.0,4.310079e23,4.3100846e23,-5.7646075e17,-1.3374714e-6,9.405058e18,2.182108e-5,4.310079e23,0.0,7.2057594e16,-6.4851835e17,-1.5046554e-6
68400.0,4.3094988e23,4.309506e23,-7.2057594e17,-1.6720644e-6,9.842611e18,2.2839342e-5,4.3094988e23,0.0,7.2057594e16,-7.9263353e17,-1.8392708e-6
72000.0,4.3089177e23,4.3089245e23,-6.8454714e17,-1.5886753e-6,1.0279507e19,2.3856355e-5,4.3089177e23,0.0,7.2057594e16,-7.5660474e17,-1.7559043e-6
75600.0,4.3083354e23,4.308341e23,-5.4043196e17,-1.2543869e-6,1.0724618e19,2.4892717e-5,4.3083354e23,0.0,7.2057594e16,-6.1248955e17,-1.4216384e-6
79200.0,4.3077478e23,4.3077536e23,-5.7646075e17,-1.3381953e-6,1.1137688e19,2.5855014e-5,4.3077478e23,0.0,7.2057594e16,-6.4851835e17,-1.5054696e-6
82800.0,4.3071605e23,4.3071667e23,-6.1248955e17,-1.4220262e-6,1.1545671e19,2.6805761e-5,4.3071605e23,0.0,7.2057594e16,-6.8454714e17,-1.5893235e-6
86400.0,4.3065725e23,4.306579e23,-6.4851835e17,-1.5058805e-6,1.1950269e19,2.7748909e-5,4.3065725e23,0.0,7.2057594e16,-7.2057594e17,-1.6732005e-6
90000.0,4.3059842e23,4.3059907e23,-6.4851835e17,-1.5060862e-6,1.23727e19,2.8733733e-5,4.3059842e23,0.0,7.2057594e16,-7.2057594e17,-1.6734291e-6
93600.0,4.3053976e23,4.305405e23,-7.2057594e17,-1.6736572e-6,1.281047e19,2.9754441e-5,4.3053976e23,0.0,7.2057594e16,-7.9263353e17,-1.8410228e-6
97200.0,4.3048115e23,4.304819e23,-7.5660474e17,-1.7575793e-6,1.3272044e19,3.083072e-5,4.3048115e23,0.0,7.2057594e16,-8.286623e17,-1.9249678e-6
100800.0,4.3042256e23,4.3042346e23,-9.007199e17,-2.0926411e-6,1.3706589e19,3.1844495e-5,4.3042256e23,0.0,7.2057594e16,-9.727775e17,-2.2600523e-6
104400.0,4.3036412e23,4.3036488e23,-7.5660474e17,-1.7580571e-6,1.4152374e19,3.288465e-5,4.3036412e23,0.0,7.2057594e16,-8.286623e17,-1.9254912e-6
108000.0,4.303057e23,4.3030648e23,-7.9263353e17,-1.8420243e-6,1.4599381e19,3.392793e-5,4.303057e23,0.0,7.2057594e16,-8.646911e17,-2.009481e-6
111600.0,4.3024743e23,4.3024826e23,-8.286623e17,-1.9260135e-6,1.5040789e19,3.4958462e-5,4.3024743e23,0.0,7.2057594e16,-9.007199e17,-2.0934929e-6
115200.0,4.3018946e23,4.301902e23,-7.5660474e17,-1.758771e-6,1.5485995e19,3.599808e-5,4.3018946e23,0.0,7.2057594e16,-8.286623e17,-1.926273e-6
118800.0,4.301317e23,4.3013246e23,-7.5660474e17,-1.7590071e-6,1.5926999e19,3.7028192e-5,4.301317e23,0.0,7.2057594e16,-8.286623e17,-1.9265317e-6
122400.0,4.300741e23,4.300749e23,-7.9263353e17,-1.8430162e-6,1.6403263e19,3.814055e-5,4.300741e23,0.0,7.2057594e16,-8.646911e17,-2.010563e-6
126000.0,4.3001663e23,4.3001742e23,-7.9263353e17,-1.8432626e-6,1.6871985e19,3.9235656e-5,4.3001663e23,0.0,7.2057594e16,-8.646911e17,-2.0108318e-6
