time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
0.0,4.319811e23,4.3198102e23,7.2057594e16,1.6680728e-7,4.505382e15,1.0429582e-8,4.319811e23,0.0,NaN,NaN,NaN
3600.0,4.3199234e23,4.3199227e23,7.2057594e16,1.6680295e-7,1.0242872e18,2.3710772e-6,4.3199234e23,0.0,7.2057594e16,0.0,0.0
7200.0,4.3193693e23,4.319369e23,3.6028797e16,8.3412175e-8,1.6748758e18,3.8775934e-6,4.3193693e23,0.0,7.2057594e16,-3.6028797e16,-8.3412175e-8
10800.0,4.3187355e23,4.318735e23,3.6028797e16,8.342441e-8,2.235863e18,5.177124e-6,4.3187355e23,0.0,7.2057594e16,-3.6028797e16,-8.342441e-8
14400.0,4.3180852e23,4.3180852e23,0.0,0.0,2.7627654e18,6.398126e-6,4.3180852e23,0.0,7.2057594e16,-7.2057594e16,-1.6687395e-7
18000.0,4.3174482e23,4.3174475e23,7.2057594e16,1.6689857e-7,3.3301557e18,7.71325e-6,4.3174482e23,0.0,7.2057594e16,0.0,0.0
21600.0,4.3168357e23,4.316835e23,7.2057594e16,1.6692225e-7,3.8755998e18,8.977872e-6,4.3168357e23,0.0,7.2057594e16,0.0,0.0
25200.0,4.3162477e23,4.3162477e23,0.0,0.0,4.4209243e18,1.0242517e-5,4.3162477e23,0.0,7.2057594e16,-7.2057594e16,-1.6694499e-7
28800.0,4.3156785e23,4.3156785e23,0.0,0.0,4.9295966e18,1.14225295e-5,4.3156785e23,0.0,7.2057594e16,-7.2057594e16,-1.6696701e-7
32400.0,4.3151193e23,4.3151204e23,-1.0808639e17,-2.5048297e-7,5.436503e18,1.2598731e-5,4.3151193e23,0.0,7.2057594e16,-1.8014399e17,-4.1747163e-7
36000.0,4.314568e23,4.3145706e23,-2.5220158e17,-5.845349e-7,5.928383e18,1.3740386e-5,4.314568e23,0.0,7.2057594e16,-3.2425917e17,-7.515449e-7
39600.0,4.3140215e23,4.314024e23,-2.5220158e17,-5.84609e-7,6.427577e18,1.4899269e-5,4.3140215e23,0.0,7.2057594e16,-3.2425917e17,-7.5164013e-7
43200.0,4.3134724e23,4.3134757e23,-3.2425917e17,-7.517358e-7,6.899637e18,1.5995553e-5,4.3134724e23,0.0,7.2057594e16,-3.9631677e17,-9.187882e-7
46800.0,4.312918e23,4.312922e23,-3.9631677e17,-9.189063e-7,7.3205655e18,1.697358e-5,4.312918e23,0.0,7.2057594e16,-4.6837436e17,-1.0859802e-6
50400.0,4.3123595e23,4.3123627e23,-3.2425917e17,-7.519298e-7,7.738411e18,1.7944727e-5,4.3123595e23,0.0,7.2057594e16,-3.9631677e17,-9.1902535e-7
54000.0,4.3117967e23,4.3118007e23,-3.9631677e17,-9.191453e-7,8.163911e18,1.8933897e-5,4.3117967e23,0.0,7.2057594e16,-4.6837436e17,-1.0862626e-6
57600.0,4.3112285e23,4.311234e23,-5.4043196e17,-1.2535452e-6,8.5852485e18,1.9913694e-5,4.3112285e23,0.0,7.2057594e16,-6.1248955e17,-1.4206845e-6
61200.0,4.310655e23,4.310661e23,-6.1248955e17,-1.4208736e-6,8.98904e18,2.0853073e-5,4.310655e23,0.0,7.2057594e16,-6.8454714e17,-1.5880352e-6
64800.0,4.310079e23,4.3100846e23,-5.7646075e17,-1.3374714e-6,9.40131e18,2.1812386e-5,4.310079e23,0.0,7.2057594e16,-6.4851835e17,-1.5046554e-6
68400.0,4.3094988e23,4.309506e23,-7.2057594e17,-1.6720644e-6,9.837423e18,2.2827302e-5,4.3094988e23,0.0,7.2057594e16,-7.9263353e17,-1.8392708e-6
72000.0,4.3089177e23,4.3089245e23,-6.8454714e17,-1.5886753e-6,1.0276285e19,2.3848877e-5,4.3089177e23,0.0,7.2057594e16,-7.5660474e17,-1.7559043e-6
