time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,increment_left,increment_left_relative,increment_left_gross,increment_left_gross_relative,increment_moved_gross,increment_moved_gross_relative
0.0,2.7906303e15,6.460075e-9,1.7147523e15,3.969508e-9,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,5.164425e17,1.19549e-6,4.9931778e17,1.1558487e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.351575e18,3.128701e-6,3.3283093e16,7.704556e-8,1.8519748e17,4.2870548e-7,2.9768308e20,0.00068909343
7200.0,8.4244306e17,1.9503843e-6,8.246978e17,1.9093013e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.82216e18,8.848884e-6,6.119965e16,1.4168653e-7,2.8122695e17,6.510833e-7,6.797438e20,0.0015737106
10800.0,1.1269576e18,2.6094617e-6,1.1021479e18,2.552015e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.403288e18,1.7142256e-5,1.4741611e17,3.413409e-7,3.9224885e17,9.082492e-7,1.3273689e21,0.0030735126
14400.0,1.3865974e18,3.2111395e-6,1.3840366e18,3.2052092e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.3246182e19,3.0676056e-5,2.4011753e17,5.560741e-7,5.5121452e17,1.2765254e-6,2.2226168e21,0.0051472276
18000.0,1.6631058e18,3.852057e-6,1.671173e18,3.870742e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.3886085e19,5.532454e-5,3.5013563e17,8.109781e-7,7.4449994e17,1.724398e-6,3.2782484e21,0.0075930227
21600.0,1.9329013e18,4.4775884e-6,1.9375338e18,4.4883195e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.9670397e19,9.189694e-5,4.6497027e17,1.077109e-6,9.3799165e17,2.1728686e-6,4.4206484e21,0.010240483
25200.0,2.1977951e18,5.0919107e-6,2.2204749e18,5.144456e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,5.959397e19,0.0001380689,5.795123e17,1.3426296e-6,1.1134144e18,2.5795882e-6,5.6024205e21,0.012979838
28800.0,2.4242208e18,5.617241e-6,2.4968936e18,5.7856337e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8.400684e19,0.00019465499,6.8667085e17,1.5911074e-6,1.2748535e18,2.9540045e-6,6.7828393e21,0.015716737
32400.0,2.6447922e18,6.129127e-6,2.7846586e18,6.4532583e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.1197603e20,0.00025949688,7.784897e17,1.8040972e-6,1.4275368e18,3.3082201e-6,7.9517553e21,0.018427655
36000.0,2.860566e18,6.6300145e-6,3.06308e18,7.0993874e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.4531737e20,0.00033680617,8.657473e17,2.006567e-6,1.5824588e18,3.6677095e-6,9.125109e21,0.021149524
39600.0,3.084895e18,7.150854e-6,3.330167e18,7.7194e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.808728e20,0.00041926707,9.4207634e17,2.1837534e-6,1.7489654e18,4.05414e-6,1.030215e22,0.023880607
43200.0,3.2980178e18,7.64585e-6,3.5885635e18,8.319427e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.1905586e20,0.0005078409,1.02572175e18,2.377948e-6,1.9056054e18,4.4177973e-6,1.1494098e22,0.026646962
46800.0,3.4959316e18,8.105717e-6,3.8288626e18,8.877656e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.5952352e20,0.00060173497,1.0899155e18,2.5270938e-6,2.0379016e18,4.725108e-6,1.2688757e22,0.029420333
50400.0,3.6876944e18,8.551449e-6,4.0507814e18,9.393418e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.0269812e20,0.0007019312,1.175257e18,2.725321e-6,2.1743898e18,5.042225e-6,1.38866e22,0.032201845
54000.0,3.8762801e18,8.989937e-6,4.2873103e18,9.9432045e-6,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.485152e20,0.0008082825,1.2515048e18,2.9025118e-6,2.3097834e18,5.3568897e-6,1.5079963e22,0.034973715
57600.0,4.0645894e18,9.427908e-6,4.519338e18,1.0482707e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,3.9592904e20,0.00091836636,1.3287988e18,3.082179e-6,2.4499758e18,5.6827744e-6,1.6273582e22,0.037746944
61200.0,4.2525127e18,9.86511e-6,4.7480964e18,1.101478e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.4398455e20,0.0010299691,1.4140654e18,3.2803923e-6,2.6018128e18,6.0357656e-6,1.7473757e22,0.040536158
64800.0,4.4329884e18,1.0285158e-5,4.9786733e18,1.1551224e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.9310292e20,0.0011440683,1.4845576e18,3.4443829e-6,2.7575983e18,6.398017e-6,1.8687973e22,0.043358732
68400.0,4.64975e18,1.0789524e-5,5.184093e18,1.2029442e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,5.4342615e20,0.0012609946,1.5948419e18,3.7007549e-6,2.9420523e18,6.826893e-6,1.99088e22,0.046197426
72000.0,4.8851274e18,1.13372325e-5,5.3777773e18,1.2480557e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,5.9649684e20,0.0013843289,1.7341657e18,4.024591e-6,3.1364526e18,7.278969e-6,2.113364e22,0.049046207
75600.0,5.1226703e18,1.1890121e-5,5.591878e18,1.297919e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.527192e20,0.0015150127,1.8380923e18,4.266357e-6,3.3041886e18,7.669282e-6,2.2360372e22,0.051900186
79200.0,5.325775e18,1.2363227e-5,5.81419e18,1.3497031e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.1087505e20,0.0016502218,1.9016507e18,4.414482e-6,3.4598058e18,8.031576e-6,2.3607518e22,0.054802373
82800.0,5.523722e18,1.2824489e-5,6.0340044e18,1.4009217e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.712695e20,0.0017906653,1.984038e18,4.6063637e-6,3.610196e18,8.381834e-6,2.488468e22,0.057775047
86400.0,5.7155407e18,1.3271649e-5,6.247645e18,1.450721e-5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,8.338648e20,0.0019362579,2.058959e18,4.7809613e-6,3.7725335e18,8.75993e-6,2.6206653e22,0.060852595
