time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
0.0,4.319811e23,4.3198102e23,7.2057594e16,1.6680728e-7,4.505382e15,1.0429582e-8,4.319811e23,0.0,NaN,NaN,NaN
3600.0,4.3199234e23,4.3199227e23,7.2057594e16,1.6680295e-7,1.01576025e18,2.3513385e-6,4.3199234e23,0.0,7.2057594e16,0.0,0.0
7200.0,4.3193696e23,4.3193693e23,3.6028797e16,8.341217e-8,1.6671408e18,3.8596854e-6,4.3193696e23,0.0,7.2057594e16,-3.6028797e16,-8.341217e-8
10800.0,4.318736e23,4.3187355e23,3.6028797e16,8.34244e-8,2.2291058e18,5.1614775e-6,4.318736e23,0.0,7.2057594e16,-3.6028797e16,-8.34244e-8
14400.0,4.3180852e23,4.318085e23,3.6028797e16,8.343697e-8,2.770634e18,6.4163487e-6,4.3180852e23,0.0,7.2057594e16,-3.6028797e16,-8.343697e-8
18000.0,4.3174486e23,4.3174482e23,3.6028797e16,8.344928e-8,3.334279e18,7.7228e-6,4.3174486e23,0.0,7.2057594e16,-3.6028797e16,-8.344928e-8
21600.0,4.3168357e23,4.3168354e23,3.6028797e16,8.3461124e-8,3.8704349e18,8.965907e-6,4.3168357e23,0.0,7.2057594e16,-3.6028797e16,-8.3461124e-8
25200.0,4.3162484e23,4.316248e23,3.6028797e16,8.347248e-8,4.41827e18,1.02363665e-5,4.3162484e23,0.0,7.2057594e16,-3.6028797e16,-8.347248e-8
28800.0,4.315679e23,4.3156792e23,-3.6028797e16,-8.34835e-8,4.921115e18,1.1402876e-5,4.315679e23,0.0,7.2057594e16,-1.0808639e17,-2.504505e-7
32400.0,4.3151204e23,4.315121e23,-7.2057594e16,-1.6698861e-7,5.4294505e18,1.2582384e-5,4.3151204e23,0.0,7.2057594e16,-1.4411519e17,-3.3397723e-7
36000.0,4.3145695e23,4.3145717e23,-2.1617278e17,-5.010298e-7,5.9236453e18,1.3729401e-5,4.3145695e23,0.0,7.2057594e16,-2.8823038e17,-6.680397e-7
39600.0,4.3140233e23,4.3140255e23,-2.1617278e17,-5.010932e-7,6.4150627e18,1.4870255e-5,4.3140233e23,0.0,7.2057594e16,-2.8823038e17,-6.681243e-7
43200.0,4.3134742e23,4.3134764e23,-2.1617278e17,-5.01157e-7,6.886581e18,1.5965277e-5,4.3134742e23,0.0,7.2057594e16,-2.8823038e17,-6.6820934e-7
46800.0,4.312921e23,4.3129233e23,-2.5220158e17,-5.847582e-7,7.324795e18,1.6983375e-5,4.312921e23,0.0,7.2057594e16,-3.2425917e17,-7.51832e-7
50400.0,4.3123617e23,4.3123653e23,-3.6028797e17,-8.354772e-7,7.738475e18,1.7944865e-5,4.3123617e23,0.0,7.2057594e16,-4.3234556e17,-1.0025726e-6
54000.0,4.3117992e23,4.3118032e23,-3.9631677e17,-9.191448e-7,8.163592e18,1.8933144e-5,4.3117992e23,0.0,7.2057594e16,-4.6837436e17,-1.0862619e-6
57600.0,4.3112318e23,4.311236e23,-4.3234556e17,-1.0028353e-6,8.583928e18,1.9910616e-5,4.3112318e23,0.0,7.2057594e16,-5.0440316e17,-1.1699746e-6
61200.0,4.3106593e23,4.310664e23,-4.6837436e17,-1.0865492e-6,9.00061e18,2.0879892e-5,4.3106593e23,0.0,7.2057594e16,-5.4043196e17,-1.2537107e-6
64800.0,4.310083e23,4.3100875e23,-4.6837436e17,-1.0866946e-6,9.411662e18,2.1836384e-5,4.310083e23,0.0,7.2057594e16,-5.4043196e17,-1.2538784e-6
68400.0,4.3095042e23,4.3095096e23,-5.4043196e17,-1.2540467e-6,9.833842e18,2.2818964e-5,4.3095042e23,0.0,7.2057594e16,-6.1248955e17,-1.4212529e-6
72000.0,4.308924e23,4.3089285e23,-4.3234556e17,-1.0033724e-6,1.0262905e19,2.381779e-5,4.308924e23,0.0,7.2057594e16,-5.0440316e17,-1.1706012e-6
75600.0,4.3083416e23,4.3083455e23,-3.9631677e17,-9.1988244e-7,1.0714548e19,2.486931e-5,4.3083416e23,0.0,7.2057594e16,-4.6837436e17,-1.0871338e-6
79200.0,4.3077547e23,4.3077586e23,-3.9631677e17,-9.200078e-7,1.1139964e19,2.5860256e-5,4.3077547e23,0.0,7.2057594e16,-4.6837436e17,-1.0872819e-6
82800.0,4.3071674e23,4.3071717e23,-4.3234556e17,-1.0037817e-6,1.1557726e19,2.6833706e-5,4.3071674e23,0.0,7.2057594e16,-5.0440316e17,-1.1710786e-6
86400.0,4.3065794e23,4.3065844e23,-5.0440316e17,-1.1712385e-6,1.1963185e19,2.7778855e-5,4.3065794e23,0.0,7.2057594e16,-5.7646075e17,-1.3385583e-6
