ta: bit for bit over 25 hours
rhoa: bit for bit over 25 hours

tag        hour    ∫ref J/m²       Δ∫/∫        L1        L∞
rad           1   7.7687e+04  +1.67e-07  1.45e-03  2.37e-03
sfc           1   4.0707e+05  +8.18e-07  2.89e-03  4.12e-03
sub           1   1.9666e+04  +6.19e-07  8.22e-04  9.15e-04
mp            1   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         1   5.2423e+07  -1.21e-05  6.78e-04  1.77e-03
tropo         1   6.0636e+07  -1.46e-06  2.35e-03  5.94e-03
new_strat     1   1.1799e+04  +8.97e-07  7.12e-04  4.83e-04
new_tropo     1   4.9262e+05  +7.07e-07  2.61e-03  4.13e-03

rad          12   7.9899e+05  +1.89e-04  5.39e-03  8.83e-03
sfc          12   4.8264e+06  +1.44e-05  5.11e-03  7.07e-03
sub          12   2.9147e+05  +2.16e-04  4.76e-03  5.56e-03
mp           12   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        12   5.1023e+07  -9.09e-06  2.07e-03  4.37e-03
tropo        12   6.2682e+07  +2.24e-04  6.41e-03  1.07e-02
new_strat    12   1.6488e+05  +1.65e-04  4.88e-03  4.71e-03
new_tropo    12   5.7520e+06  +4.45e-05  5.13e-03  7.20e-03

rad          24   1.5243e+06  +5.74e-04  7.11e-03  1.43e-02
sfc          24   9.3715e+06  +2.52e-04  6.70e-03  9.36e-03
sub          24   5.8760e+05  +5.17e-04  6.19e-03  1.12e-02
mp           24   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        24   4.9854e+07  -3.61e-05  3.80e-03  6.32e-03
tropo        24   6.4261e+07  +7.33e-04  8.37e-03  1.65e-02
new_strat    24   3.4276e+05  +4.10e-04  5.77e-03  7.95e-03
new_tropo    24   1.1141e+07  +3.05e-04  6.77e-03  1.04e-02

