ta: max relative difference 8.50e-03 over 25 hours
rhoa: max relative difference 9.29e-03 over 25 hours

tag        hour    ∫ref J/m²       Δ∫/∫        L1        L∞
rad           1   7.7687e+04  +3.55e-05  1.00e-02  1.37e-02
sfc           1   4.0707e+05  -2.46e-07  5.61e-02  1.23e-01
sub           1   2.0094e+04  -2.14e-02  4.63e-02  3.76e-02
mp            1   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         1   5.2423e+07  -1.92e-05  1.11e-03  5.11e-03
tropo         1   6.0635e+07  +1.84e-05  1.41e-03  5.94e-03
new_strat     1   1.1946e+04  -1.24e-02  3.35e-02  2.31e-02
new_tropo     1   4.9290e+05  -5.68e-04  4.70e-02  1.19e-01

rad           6   4.0573e+05  +3.97e-02  8.82e-02  1.68e-01
sfc           6   2.4361e+06  +5.71e-04  1.12e-01  1.67e-01
sub           6   1.8457e+05  -1.09e-01  1.79e-01  2.60e-01
mp            6   0.0000e+00       +nan  0.00e+00  0.00e+00
strat         6   5.1679e+07  -8.22e-05  9.42e-03  2.04e-02
tropo         6   6.1715e+07  -2.93e-05  1.00e-02  1.93e-02
new_strat     6   9.5698e+04  -5.92e-02  1.43e-01  1.26e-01
new_tropo     6   2.9307e+06  +1.02e-03  8.47e-02  1.47e-01

rad          12   7.4783e+05  +6.87e-02  8.16e-02  1.50e-01
sfc          12   4.8488e+06  -4.45e-03  2.82e-01  4.07e-01
sub          12   3.1176e+05  -6.50e-02  2.23e-01  2.78e-01
mp           12   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        12   5.1044e+07  -5.48e-04  2.01e-02  2.70e-02
tropo        12   6.2727e+07  -4.08e-04  1.27e-02  4.43e-02
new_strat    12   1.6188e+05  +1.85e-02  2.18e-01  1.60e-01
new_tropo    12   5.7465e+06  +1.14e-03  2.28e-01  3.66e-01

rad          24   1.4519e+06  +5.06e-02  5.13e-02  5.99e-02
sfc          24   9.4309e+06  -5.91e-03  3.90e-02  4.97e-02
sub          24   5.9656e+05  -1.45e-02  8.07e-02  1.60e-01
mp           24   0.0000e+00       +nan  0.00e+00  0.00e+00
strat        24   4.9893e+07  -9.36e-04  6.23e-03  3.35e-02
tropo        24   6.4339e+07  -3.81e-04  4.75e-03  3.38e-02
new_strat    24   3.2807e+05  +4.52e-02  8.57e-02  1.70e-01
new_tropo    24   1.1151e+07  -5.22e-04  3.19e-02  4.12e-02

