quantity,set,option,baseline,rate_10_20,ratio,grows,first_day
rescale,N,B,0.0,0.0,nan,False,
rescale,P,B,0.0,0.0,nan,False,
rescale,P_adj,B,0.0,0.0,nan,False,
rescale,P_far,B,0.0,0.0,nan,False,
empty,N,B,0.0,0.0,nan,False,
empty,P,B,0.0,0.0,nan,False,
empty,P_adj,B,0.0,0.0,nan,False,
empty,P_far,B,0.0,0.0,nan,False,
repair,N,B,0.0,0.05162956646889829,inf,True,11.5
repair,P,B,0.0,0.04014632577415434,inf,True,11.5
repair,P_adj,B,0.0,0.032345995602449565,inf,True,15.75
repair,P_far,B,0.0,0.007800330171704764,inf,True,11.5
repairnet,N,B,0.0,0.3451339948856438,inf,True,9.0
repairnet,P,B,0.0,-0.004636866734060513,nan,False,9.5
repairnet,P_adj,B,0.0,0.0021982190846529504,inf,True,9.5
repairnet,P_far,B,0.0,-0.006835085818713463,nan,False,15.75
inc_left,N,C,0.0,6.254662232271135e-10,inf,True,9.0
inc_left,P,C,1.1393912508391008e-11,3.959490131480676e-10,34.75092623859208,True,11.5
inc_left,P_adj,C,0.0,2.157539920649927e-10,inf,True,9.0
inc_left,P_far,C,1.1393912508391008e-11,1.8019502108307478e-10,15.815025870206636,True,11.5
inc_moved,N,C,0.0,36.61588934532407,inf,True,9.0
inc_moved,P,C,0.4419276827357533,16.729598497615548,37.85596411170934,True,11.5
inc_moved,P_adj,C,0.0,14.413566485162965,inf,True,9.0
inc_moved,P_far,C,0.4419276827357533,2.3160320124525766,5.240748889309628,False,11.5
led_fix_pbl,N,B,0.0,0.21208954398900945,inf,True,9.0
led_fix_pbl,P,B,0.0,0.03805438825880146,inf,True,9.5
led_fix_pbl,P_adj,B,0.0,0.032981578620839835,inf,True,9.5
led_fix_pbl,P_far,B,0.0,0.00507280963796162,inf,True,11.5
led_fix_free,N,B,0.0,0.2363035838344286,inf,True,9.0
led_fix_free,P,B,0.0,0.037601396555444574,inf,True,9.5
led_fix_free,P_adj,B,0.0,0.03390863166871227,inf,True,9.5
led_fix_free,P_far,B,0.0,0.003692764886732301,inf,True,11.5
led_fix_evap,N,B,0.0,0.0,nan,False,
led_fix_evap,P,B,0.0,0.0,nan,False,
led_fix_evap,P_adj,B,0.0,0.0,nan,False,
led_fix_evap,P_far,B,0.0,0.0,nan,False,
led_fix_fcg,N,B,0.0,0.0,nan,False,
led_fix_fcg,P,B,0.0,0.0,nan,False,
led_fix_fcg,P_adj,B,0.0,0.0,nan,False,
led_fix_fcg,P_far,B,0.0,0.0,nan,False,
led_inc_pbl,N,C,0.0,18.28516197965227,inf,True,9.0
led_inc_pbl,P,C,0.3449828646500355,8.674114586722329,25.14360994573368,True,11.5
led_inc_pbl,P_adj,C,0.0,7.49007733060206,inf,True,9.0
led_inc_pbl,P_far,C,0.3449828646500355,1.1840372561202686,3.432162514278509,False,11.5
led_inc_free,N,C,0.0,18.554891133170493,inf,True,9.0
led_inc_free,P,C,0.10386850604589282,8.081112234932883,77.80137158574668,True,11.5
led_inc_free,P_adj,C,0.0,6.9421218029473355,inf,True,9.0
led_inc_free,P_far,C,0.10386850604589282,1.1389904319855495,10.965695718029322,True,11.5
led_inc_evap,N,C,0.0,28.100343056061707,inf,True,9.0
led_inc_evap,P,C,0.27460930193841,14.108335566661959,51.376029388204074,True,11.5
led_inc_evap,P_adj,C,0.0,13.541384496374803,inf,True,9.0
led_inc_evap,P_far,C,0.27460930193841,0.5669510702871504,2.0645734368251936,False,11.5
led_inc_fcg,N,C,0.0,0.8244603408899284,inf,True,9.0
led_inc_fcg,P,C,0.00445616677594642,0.515976382636468,115.78928899645652,True,11.5
led_inc_fcg,P_adj,C,0.0,0.5199493105704498,inf,True,9.0
led_inc_fcg,P_far,C,0.00445616677594642,-0.003972927933981843,-0.8915572808959904,False,11.5
overclaim,N,-,0.0,0.7410180298978493,inf,True,9.0
overclaim,P,-,9.84458128426066e-12,1.7413221834997206,176881284558.41138,True,11.5
overclaim,P_adj,-,0.0,0.4908174281365453,inf,True,11.5
overclaim,P_far,-,9.84458128426066e-12,1.250504755363175,127024676749.07207,True,11.5
