time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
0.0,4.806384935485137e23,4.806384935485137e23,0.0,0.0,1.2629971883994274e7,2.6277487245659936e-17,4.806384935485137e23,0.0,NaN,NaN,NaN
3600.0,4.8054059270506925e23,4.805405927050692e23,6.7108864e7,1.396528514318205e-16,3.485382446697748e8,7.253044799145394e-16,4.8054059270506925e23,0.0,6.7108864e7,0.0,0.0
7200.0,4.80444261389118e23,4.804442613891181e23,-6.7108864e7,-1.396808524800917e-16,4.899342143775344e8,1.0197524536165297e-15,4.80444261389118e23,0.0,6.7108864e7,-1.34217728e8,-2.793617049601834e-16
10800.0,4.8035460607266524e23,4.8035460607266524e23,0.0,0.0,6.001517019293706e8,1.2493930407707658e-15,4.8035460607266524e23,0.0,6.7108864e7,-6.7108864e7,-1.3970692307642443e-16
14400.0,4.8027072887435756e23,4.8027072887435756e23,0.0,0.0,7.010811665033122e8,1.459762430549292e-15,4.8027072887435756e23,0.0,6.7108864e7,-6.7108864e7,-1.3973132228417815e-16
18000.0,4.801916918186978e23,4.801916918186978e23,0.0,0.0,7.92129132152236e8,1.649610240344004e-15,4.801916918186978e23,0.0,6.7108864e7,-6.7108864e7,-1.3975432133327656e-16
21600.0,4.801167242221113e23,4.8011672422211144e23,-1.34217728e8,-2.7955228641006117e-16,8.685438758950964e8,1.809026497259219e-15,4.801167242221113e23,0.0,6.7108864e7,-2.01326592e8,-4.1932842961509173e-16
25200.0,4.800453489012773e23,4.800453489012773e23,0.0,0.0,9.456839358803425e8,1.9699887480314387e-15,4.800453489012773e23,0.0,6.7108864e7,-6.7108864e7,-1.3979692575628126e-16
28800.0,4.799770797206364e23,4.799770797206364e23,0.0,0.0,1.0167554695174401e9,2.1183417135443794e-15,4.799770797206364e23,0.0,6.7108864e7,-6.7108864e7,-1.3981680966736938e-16
32400.0,4.799111407599096e23,4.7991114075990966e23,-6.7108864e7,-1.398360202552024e-16,1.0816864044247766e9,2.2539305978852523e-15,4.799111407599096e23,0.0,6.7108864e7,-1.34217728e8,-2.796720405104048e-16
36000.0,4.798466696174934e23,4.798466696174934e23,0.0,0.0,1.151573464565074e9,2.399877997450817e-15,4.798466696174934e23,0.0,6.7108864e7,-6.7108864e7,-1.398548083151132e-16
39600.0,4.797831008709999e23,4.7978310087099994e23,-6.7108864e7,-1.3987333834428586e-16,1.2178413145038402e9,2.538316402334653e-15,4.797831008709999e23,0.0,6.7108864e7,-1.34217728e8,-2.797466766885717e-16
43200.0,4.797202675785239e23,4.79720267578524e23,-1.34217728e8,-2.7978331763527237e-16,1.2765081603451738e9,2.660942733957402e-15,4.797202675785239e23,0.0,6.7108864e7,-2.01326592e8,-4.1967497645290855e-16
46800.0,4.796583238391665e23,4.796583238391665e23,0.0,0.0,1.3435428985962567e9,2.801041557754261e-15,4.796583238391665e23,0.0,6.7108864e7,-6.7108864e7,-1.3990972461994044e-16
50400.0,4.795975133799239e23,4.7959751337992396e23,-6.7108864e7,-1.399274644421232e-16,1.403969505013321e9,2.9273911266114825e-15,4.795975133799239e23,0.0,6.7108864e7,-1.34217728e8,-2.798549288842464e-16
54000.0,4.795380014503057e23,4.795380014503058e23,-1.34217728e8,-2.798896596183711e-16,1.4604849976040711e9,3.045608467289366e-15,4.795380014503057e23,0.0,6.7108864e7,-2.01326592e8,-4.1983448942755667e-16
57600.0,4.7947982944537576e23,4.7947982944537576e23,0.0,0.0,1.518991418935405e9,3.1679985802373663e-15,4.7947982944537576e23,0.0,6.7108864e7,-6.7108864e7,-1.3996180835724877e-16
61200.0,4.794229583730351e23,4.794229583730352e23,-6.7108864e7,-1.3997841118777448e-16,1.570905327041641e9,3.2766585321083694e-15,4.794229583730351e23,0.0,6.7108864e7,-1.34217728e8,-2.7995682237554896e-16
64800.0,4.793673059741883e23,4.793673059741883e23,0.0,0.0,1.6190462691655512e9,3.3774649396985145e-15,4.793673059741883e23,0.0,6.7108864e7,-6.7108864e7,-1.3999466205484925e-16
68400.0,4.793127856382565e23,4.793127856382565e23,0.0,0.0,1.6763558489437675e9,3.497415256118235e-15,4.793127856382565e23,0.0,6.7108864e7,-6.7108864e7,-1.40010586011465e-16
72000.0,4.7925931120157555e23,4.792593112015757e23,-1.34217728e8,-2.800524160156552e-16,1.7281074492104576e9,3.605787949905096e-15,4.7925931120157555e23,0.0,6.7108864e7,-2.01326592e8,-4.200786240234828e-16
75600.0,4.7920677559466304e23,4.79206775594663e23,6.7108864e7,1.4004155913013222e-16,1.776778892612879e9,3.707749938234945e-15,4.7920677559466304e23,0.0,6.7108864e7,0.0,0.0
79200.0,4.791549670526391e23,4.791549670526391e23,0.0,0.0,1.829958279215991e9,3.819136615597173e-15,4.791549670526391e23,0.0,6.7108864e7,-6.7108864e7,-1.4005670109776309e-16
82800.0,4.791036628390612e23,4.791036628390613e23,-1.34217728e8,-2.8014339778714225e-16,1.8829684475337348e9,3.9301900477564394e-15,4.791036628390612e23,0.0,6.7108864e7,-2.01326592e8,-4.2021509668071337e-16
86400.0,4.790525727421157e23,4.7905257274211584e23,-1.34217728e8,-2.8017327457763655e-16,1.9287710947875788e9,4.026220094690688e-15,4.790525727421157e23,0.0,6.7108864e7,-2.01326592e8,-4.202599118664549e-16
