time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
0.0,4.806384935485137e23,4.806384935485137e23,0.0,0.0,1.2629971883994274e7,2.6277487245659936e-17,4.806384935485137e23,0.0,NaN,NaN,NaN
3600.0,4.8054059270506925e23,4.8054059270506925e23,0.0,0.0,3.506347800409899e8,7.296673483236643e-16,4.8054059270506925e23,0.0,0.0,0.0,0.0
7200.0,4.80444261389118e23,4.804442613891181e23,-6.7108864e7,-1.396808524800917e-16,4.9037303088243157e8,1.0206658093169982e-15,4.80444261389118e23,0.0,0.0,-6.7108864e7,-1.396808524800917e-16
10800.0,4.8035460607266524e23,4.803546060726652e23,6.7108864e7,1.3970692307642443e-16,6.010315824132556e8,1.2512247718976489e-15,4.8035460607266524e23,0.0,0.0,6.7108864e7,1.3970692307642443e-16
14400.0,4.8027072887435756e23,4.8027072887435756e23,0.0,0.0,7.056186035171285e8,1.4692100956702768e-15,4.8027072887435756e23,0.0,0.0,0.0,0.0
18000.0,4.801916918186978e23,4.801916918186979e23,-6.7108864e7,-1.3975432133327656e-16,7.962320271346129e8,1.6581545259955059e-15,4.801916918186978e23,0.0,0.0,-6.7108864e7,-1.3975432133327656e-16
21600.0,4.801167242221113e23,4.801167242221114e23,-6.7108864e7,-1.3977614320503058e-16,8.755917964618163e8,1.823706095388484e-15,4.801167242221113e23,0.0,0.0,-6.7108864e7,-1.3977614320503058e-16
25200.0,4.800453489012773e23,4.800453489012774e23,-6.7108864e7,-1.3979692575628126e-16,9.496002062438936e8,1.9781468738679138e-15,4.800453489012773e23,0.0,0.0,-6.7108864e7,-1.3979692575628126e-16
28800.0,4.799770797206364e23,4.799770797206364e23,0.0,0.0,1.0224618379456718e9,2.130230548801998e-15,4.799770797206364e23,0.0,0.0,0.0,0.0
32400.0,4.799111407599096e23,4.7991114075990966e23,-6.7108864e7,-1.398360202552024e-16,1.0933597167667315e9,2.278254501521811e-15,4.799111407599096e23,0.0,0.0,-6.7108864e7,-1.398360202552024e-16
36000.0,4.798466696174934e23,4.798466696174935e23,-6.7108864e7,-1.398548083151132e-16,1.1579493092399993e9,2.413165251648096e-15,4.798466696174934e23,0.0,0.0,-6.7108864e7,-1.398548083151132e-16
39600.0,4.797831008709999e23,4.797831008709999e23,0.0,0.0,1.227844277088364e9,2.5591653287898868e-15,4.797831008709999e23,0.0,0.0,0.0,0.0
43200.0,4.797202675785239e23,4.797202675785239e23,0.0,0.0,1.2878111005713606e9,2.6845042571826777e-15,4.797202675785239e23,0.0,0.0,0.0,0.0
46800.0,4.796583238391665e23,4.796583238391666e23,-6.7108864e7,-1.3990972461994044e-16,1.3538215985874853e9,2.8224707699254548e-15,4.796583238391665e23,0.0,0.0,-6.7108864e7,-1.3990972461994044e-16
50400.0,4.795975133799239e23,4.7959751337992396e23,-6.7108864e7,-1.399274644421232e-16,1.4117546364296803e9,2.9436237616839506e-15,4.795975133799239e23,0.0,0.0,-6.7108864e7,-1.399274644421232e-16
54000.0,4.795380014503057e23,4.7953800145030574e23,-6.7108864e7,-1.3994482980918555e-16,1.4673427309290326e9,3.059909176105395e-15,4.795380014503057e23,0.0,0.0,-6.7108864e7,-1.3994482980918555e-16
57600.0,4.7947982944537576e23,4.794798294453758e23,-6.7108864e7,-1.3996180835724877e-16,1.522146839733098e9,3.174579505239661e-15,4.7947982944537576e23,0.0,0.0,-6.7108864e7,-1.3996180835724877e-16
61200.0,4.794229583730351e23,4.794229583730352e23,-6.7108864e7,-1.3997841118777448e-16,1.5708891352276297e9,3.276624758560965e-15,4.794229583730351e23,0.0,0.0,-6.7108864e7,-1.3997841118777448e-16
64800.0,4.793673059741883e23,4.793673059741883e23,0.0,0.0,1.6233690282691e9,3.386482574088002e-15,4.793673059741883e23,0.0,0.0,0.0,0.0
68400.0,4.793127856382565e23,4.793127856382566e23,-6.7108864e7,-1.40010586011465e-16,1.676687026323073e9,3.4981061982112242e-15,4.793127856382565e23,0.0,0.0,-6.7108864e7,-1.40010586011465e-16
72000.0,4.7925931120157555e23,4.792593112015756e23,-6.7108864e7,-1.400262080078276e-16,1.7277763359306734e9,3.6050970644657415e-15,4.7925931120157555e23,0.0,0.0,-6.7108864e7,-1.400262080078276e-16
75600.0,4.7920677559466304e23,4.792067755946631e23,-6.7108864e7,-1.4004155913013222e-16,1.7758219635637038e9,3.705753036066799e-15,4.7920677559466304e23,0.0,0.0,-6.7108864e7,-1.4004155913013222e-16
79200.0,4.791549670526391e23,4.791549670526392e23,-1.34217728e8,-2.8011340219552618e-16,1.8286804434940002e9,3.816469762888015e-15,4.791549670526391e23,0.0,0.0,-1.34217728e8,-2.8011340219552618e-16
82800.0,4.791036628390612e23,4.791036628390613e23,-1.34217728e8,-2.8014339778714225e-16,1.8794926766677866e9,3.9229353111815786e-15,4.791036628390612e23,0.0,0.0,-1.34217728e8,-2.8014339778714225e-16
86400.0,4.790525727421157e23,4.790525727421158e23,-6.7108864e7,-1.4008663728881828e-16,1.9292678830879147e9,4.0272571171984524e-15,4.790525727421157e23,0.0,0.0,-6.7108864e7,-1.4008663728881828e-16
