time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
0.0,1.0590163061802632e9,1.0590163061802632e9,0.0,0.0,4.221891209347695e-9,3.986615866733458e-18,1.0590163061802632e9,0.0,NaN,NaN,NaN
21600.0,1.0589930562733045e9,1.0589930562733027e9,1.7881393432617188e-6,1.6885279206214516e-15,5.1880837769675435e-5,4.8990725163249845e-14,1.0589930562733045e9,0.0,-1.1920928955078125e-7,1.9073486328125e-6,1.801096448662882e-15
43200.0,1.0585625227745955e9,1.0585625227745941e9,1.430511474609375e-6,1.351371736512894e-15,8.122806945604626e-5,7.673431442021921e-14,1.0585625227745955e9,0.0,-1.1920928955078125e-7,1.5497207641601562e-6,1.4639860478889685e-15
64800.0,1.0581962422210865e9,1.058196242221085e9,1.5497207641601562e-6,1.4644927871860432e-15,0.00013566728002050482,1.2820616309858354e-13,1.0581962422210865e9,0.0,-1.1920928955078125e-7,1.6689300537109375e-6,1.5771460785080466e-15
86400.0,1.0572405268152084e9,1.0572405268152052e9,3.2186508178710938e-6,3.0443884208325197e-15,0.0001553315515087411,1.469216772995413e-13,1.0572405268152084e9,0.0,-1.1920928955078125e-7,3.337860107421875e-6,3.1571435475300205e-15
108000.0,1.0569284688392429e9,1.0569284688392403e9,2.6226043701171875e-6,2.4813451879079634e-15,0.00018393866463598205,1.7403132762427161e-13,1.0569284688392429e9,0.0,-1.1920928955078125e-7,2.7418136596679688e-6,2.5941336055401437e-15
129600.0,1.0561875795873653e9,1.056187579587361e9,4.291534423828125e-6,4.063231292214926e-15,0.00021293174696332726,2.0160410052020885e-13,1.0561875795873653e9,0.0,-1.1920928955078125e-7,4.410743713378906e-6,4.176098828109785e-15
151200.0,1.0556246689552116e9,1.0556246689552045e9,7.152557373046875e-6,6.7756633426594784e-15,0.00025672276608816033,2.4319511814956707e-13,1.0556246689552116e9,0.0,-1.1920928955078125e-7,7.271766662597656e-6,6.8885910650371364e-15
172800.0,1.0548729277063187e9,1.0548729277063088e9,9.894371032714844e-6,9.379680502587966e-15,0.00030356156160829355,2.877707386692992e-13,1.0548729277063187e9,0.0,-1.1920928955078125e-7,1.0013580322265625e-5,9.492688701414328e-15
194400.0,1.0540884883374708e9,1.054088488337455e9,1.5735626220703125e-5,1.4928183349693597e-14,0.0003270466994242535,3.1026493794660256e-13,1.0540884883374708e9,0.0,-1.1920928955078125e-7,1.5854835510253906e-5,1.5041275647797337e-14
