site,family,run,metric,value,day
23,water,untagged,negative_water_worst_fraction,-0.10809078645083739,30.0
23,water,samesign,gross_last,1.0194981558568388,74.5
23,water,samesign,net_last,-1.0194550981195087,74.5
23,water,samesign,slope,1.0391153115704483,74.5
23,water,samesign,moved_net_abs,173.1329753647625,74.5
23,water,absm,gross_last,1.0195078779046822,74.5
23,water,absm,net_last,-1.0194646186582406,74.5
23,water,absm,slope,1.039133097012144,74.5
23,water,absm,moved_net_abs,173.13820089038188,74.5
23,water,samesign,l1_vs_copies_pbl,0.006229861698323829,10
23,water,samesign,l1_vs_copies_free,0.0054519646710847495,10
23,water,samesign,l1_vs_copies_evap,0.004680254082134818,10
23,water,samesign,l1_vs_copies_fcg,0.036684667141649224,10
23,water,samesign,l1_vs_copies_pbl,0.6316984837474662,30
23,water,samesign,l1_vs_copies_free,0.1682168019256565,30
23,water,samesign,l1_vs_copies_evap,0.5510228635804592,30
23,water,samesign,l1_vs_copies_fcg,0.01522459645178517,30
23,water,absm,l1_vs_copies_pbl,0.006229861697925613,10
23,water,absm,l1_vs_copies_free,0.005451964671503075,10
23,water,absm,l1_vs_copies_evap,0.00468025408159377,10
23,water,absm,l1_vs_copies_fcg,0.036684667142206376,10
23,water,absm,l1_vs_copies_pbl,0.6316984837473137,30
23,water,absm,l1_vs_copies_free,0.16821680203645725,30
23,water,absm,l1_vs_copies_evap,0.5510928020626168,30
23,water,absm,l1_vs_copies_fcg,0.0152134908665432,30
23,energy,samesign,gross_last,7.590054550202295e-12,74.25
23,energy,samesign,net_last,1.4537160747150338e-12,74.25
23,energy,samesign,slope,0.6702658592731356,74.25
23,energy,samesign,moved_net_abs,0.4803869685556935,74.25
23,energy,absm,gross_last,1.6061308618109194e-12,74.25
23,energy,absm,net_last,1.6024472297152558e-12,74.25
23,energy,absm,slope,0.4599012922926609,74.25
23,energy,absm,moved_net_abs,0.480387075209937,74.25
23,energy,samesign,l1_vs_copies_pbl,0.05876532271477071,10
23,energy,samesign,l1_vs_copies_free,0.01122854646636932,10
23,energy,samesign,l1_vs_copies_sfc,0.027871062084168802,10
23,energy,samesign,l1_vs_copies_rad,0.008526218360043289,10
23,energy,samesign,l1_vs_copies_pbl,0.06710258431721487,30
23,energy,samesign,l1_vs_copies_free,0.012493603472628165,30
23,energy,samesign,l1_vs_copies_sfc,0.13736970489062986,30
23,energy,samesign,l1_vs_copies_rad,0.03563413394925934,30
23,energy,absm,l1_vs_copies_pbl,0.05876532271692071,10
23,energy,absm,l1_vs_copies_free,0.011228546466668746,10
23,energy,absm,l1_vs_copies_sfc,0.02787106208569646,10
23,energy,absm,l1_vs_copies_rad,0.008526218360240412,10
23,energy,absm,l1_vs_copies_pbl,0.06710258432750642,30
23,energy,absm,l1_vs_copies_free,0.012493603474317992,30
23,energy,absm,l1_vs_copies_sfc,0.13736970490051065,30
23,energy,absm,l1_vs_copies_rad,0.03563413395225206,30
26,water,untagged,negative_water_worst_fraction,0.0,0.0
26,water,samesign,gross_last,5.4199648788366356e-12,90.0
