run,field,times_compared,last_day,twin_last_day,parity,bitwise_equal_times,first_differing_day,max_abs_difference
lr_s23_samesign,rhoa,75,74,90,prefix,75,,0.000000e+00
lr_s23_samesign,ta,75,74,90,prefix,75,,0.000000e+00
lr_s23_samesign,hus,75,74,90,prefix,75,,0.000000e+00
lr_s23_samesign,clw,75,74,90,prefix,75,,0.000000e+00
lr_s23_samesign,cli,75,74,90,prefix,75,,0.000000e+00
lr_s23_samesign,wa,75,74,90,prefix,75,,0.000000e+00
lr_s23_samesign,pr,75,74,90,prefix,75,,0.000000e+00
lr_s23_samesign,lwp,75,74,90,prefix,75,,0.000000e+00
lr_s23_samesign,arup,75,74,90,prefix,75,,0.000000e+00
lr_s23_samesign,husup,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,rhoa,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,ta,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,hus,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,clw,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,cli,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,wa,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,pr,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,lwp,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,arup,75,74,90,prefix,75,,0.000000e+00
lr_s23_absm,husup,75,74,90,prefix,75,,0.000000e+00
lr_s23_copies,rhoa,49,48,90,prefix,49,,0.000000e+00
lr_s23_copies,ta,49,48,90,prefix,49,,0.000000e+00
lr_s23_copies,hus,49,48,90,prefix,49,,0.000000e+00
lr_s23_copies,clw,49,48,90,prefix,49,,0.000000e+00
lr_s23_copies,cli,49,48,90,prefix,49,,0.000000e+00
lr_s23_copies,wa,49,48,90,prefix,49,,0.000000e+00
lr_s23_copies,pr,49,48,90,prefix,49,,0.000000e+00
lr_s23_copies,lwp,49,48,90,prefix,49,,0.000000e+00
lr_s23_copies,arup,49,48,90,prefix,49,,0.000000e+00
lr_s23_copies,husup,49,48,90,prefix,49,,0.000000e+00
lr_s26_samesign,rhoa,91,90,90,completion,91,,0.000000e+00
lr_s26_samesign,ta,91,90,90,completion,91,,0.000000e+00
lr_s26_samesign,hus,91,90,90,completion,91,,0.000000e+00
lr_s26_samesign,clw,91,90,90,completion,91,,0.000000e+00
lr_s26_samesign,cli,91,90,90,completion,91,,0.000000e+00
lr_s26_samesign,wa,91,90,90,completion,91,,0.000000e+00
lr_s26_samesign,pr,91,90,90,completion,91,,0.000000e+00
lr_s26_samesign,lwp,91,90,90,completion,91,,0.000000e+00
lr_s26_samesign,arup,91,90,90,completion,91,,0.000000e+00
lr_s26_samesign,husup,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,rhoa,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,ta,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,hus,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,clw,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,cli,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,wa,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,pr,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,lwp,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,arup,91,90,90,completion,91,,0.000000e+00
lr_s26_absm,husup,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,rhoa,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,ta,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,hus,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,clw,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,cli,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,wa,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,pr,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,lwp,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,arup,91,90,90,completion,91,,0.000000e+00
lr_s26_copies,husup,91,90,90,completion,91,,0.000000e+00
