t,signed,gross,form_b,int_prec,int_rho
10.0,1.2458944850484843,204.00466661022364,2.560872758294863e-8,1.1150849357402913e-12,1682.686486992762
20.0,-0.016987624313054756,207.64780403556918,1.3165731616027188e-8,6.1751462079153e-12,1682.6868588737607
30.0,-0.16750959286565575,204.07864163436884,1.9664526007545646e-8,2.6267667632189483e-11,1682.6872307547583
40.0,-0.2040367954161231,202.81389851339026,3.509171619953122e-9,1.0268766822258855e-10,1682.6876026357563
50.0,-0.21852280245141792,204.4556267954518,1.8166474546887912e-8,4.0658948579111856e-10,1682.6879745167544
60.0,-0.22600635043085662,208.017894105842,3.39282451022882e-8,1.9429217017203982e-9,1682.6883463977522
70.0,-0.23067314535374756,212.25705066602328,2.7139094527228735e-8,1.0102880148255003e-8,1682.688718278751
80.0,-0.23542831509893106,216.317730122827,1.0045846465800423e-7,5.232713574823798e-8,1682.6890901597503
90.0,-0.23992451464147416,219.3405304710148,3.4932486414618324e-7,2.5374516184336966e-7,1682.6894620407545
100.0,-0.24443553344654478,220.88191748704602,1.0069138625112828e-6,1.1309670273841322e-6,1682.6898339217748
110.0,-0.24895633599375006,220.7814137935508,1.7570159798196983e-6,4.619419896512853e-6,1682.6902058028345
120.0,-0.2534887481945228,219.7734392504119,-3.260328412579838e-6,1.69706891830696e-5,1682.6905776839392
130.0,-0.25811780389110056,218.16849795642545,-4.1209469145542243e-5,4.623248975603869e-5,1682.6909495648115
140.0,-0.2631201750529094,216.634639312154,-0.00022070698696552427,7.311974388920187e-5,1682.6913214436
150.0,-0.2696722520149202,214.6471197283781,-0.0009934861072906642,-9.54624720675738e-5,1682.6916933109674
160.0,-0.28145436288673337,212.60731084192432,-0.0037757480308755476,-0.001460932014673403,1682.692065131919
170.0,-0.30881651901528717,210.63902765591288,-0.012549615754323895,-0.008448074130467496,1682.6924367847794
180.0,-0.37510038407321694,208.47970416259315,-0.036296331432822626,-0.038708605002666235,1682.6928078841484
190.0,-0.5191364909044137,206.84220876769558,-0.08996059220999086,-0.13610994201963003,1682.6931775791488
200.0,-0.7864296771499641,204.90157583104022,-0.1910560364531193,-0.38423569160025234,1682.6935444074763
210.0,-1.2150015531252891,204.2350004263673,-0.3542245122721397,-0.9129906092476605,1682.6939062788886
220.0,-1.8202237414734075,203.46397238618368,-0.5853925473547861,-1.8888667040090557,1682.6942607008282
230.0,-2.5871464826835284,203.51947608784965,-0.8788166515905687,-3.4904107671394815,1682.6946051761122
240.0,-3.47350366655356,203.36520937680527,-1.2182360591968973,-5.877307279098296,1682.6949376332432
250.0,-4.420710137419929,203.33973925236972,-1.581103458477628,-9.163821912438348,1682.6952567489257
260.0,-5.367318840170232,203.3134128192145,-1.9437644572526551,-13.404017676172264,1682.695562086508
270.0,-6.260101751567735,203.21645041759407,-2.285724007077988,-18.59047898800667,1682.695854052327
280.0,-7.060402613671514,203.227648278982,-2.5920939482084577,-24.663677910727326,1682.6961337246123
290.0,-7.74577914055223,203.14513865925798,-2.8542270925590856,-31.52710058131912,1682.696402625475
300.0,-8.30828408319009,203.27000827213283,-3.069056945385455,-39.06351217497623,1682.6966624952795
310.0,-8.75103363147957,203.32220447441668,-3.237777545647077,-47.14918822046977,1682.6969151060514
320.0,-9.084396143387831,203.51491139042844,-3.3643765583292407,-55.6645832297127,1682.6971621285606
330.0,-9.322618395662884,203.68526315064605,-3.454336368979966,-64.50118612426492,1682.697405052113
340.0,-9.481247262740563,203.99780697880723,-3.5136412340598326,-73.56506940391793,1682.6976451477094
350.0,-9.57539192041012,204.24459011265142,-3.5481078709262874,-82.77795025757526,1682.6978834624754
360.0,-9.618707572268733,204.43883380966014,-3.5629939977088725,-92.07659991171332,1682.6981208339314
370.0,-9.62292167347435,204.5920045061964,-3.5628155435597364,-101.41130549255735,1682.698357914917
380.0,-9.597726233957843,204.71364387562735,-3.5513049928831606,-110.74390708686911,1682.698595202603
390.0,-9.550891607363468,204.81144189609432,-3.53145500620667,-120.04575871055178,1682.6988330673541
400.0,-9.488494109898499,204.8914384589056,-3.5056061133518597,-129.29582067371962,1682.6990717790468
