t,signed,gross,form_b,form_a_max,form_a_z,form_a_unrepaired,ledger_max
600.0,-7.809874088143321,205.88287400385533,-2.8221495975431026,4.3414530721283405e-7,125.0,7.146154803557533e-10,4.344643572311902e-7
1200.0,-5.018507605499225,207.36017750871605,-1.6361607158796687,4.3375928420950305e-7,125.0,1.5532774998870411e-9,4.3442429021502905e-7
1800.0,-4.029349851850662,207.82589664185008,-1.1504112476541195,4.3339363999472115e-7,125.0,2.4481004401244e-9,4.343926157373043e-7
2400.0,-3.7246900975747392,207.8317532859233,-0.9342360555456253,4.3303556179827785e-7,125.0,3.3719905244780795e-9,4.3436560640067696e-7
3000.0,-3.7157104918980632,207.61826411370856,-0.8379667063200031,4.3268044279121024e-7,125.0,4.311741952646951e-9,4.3434132508474586e-7
3600.0,-3.8457281374541874,207.25262168579886,-0.8010123502754141,4.3227171321811015e-7,125.0,5.431739451005418e-9,4.3431582723270943e-7
4200.0,-4.161383809982106,206.94089759428076,-0.8427756808086997,4.3180254181004397e-7,125.0,6.745466013753206e-9,4.3428892684618e-7
4800.0,-4.96666916344356,207.02910752417912,-1.086602903858875,4.3129452607259205e-7,125.0,8.180829105660283e-9,4.3426147070885536e-7
5400.0,-5.933475764048269,207.2265583538848,-1.4035252115136245,4.30751313330597e-7,125.0,9.722406196933504e-9,4.3423335989055625e-7
6000.0,-6.68497297473479,207.1788119251225,-1.6404800904419972,4.301931704979067e-7,125.0,1.1305644012577724e-8,4.34205106957704e-7
6600.0,-7.238238893262604,206.9301037310313,-1.8024747910094447,4.296258632384801e-7,125.0,1.2911997662257981e-8,4.341771817077312e-7
7200.0,-7.673017142593485,206.7831321921459,-1.9213050093967468,4.2904642596536027e-7,125.0,1.4549433317984903e-8,4.3414926565391413e-7
7800.0,-8.036593915598697,207.07873217553663,-2.052160574501613,4.284668907914215e-7,125.0,1.6181469328303897e-8,4.34120480075149e-7
8400.0,-8.368672534307741,207.24043898582843,-2.176385047758231,4.2788074194571216e-7,125.0,1.7821039547888578e-8,4.3409136271906285e-7
9000.0,-8.686067816267812,207.25469116244977,-2.301562951761298,4.2729142683877977e-7,125.0,1.9457539836660314e-8,4.340620797676053e-7
9600.0,-8.982441640434107,207.13909583016778,-2.4248951440968085,4.2669930478479894e-7,125.0,2.1089793677468276e-8,4.340327138096894e-7
10200.0,-9.2273921974123,206.97162058232098,-2.5329871047870256,4.2610458834854924e-7,125.0,2.2716529409748916e-8,4.3400330946083974e-7
10800.0,-9.4545865618394,206.81317872709508,-2.641025542659918,4.255081352303367e-7,125.0,2.4335644561682138e-8,4.339738998149929e-7
11400.0,-9.725319091989984,206.73503208279266,-2.7774647452461068,4.2490992851746234e-7,125.0,2.5946811707776668e-8,4.3394450930529093e-7
12000.0,-10.061388750197723,206.72713460227627,-2.953846393706044,4.243072419730103e-7,125.0,2.755857743929012e-8,4.3391481278163796e-7
12600.0,-10.36258087030262,206.78330358811476,-3.126313840970397,4.237012735326903e-7,125.0,2.9166597225807112e-8,4.338849795694039e-7
13200.0,-10.62892259607308,206.88026624112663,-3.297796887491131,4.230946534446665e-7,125.0,3.076259646212729e-8,4.3385519984095966e-7
13800.0,-10.871809991828092,207.04597107595538,-3.4791180705069564,4.224878099872681e-7,125.0,3.2344036293933006e-8,4.338254176700616e-7
14400.0,-11.005077922550155,207.23354382646437,-3.640846697759116,4.218784962637286e-7,125.0,3.3914765663854784e-8,4.337953869103163e-7
15000.0,-11.193727523063886,207.70364817123206,-3.891974017722532,4.2125361120387105e-7,125.0,3.550674470709852e-8,4.337641637355023e-7
15600.0,-11.72700177006604,208.52336638102986,-4.382305751962122,4.206511739998193e-7,125.0,3.701487358755417e-8,4.33721098649163e-7
16200.0,-12.165765525833539,209.14512746917384,-4.8322514207684435,4.200451780184506e-7,125.0,3.8489223372330964e-8,4.3367451174713674e-7
16800.0,-12.046286604217691,209.0283134405214,-5.007479404332116,4.194315261272621e-7,125.0,3.9951315410849826e-8,4.336284762121258e-7
17400.0,-11.062568362967335,208.01013981085768,-4.751179750368465,4.1881342744706814e-7,125.0,4.142107272296464e-8,4.3358476648869807e-7
18000.0,-8.44319856501607,206.33327552009797,-3.6730086071183905,4.1821493881246437e-7,125.0,4.2889075536989866e-8,4.3354475985183404e-7
18600.0,-9.350638229745629,207.4252642177563,-4.358813888975419,4.176171153883644e-7,125.0,4.434218993654978e-8,4.3350522654950375e-7
19200.0,-9.766589794165565,208.00084356506292,-4.808659564354457,4.170080928715665e-7,125.0,4.577632873302446e-8,4.334642071006874e-7
19800.0,-9.733860777851302,208.1549685690336,-5.037788808054756,4.1639378189712154e-7,125.0,4.7193192389752615e-8,4.334230812877763e-7
20400.0,-9.42067451255142,208.05392119840988,-5.126971490040887,4.157774832912095e-7,125.0,4.859556860536091e-8,4.3338256562664214e-7
21000.0,-8.94697463472927,207.80794943411982,-5.134700863389298,4.151613082597257e-7,125.0,4.9985414425000694e-8,4.333429993597674e-7
21600.0,-8.383331478854538,207.48108427515137,-5.095636556507088,4.14546438125246e-7,125.0,5.136289848837401e-8,4.333044653869809e-7
22200.0,-7.76954121758226,207.1082090544374,-5.029389240313321,4.139333379696956e-7,125.0,5.272912507288768e-8,4.332671348453557e-7
22800.0,-7.1275563727033235,206.708471904509,-4.946752710209694,4.1332268731717636e-7,125.0,5.408435382845167e-8,4.3323105958100277e-7
23400.0,-6.469102992439174,206.29305068602423,-4.853435164201073,4.127144539933145e-7,125.0,5.542834510855067e-8,4.3319621138201044e-7
24000.0,-5.801691822589188,205.86905257960984,-4.753073095693253,4.121085433663289e-7,125.0,5.676077174425326e-8,4.331625703590774e-7
24600.0,-5.1301155991396366,205.44130788956778,-4.647957430512179,4.1150589293099666e-7,125.0,5.8081657159729764e-8,4.3313008913530903e-7
25200.0,-4.398892122483301,205.0236187515135,-4.502454720553942,4.1090951492488846e-7,125.0,5.938661168181759e-8,4.330979829556242e-7
25800.0,-3.6531800074101772,204.61643878562094,-4.346263507148251,4.103159619492292e-7,125.0,6.068066140198187e-8,4.33067082592194e-7
26400.0,-2.949845637490575,204.23441242034207,-4.209301454015076,4.097260482154403e-7,125.0,6.196362348767704e-8,4.330373594784436e-7
27000.0,-2.273588356669164,203.8651540627451,-4.083544206514489,4.0913755361843563e-7,125.0,6.323755645801776e-8,4.330103503567459e-7
27600.0,-1.6160519834897993,203.50306788599255,-3.9645934995496646,4.0854953794569805e-7,125.0,6.450295642343866e-8,4.329864647894598e-7
28200.0,-0.9741427378349317,203.14628586944585,-3.8508078204467893,4.079649960664657e-7,125.0,6.57571602223668e-8,4.3296400456336844e-7
28800.0,-0.34569092030208814,202.79389056457947,-3.741008381417487,4.073824195175238e-7,125.0,6.699955692088011e-8,4.329429214443396e-7
29400.0,0.2708344783248318,202.4451293055601,-3.634332661225926,4.068028795199001e-7,125.0,6.823054936958179e-8,4.329231607143882e-7
30000.0,0.8983313559398911,202.12009094698104,-3.5181152769364417,4.062265582011089e-7,125.0,6.944957236300345e-8,4.3290467174970174e-7
30600.0,1.5664917057439929,201.8334254619911,-3.3758574456442147,4.056547750992957e-7,125.0,7.065539686388569e-8,4.3288741369319217e-7
31200.0,2.153242557730013,201.49968413384497,-3.2751211333670653,4.050806026195643e-7,125.0,7.185798137790925e-8,4.328711710221885e-7
31800.0,2.7293389658118348,201.1745052955555,-3.176767700642813,4.0450791904471083e-7,125.0,7.305119847039579e-8,4.328560743912548e-7
32400.0,3.2976086735399313,200.8622747767621,-3.0792228271602653,4.0393655535049583e-7,125.0,7.423425036908342e-8,4.328419978352185e-7
33000.0,3.8596075503262233,200.56184120509377,-2.981625222368166,4.0336326811412597e-7,125.0,7.541466657224266e-8,4.3283338230303565e-7
33600.0,4.410260879552994,200.27053681115459,-2.8868574094376527,4.027888596553257e-7,125.0,7.659043820055948e-8,4.3282889054543277e-7
34200.0,4.965462505676534,199.98583305416366,-2.7859309976920485,4.022142656874986e-7,125.0,7.775756579994135e-8,4.3282620921940594e-7
34800.0,5.502065023615197,199.7211208572075,-2.6918984830845147,4.0164042340395667e-7,125.0,7.891643895407833e-8,4.328253431414138e-7
35400.0,6.023736139058643,199.47160244141787,-2.6027348280185834,4.0106810708298566e-7,125.0,8.006731406418679e-8,4.3282612138232214e-7
36000.0,6.529691320636585,199.23566813319852,-2.5188958690850995,4.0049605807436675e-7,125.0,8.121056075413318e-8,4.3282901909200576e-7
36600.0,7.021973537306783,199.01201596348602,-2.4392321431078017,3.999230006960118e-7,125.0,8.234563891471325e-8,4.3283398718602003e-7
37200.0,7.501690618855584,198.79922330691457,-2.3631211790489033,3.993520197263375e-7,125.0,8.347296331939763e-8,4.328410164424782e-7
37800.0,7.966964990381939,198.56335528856175,-2.2900899418164045,3.9878168822731597e-7,125.0,8.459210319444205e-8,4.328499952713391e-7
38400.0,8.474407081536265,198.1781969157451,-2.1844329468440264,3.982121402346291e-7,125.0,8.570218738828714e-8,4.328606692536471e-7
39000.0,8.961449207288515,197.82371413463102,-2.086633028113283,3.9764370774097024e-7,125.0,8.680619399838703e-8,4.328738165663131e-7
39600.0,9.410960921447467,197.51200693928968,-2.006692446768284,3.970720675106245e-7,125.0,8.790562073866518e-8,4.328907812818142e-7
40200.0,9.785533135865794,197.29119743654178,-1.9665188679937273,3.9648633658542436e-7,125.0,8.901669874033926e-8,4.329231010821005e-7
40800.0,10.193956021736811,197.0180845625357,-1.902857699082233,3.9591301702867444e-7,125.0,9.010032402683549e-8,4.329446251485285e-7
41400.0,10.5836118940344,196.76914117411872,-1.846293621812947,3.953427207968077e-7,125.0,9.117512200975889e-8,4.3296705368636583e-7
42000.0,10.95752851683744,196.5417456864544,-1.7950464563909918,3.947697348101281e-7,125.0,9.224085707126439e-8,4.329903117061772e-7
42600.0,11.316139620286888,196.3358981601758,-1.7488282416015863,3.9420188773744556e-7,125.0,9.32972436073142e-8,4.3301453360020767e-7
43200.0,11.660116419056026,196.15122016005083,-1.707196980016306,3.936300972708789e-7,125.0,9.434433858975801e-8,4.330396622795123e-7
43800.0,11.988254520954188,195.9847427155843,-1.670779748703353,3.930638701097493e-7,125.0,9.538271519946582e-8,4.3306560880631856e-7
44400.0,12.299721796770966,195.83662269455127,-1.6399458858650178,3.9249443220392734e-7,125.0,9.64111148417409e-8,4.3309224135521507e-7
45000.0,12.592442101745705,195.7069170883501,-1.6157751047285274,3.919247289049558e-7,125.0,9.743069565208424e-8,4.331194927849439e-7
45600.0,12.863228291463013,195.59673525145556,-1.5999668941367418,3.913595831123068e-7,125.0,9.84407278189543e-8,4.331472907569409e-7
46200.0,13.1073710852054,195.50874697182888,-1.5950631416635588,3.907957203676057e-7,125.0,9.944050494179146e-8,4.331755522668806e-7
46800.0,13.31771452257521,195.44809744495723,-1.6049698037095368,3.9022702932409994e-7,125.0,1.0043073608572294e-7,4.332041782709057e-7
47400.0,13.484230803355391,195.42132306095974,-1.635188555228524,3.8966349984822355e-7,125.0,1.014103894296825e-7,4.3323298224733594e-7
48000.0,13.59015572065996,195.44540265419334,-1.695010778377764,3.891005138698395e-7,125.0,1.0237859127615648e-7,4.332618501295657e-7
48600.0,13.59221337987998,195.55734831957074,-1.8093607807531953,3.8853958348386326e-7,125.0,1.033338239839313e-7,4.332905796926901e-7
49200.0,13.504784694832633,195.66975955387548,-1.9683677814900875,3.8797632297605016e-7,125.0,1.0427532469905834e-7,4.333191057112268e-7
49800.0,13.856181994325683,194.96782157608177,-1.8518932511797175,3.8744398846328297e-7,125.0,1.0517073293909995e-7,4.3333873558105397e-7
50400.0,14.397944900123472,195.21824582937924,-1.6194172271061689,3.869051223244912e-7,125.0,1.0607527410014215e-7,4.333608023065056e-7
51000.0,13.829999829575073,195.92343316675584,-2.06393998907879,3.863637255101708e-7,125.0,1.0696598431244557e-7,4.333834721277897e-7
51600.0,13.087815466782503,196.68359729847552,-2.621978348819539,3.8581765972628276e-7,125.0,1.0783327606542029e-7,4.334054033848083e-7
52200.0,12.486880784752195,197.24352836375354,-3.1009040579665452,3.8527528404135163e-7,125.0,1.0867962830911089e-7,4.334266798324101e-7
52800.0,11.203729046924082,202.121118563314,-3.9878732215147465,3.8472501745593963e-7,125.0,1.0951028223109519e-7,4.3344761149065143e-7
53400.0,-15.073834694226608,283.18318148765263,-20.080951491952874,3.8415613611717264e-7,125.0,1.101077071362602e-7,4.334469647185072e-7
54000.0,7.439256921837161,199.42107149220374,-6.6060416061664,3.835916408846645e-7,125.0,1.1059287361899927e-7,4.334289384539413e-7
54600.0,12.352604802552126,196.57223594829,-3.6608806715812534,3.830561003687908e-7,125.0,1.1141130875024238e-7,4.334342520499437e-7
55200.0,12.111898784930307,196.46741651206239,-3.862492458196357,3.8251499921977596e-7,125.0,1.1222604835481203e-7,4.334426649936209e-7
55800.0,11.888454003889548,196.53280796450719,-4.055234475294128,3.819739332468752e-7,125.0,1.1302782839176053e-7,4.3345285094002284e-7
56400.0,11.691433305232902,196.63607476480036,-4.232457471312955,3.8142725732678123e-7,125.0,1.1381871277139397e-7,4.3346439255782156e-7
57000.0,11.51770117070713,196.72033431230213,-4.395157730439678,3.808893165124779e-7,125.0,1.1459920119337559e-7,4.3347691063804043e-7
57600.0,11.390026066064575,196.77874883372192,-4.528550685150549,3.8034561123445083e-7,125.0,1.1537000953363858e-7,4.334901902266141e-7
58200.0,11.298587025681648,196.82075229795737,-4.638030190486461,3.797941424277996e-7,125.0,1.1613373574655898e-7,4.3350410249664116e-7
58800.0,11.606935723303248,196.4237668725941,-4.4964489922858775,3.792476794193098e-7,125.0,1.1689616387178109e-7,4.335199043631914e-7
59400.0,12.686843331444376,195.37768885666492,-3.870765043073334,3.7869782199851474e-7,125.0,1.1766703719601997e-7,4.335379023604822e-7
60000.0,14.814467832674127,194.16284162021958,-2.584445908316411,3.781501305132774e-7,125.0,1.1846350560076653e-7,4.3356016455611084e-7
60600.0,14.2885994254644,194.68956868228673,-2.9451338512590155,3.7759266377013004e-7,125.0,1.1926330558889362e-7,4.3358510724205236e-7
61200.0,13.575628344075792,195.2847205516475,-3.429423253866844,3.770475202800296e-7,125.0,1.200404440838557e-7,4.336095721170597e-7
61800.0,-5.154777166336814,271.6377676866446,-15.087968445615843,3.764857899409719e-7,125.0,1.20698794473464e-7,4.3362194748308895e-7
62400.0,-2.3649978915104644,200.93768079548815,-13.587950551998802,3.759461596839541e-7,125.0,1.21000731558221e-7,4.3358991058245733e-7
63000.0,12.681292015727447,194.99339557158666,-4.205082996748388,3.7542079462075755e-7,125.0,1.2168046244441873e-7,4.3358687467111e-7
63600.0,12.284694768241716,194.98432469666952,-4.439150780555792,3.7489421508396885e-7,125.0,1.2239950803636032e-7,4.3359113708885153e-7
64200.0,11.905060037604674,195.04272423590214,-4.66666410677135,3.7436418338369847e-7,125.0,1.2310727397355873e-7,4.3359839250028186e-7
64800.0,11.573630876183813,195.12276579066435,-4.86710564722307,3.738378610834226e-7,125.0,1.2380570022888475e-7,4.336077869931167e-7
65400.0,11.29948997884036,195.20164137968695,-5.03384647378698,3.733091179107675e-7,125.0,1.244937550265946e-7,4.3361877122965215e-7
66000.0,11.085145263338935,195.24871577084272,-5.16454562835861,3.7277978095780355e-7,125.0,1.251742181331382e-7,4.336308489902421e-7
66600.0,10.909019597638192,195.28105211262348,-5.271968952380121,3.7224000741465887e-7,125.0,1.2584867753734354e-7,4.336439672855054e-7
67200.0,10.766831135718833,195.29443309454695,-5.358332070638426,3.7170028134658104e-7,125.0,1.2651698986646543e-7,4.336580587781242e-7
67800.0,10.65356133139923,195.28178452374215,-5.4248701117467135,3.7116225100439696e-7,125.0,1.2717879382255864e-7,4.3367285312143924e-7
