t,signed,gross,form_b,int_prec,int_rho
10.0,1.2430105486152596,7.636848071194251,7.45285433367826e-9,2.4295470880669263e-12,1682.686486992762
20.0,-0.008617996531735256,6.525987475368789,8.751783298066584e-9,1.7982649074053858e-11,1682.6868588737607
30.0,-0.15277714149149468,6.402786086570838,-8.290271580335684e-9,9.339675820735741e-11,1682.687230754759
40.0,-0.18481772089545892,6.363292204906535,-8.405891094298568e-9,4.340672278647319e-10,1682.6876026357565
50.0,-0.1947989082132555,6.352960595821555,1.3079215932521038e-8,2.1441237875629253e-9,1682.6879745167544
60.0,-0.19791320357807235,6.3498050620064435,2.9230704967631027e-8,1.087146901889628e-8,1682.6883463977533
70.0,-0.1982989170847677,6.349039616325254,1.845683073042892e-8,5.3094508690375264e-8,1682.6887182787518
80.0,-0.19883292679538575,6.348501081847654,1.7704451238387264e-8,2.3673807901669656e-7,1682.6890901597517
90.0,-0.19913300102541476,6.34806444439971,1.3164026313461363e-8,9.435235835088608e-7,1682.6894620407604
100.0,-0.19946332063422756,6.347669836977407,4.5658453018404543e-8,3.1835414871240195e-6,1682.6898339217912
110.0,-0.19980616891083386,6.347250530484496,2.9943294066470116e-8,8.560828400358872e-6,1682.6902058028672
120.0,-0.20014415142218694,6.346838746601457,3.123750502709299e-8,1.3757237422706074e-5,1682.69057768394
130.0,-0.20048856774773466,6.3464205548539585,4.546382115222514e-8,-3.0142033329311347e-5,1682.6909495643029
140.0,-0.20083244899385608,6.345994380771776,-3.2941443350864574e-8,-0.00039858849331366044,1682.6913214399642
150.0,-0.20117758285734638,6.345564183521466,-3.7082691051182337e-7,-0.0021937787806967685,1682.6916932949628
160.0,-0.20152231036545365,6.345132214127579,-8.56990027386928e-7,-0.00962004698162161,1682.6920650684378
170.0,-0.2018646440108865,6.344704584673156,-8.565061762055848e-7,-0.0364530124640619,1682.6924365610132
180.0,-0.2022059905356085,6.344282723438132,-4.89970716444077e-7,-0.11679178476826096,1682.6928072792382
190.0,-0.20254479302797174,6.34386370607989,2.4543123799958266e-7,-0.31603807386059113,1682.6931762768895
200.0,-0.2028858888105549,6.343441101293022,1.2183004400867503e-6,-0.7387275647975912,1682.6935420419077
210.0,-0.2032277355749904,6.3430164283557025,2.134112946805544e-6,-1.525038974239637,1682.6939025471906
220.0,-0.20357102618023087,6.342589677451275,2.8266631488804705e-6,-2.834805706083447,1682.694255482114
230.0,-0.20391630823323215,6.342161267862679,3.123711394437123e-6,-4.823374115824603,1682.6945986017827
240.0,-0.20426366993492318,6.34173180508869,3.106372787442524e-6,-7.6171249974176485,1682.6949300809222
250.0,-0.20461291218917058,6.341301792151719,2.8095810193917714e-6,-11.295788399639642,1682.695248769333
260.0,-0.20496371220981408,6.340871576750781,2.38689699472161e-6,-15.885152340508718,1682.6955542969522
270.0,-0.20533466101498482,6.3404365404120835,-5.42730231245514e-6,-21.359814578620636,1682.6958470336147
280.0,-0.2056324181841349,6.339996788702731,1.5344677194661926e-5,-27.65309638486346,1682.6961279461732
290.0,-0.2059545812352726,6.33954639407595,2.693199257919332e-5,-34.670109051889405,1682.6963984077584
300.0,-0.20629584965096703,6.339110723641323,3.1378332096210215e-5,-42.30117904752697,1682.6966600052651
310.0,-0.20665060936750113,6.338675009714337,3.074909545830451e-5,-50.43310765027115,1682.6969143760382
320.0,-0.20701396166189107,6.338243828164854,2.686875177460024e-5,-58.95753836892704,1682.6971630869755
330.0,-0.20738196900230155,6.337816099974464,2.1252655642456375e-5,-67.7763095937099,1682.697407557242
340.0,-0.2077517995689837,6.337388555140239,1.4869601727696136e-5,-76.80421929710401,1682.6976490184038
350.0,-0.20812161519183567,6.33696007603357,8.466918188787531e-6,-85.96983382557902,1682.6978885028136
360.0,-0.20849029926849444,6.336535878624962,2.4158534870366566e-6,-95.21498007517945,1682.6981268510303
370.0,-0.2088572278917452,6.336111771070851,-3.073757397942245e-6,-104.4934638683622,1682.698364730392
380.0,-0.2092222066844177,6.335687515366745,-7.913147783256136e-6,-113.76942452208807,1682.6986026588463
390.0,-0.20958522562014964,6.335263317064947,-1.2160058759036474e-5,-123.01560609318794,1682.6988410299584
400.0,-0.20994643882488936,6.334839215223272,-1.582026743562892e-5,-132.2117181767808,1682.6990801366242
410.0,-0.21030599001044814,6.334415383259904,-1.8985383576364256e-5,-141.34297863975542,1682.6993201921462
420.0,-0.21066409212448997,6.333991807988014,-2.172745098505402e-5,-150.3988754251454,1682.69956134813
430.0,-0.21102093032004873,6.333568595940509,-2.4172883058781736e-5,-159.3721497659867,1682.699803709182
