t,signed,gross,form_b,int_prec,int_rho
10.0,1.9719184521179187,118592.66077421699,2.560872758294863e-8,1.1150849357402913e-12,1682.686486992762
20.0,4.9060134527318695,140085.96169860588,1.3165731616027188e-8,6.1751462079153e-12,1682.6868588737607
30.0,8.712306321131337,145458.54869144317,1.9664526007545646e-8,2.6267667632189483e-11,1682.6872307547583
40.0,12.6487279381858,146267.06835255667,3.509171619953122e-9,1.0268766822258855e-10,1682.6876026357563
50.0,16.60131320534225,146332.38494036926,1.8166474546887912e-8,4.0658948579111856e-10,1682.6879745167544
60.0,20.545159184534413,146205.95579761858,3.39282451022882e-8,1.9429217017203982e-9,1682.6883463977522
70.0,24.47276413158349,146043.5441052338,2.7139094527228735e-8,1.0102880148255003e-8,1682.688718278751
80.0,28.38054713700916,145872.81526043644,1.0045846465800423e-7,5.232713574823798e-8,1682.6890901597503
90.0,32.267497749019384,145700.0149897997,3.4932486414618324e-7,2.5374516184336966e-7,1682.6894620407545
100.0,36.13268519209012,145527.46915533123,1.0069138625112828e-6,1.1309670273841322e-6,1682.6898339217748
110.0,39.975577724104795,145354.3891754735,1.7570159798196983e-6,4.619419896512853e-6,1682.6902058028345
120.0,43.795786807102445,145180.89308611993,-3.260328412579838e-6,1.69706891830696e-5,1682.6905776839392
130.0,47.59297987984351,145006.67675982474,-4.1209469145542243e-5,4.623248975603869e-5,1682.6909495648115
140.0,51.36671185584967,144831.81240788885,-0.00022070698696552427,7.311974388920187e-5,1682.6913214436
150.0,55.11571063681038,144656.5206939765,-0.0009934861072906642,-9.54624720675738e-5,1682.6916933109674
160.0,58.83625073946769,144481.16639448196,-0.0037757480308755476,-0.001460932014673403,1682.692065131919
170.0,62.517977077181854,144306.18296755475,-0.012549615754323895,-0.008448074130467496,1682.6924367847794
180.0,66.1375729570976,144131.98497079138,-0.036296331432822626,-0.038708605002666235,1682.6928078841484
190.0,69.65625120425787,143958.97700343264,-0.08996059220999086,-0.13610994201963003,1682.6931775791488
200.0,73.02856972236893,143787.4062033614,-0.1910560364531193,-0.38423569160025234,1682.6935444074763
210.0,76.21657412969157,143617.43196633036,-0.3542245122721397,-0.9129906092476605,1682.6939062788886
220.0,79.20496796739155,143449.12785105678,-0.5853925473547861,-1.8888667040090557,1682.6942607008282
230.0,82.00877899447221,143282.4958538958,-0.8788166515905687,-3.4904107671394815,1682.6946051761122
240.0,84.67035131671318,143117.48150429977,-1.2182360591968973,-5.877307279098296,1682.6949376332432
250.0,87.24834616471122,142953.98617584317,-1.581103458477628,-9.163821912438348,1682.6952567489257
260.0,89.80428355040897,142791.87757302987,-1.9437644572526551,-13.404017676172264,1682.695562086508
270.0,92.39146088585943,142630.9995848147,-2.285724007077988,-18.59047898800667,1682.695854052327
280.0,95.04860012533558,142471.18258172565,-2.5920939482084577,-24.663677910727326,1682.6961337246123
290.0,97.79820578443488,142312.25355272213,-2.8542270925590856,-31.52710058131912,1682.696402625475
300.0,100.64828425328875,142154.04500718816,-3.069056945385455,-39.06351217497623,1682.6966624952795
310.0,103.59577579769581,141996.40200254152,-3.237777545647077,-47.14918822046977,1682.6969151060514
320.0,106.63036634317118,141839.18662443533,-3.3643765583292407,-55.6645832297127,1682.6971621285606
330.0,109.73786154055855,141682.28019924823,-3.454336368979966,-64.50118612426492,1682.697405052113
340.0,112.90276549688977,141525.5835933748,-3.5136412340598326,-73.56506940391793,1682.6976451477094
350.0,116.1100081123455,141519.82315504126,-3.5481078709262874,-82.77795025757526,1682.6978834624754
360.0,119.34596459138311,141529.9747503384,-3.5629939977088725,-92.07659991171332,1682.6981208339314
370.0,122.59895400078568,141540.10285256975,-3.5628155435597364,-101.41130549255735,1682.698357914917
380.0,125.85933025491619,141550.22326508895,-3.5513049928831606,-110.74390708686911,1682.698595202603
390.0,129.1193684386284,141560.34865968264,-3.53145500620667,-120.04575871055178,1682.6988330673541
400.0,132.37303731109597,141570.48889683792,-3.5056061133518597,-129.29582067371962,1682.6990717790468
410.0,135.61572891061655,141580.65148015495,-3.475550566199672,-138.47898809038134,1682.6993115297323
420.0,138.84398952893724,141590.84199674823,-3.4426360556517466,-147.5846920540921,1682.6995524523572
430.0,142.05527562109424,141601.0645106536,-3.407859572244888,-156.60576878076483,1682.6997946357499
440.0,145.247745040036,141611.32198732314,-3.37194793859544,-165.53757005028766,1682.70003813631
450.0,148.42008581401578,141621.61694610261,-3.335423637761778,-174.37727899916186,1682.7002829869452
460.0,151.57138000835295,141631.95109127086,-3.298657311459465,-183.1233937584378,1682.7005292037713
470.0,154.70099829238666,141642.3252123971,-3.261908223197679,-191.77534411666443,1682.7007767910593
480.0,157.80852000529035,141652.7397287467,-3.225355259361095,-200.33321103968757,1682.701025744848
490.0,160.8936734416277,141663.19479263356,-3.1891198671164602,-208.79752410671512,1682.7012760555313
500.0,163.9562920396952,141673.6903664109,-3.153282861190746,-217.16911694522523,1682.7015277097062
510.0,166.9962828423807,141684.22627912927,-3.1178965452818375,-225.4490251836419,1682.701780691467
520.0,170.01360368731872,141694.8022675801,-3.0829937850139686,-233.63841515201096,1682.702034983308
530.0,173.0082471724811,141705.4180056709,-3.0485937414578075,-241.73853454794482,1682.7022905667511
540.0,175.98022956196345,141716.07312530983,-3.0147065116307203,-249.75067861901684,1682.7025474227662
550.0,178.92958295991602,141726.76723082722,-2.981336025017299,-257.6761671934887,1682.7028055320616
560.0,181.85634999477313,141737.49990896406,-2.9484820585348643,-265.516329223206,1682.7030648752775
570.0,184.7605800919757,141748.2707352157,-2.916141655532556,-273.27249248202236,1682.7033254331157
580.0,187.6423271961994,141759.07927771515,-2.884310135790656,-280.94597677278847,1682.7035871864184
590.0,190.50164794201598,141769.9250986282,-2.8529815987894835,-288.5380895033668,1682.7038501162308
600.0,193.3386006771178,141780.80775263588,-2.8221495975431026,-296.0501228505213,1682.70411420383
610.0,196.15324475389377,141791.7267798589,-2.791807008175965,-303.48335198130525,1682.704379430749
620.0,198.94564008596757,141802.68168996944,-2.7619465635998495,-310.83903396647025,1682.7046457787897
630.0,201.71584669875148,141813.67186775457,-2.7325608369446854,-318.11840693066165,1682.7049132300315
640.0,204.463924307213,141824.6962170012,-2.7036424601792532,-325.32268993541743,1682.705181766833
650.0,207.1899322134529,141835.73382459252,-2.6751840624274337,-332.453083055042,1682.705451371829
660.0,209.8939292786268,141846.7614392254,-2.6471782499611436,-339.5107673576049,1682.7057220279328
670.0,212.57597449923597,141857.8088508451,-2.6196176916400873,-346.4969049224617,1682.7059937183342
680.0,215.2361263759349,141868.88611702618,-2.5924951060260355,-353.4126389087808,1682.7062664264984
690.0,217.8744433494063,141879.99452242683,-2.565803289757241,-360.2590937347882,1682.7065401361613
700.0,220.49098345499633,141891.13470362188,-2.539535105601317,-367.0373752833898,1682.7068148313308
710.0,223.0858043179761,141902.3063763774,-2.513683557468539,-373.7485711179753,1682.7070904962786
720.0,225.65896320371465,141913.50924698924,-2.488241670285788,-380.39375070952065,1682.7073671155413
730.0,228.21051694934053,141924.74296527085,-2.4632025826122117,-386.9739656635738,1682.7076446739125
740.0,230.74052198525249,141936.00717400538,-2.4385595585554256,-393.4902499494561,1682.7079231564433
750.0,233.24903432516874,141947.30152312046,-2.4143059281450405,-399.94362013573294,1682.7082025484367
760.0,235.73610961631687,141958.6256636571,-2.3904350795219216,-406.33507563573477,1682.708482835446
770.0,238.20180301176293,141969.9792527006,-2.3669405591390387,-412.66559896369097,1682.708764003267
780.0,240.6461692352299,141981.36195181063,-2.343816029975642,-418.93615599870276,1682.709046037939
790.0,243.06926261426182,141992.7734274742,-2.3210552265081787,-425.14769625225347,1682.709328925737
800.0,245.47113702563627,142004.21335093369,-2.298651969704224,-431.301153135126,1682.7096126531708
810.0,247.85184594247198,142015.6813980978,-2.2766001706841053,-437.3974442208425,1682.7098972069796
820.0,250.2114423918568,142027.177249474,-2.254893943461866,-443.43747150424207,1682.7101825741265
830.0,252.54997900757925,142038.70059000386,-2.233527350505028,-449.422121654977,1682.710468741799
840.0,254.86750804483393,142050.251108858,-2.2124946891599393,-455.35226626640184,1682.7107556974029
850.0,257.16408134560857,142061.8284991337,-2.191790215902074,-461.2287621005613,1682.7110434285569
860.0,259.4397503008023,142073.43245762846,-2.171408380208959,-467.0524513299442,1682.7113319230946
870.0,261.69456591825474,142085.0626769815,-2.1513437039920973,-472.82416177649895,1682.7116211690538
880.0,263.9285788027231,142096.7188629591,-2.1315907971766137,-478.54470714821963,1682.7119111546801
890.0,266.14183922489485,142108.40064146204,-2.11214427156483,-484.2148872734564,1682.712201868419
900.0,268.3343970624557,142120.10728679635,-2.0929989547803416,-489.8354883330142,1682.7124932989116
910.0,270.50630182460793,142131.838189657,-2.0741497935268853,-495.4072830900315,1682.7127854349976
920.0,272.6576026259522,142143.59303233793,-2.055591595315491,-500.93103111761025,1682.713078265704
930.0,274.7883482240879,142155.3714746043,-2.0373195472457155,-506.407479024146,1682.7133717802485
940.0,276.8985869908009,142167.173129343,-2.019328619542648,-511.83736067629826,1682.7136659680307
950.0,278.9883669708504,142178.99750590065,-2.0016141485648404,-517.2213974195299,1682.7139608186337
960.0,281.0577358118295,142190.84385668676,-1.9841714087342552,-522.5602982961404,1682.7142563218179
970.0,283.10674077158774,142202.7106535302,-1.96699572205398,-527.8547602607416,1682.714552467519
980.0,285.13542867038734,142214.59031181296,-1.9500825809809612,-533.1054683934144,1682.7148492458439
990.0,287.1438443409752,142226.36721972708,-1.9334275383735076,-538.31309611685,1682.7151466470696
1000.0,289.13203374265674,142238.0955415565,-1.917026197865198,-543.4783054318283,1682.715444661638
1010.0,291.1000417916282,142249.8242539852,-1.9008742409896513,-548.601747030757,1682.7157432801553
1020.0,293.04791391223944,142261.5650999378,-1.8849674266966758,-553.6840605164903,1682.7160424933882
1030.0,294.9756952418897,142273.32284145066,-1.869301610353432,-558.7258746363964,1682.7163422922583
1040.0,296.8834307101581,142285.09859049035,-1.853872733147,-563.727807478592,1682.7166426678448
1050.0,298.77116494257496,142296.89258050616,-1.8386767928859626,-568.6904666593063,1682.7169436113752
1060.0,300.6389422347061,142308.70476588688,-1.8237098154859268,-573.6144494897779,1682.717245114229
1070.0,302.4868066680816,142320.53497696944,-1.808967890934582,-578.5003431277192,1682.7175471679307
1080.0,304.3148019873347,142332.38303546296,-1.7944472154631512,-583.3487247254794,1682.7178497641523
