t,signed,gross,max_abs_u3,int_rhoe
0.0,1.7570687205997393e6,1.2629971883994274e7,0.0,-9.63119002647646e22
400.0,-1.770073186357579e17,2.501249995682247e20,7029.192209045352,-9.632229800124606e22
800.0,-2.954158249972833e17,2.5325477297913276e20,926.7922917000687,-9.633339600916581e22
1200.0,-2.867174947721434e17,2.5352592800051406e20,212.5428585857585,-9.634446928295647e22
1600.0,-2.8500250239704742e17,2.5352996835038695e20,47.45640685361114,-9.635549536310057e22
2000.0,-2.8425590769600182e17,2.5352843947745847e20,18.1349177778593,-9.636649490275976e22
2400.0,-2.8282423474515645e17,2.5352634445168456e20,14.534485927166315,-9.6377458003287e22
2800.0,-2.8145659222090368e17,2.5352429198147538e20,13.13172276746991,-9.638838138640002e22
3200.0,-2.8010557744623043e17,2.535222500116619e20,12.72033114533042,-9.639926389028555e22
3600.0,-2.7875362128746963e17,2.5352021126437208e20,12.28172276250848,-9.641010457056988e22
4000.0,-2.7740019355224403e17,2.5351817998457962e20,11.928153072982695,-9.642102123797143e22
4400.0,-2.760941791227564e17,2.5351620211977604e20,11.397629632436974,-9.643189735154799e22
4800.0,-2.747893537648071e17,2.5351422560719058e20,10.753652694074844,-9.64427330252242e22
5200.0,-2.7348940010967853e17,2.535122545903397e20,10.432024784608075,-9.645352868733213e22
5600.0,-2.721951738548628e17,2.5351029093952137e20,10.558542259962584,-9.646428557972401e22
6000.0,-2.7090409225212794e17,2.5350833238223012e20,14.264914416969699,-9.647500426271802e22
6400.0,-2.696171795602328e17,2.5350638269416086e20,17.330934543364837,-9.64856850214911e22
6800.0,-2.683372897654453e17,2.5350444299209415e20,18.937212797995414,-9.649632760845533e22
7200.0,-2.6706094648248912e17,2.535025110585648e20,18.687933947630828,-9.650693205205996e22
