time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction
0.0,4.806384935485137e23,4.806384935485137e23,0.0,0.0,1.2629971883994274e7,2.6277487245659936e-17,4.806384935485137e23,0.0
3600.0,4.8054055782346215e23,4.805414249824855e23,-8.671590233743032e17,-1.804549083852511e-6,1.300044472495415e21,0.002705379288657289,4.8054055782346215e23,0.0
7200.0,4.804441507707032e23,4.804459617394042e23,-1.8109687010259108e18,-3.769363615148296e-6,1.376383974252652e21,0.0028648157585948945,4.804441507707032e23,0.0
10800.0,4.803544194938049e23,4.803573012833587e23,-2.881789553805361e18,-5.9992985113828586e-6,1.452834542358114e21,0.0030245054139172983,4.803544194938049e23,0.0
14400.0,4.802704674242353e23,4.8027449703618526e23,-4.029611949959414e18,-8.390297183107771e-6,1.527526095882475e21,0.0031805538743092687,4.802704674242353e23,0.0
18000.0,4.801913657797155e23,4.801965877607994e23,-5.221981083872002e18,-1.0874791710160715e-5,1.6000951990443327e21,0.0033322031862154833,4.801913657797155e23,0.0
21600.0,4.801163476740358e23,4.801227892318734e23,-6.441557837561725e18,-1.341666008409919e-5,1.6722519890178123e21,0.003483014059236221,4.801163476740358e23,0.0
25200.0,4.800449214813583e23,4.8005259988891286e23,-7.678407554589786e18,-1.5995185473257766e-5,1.7456055083163483e21,0.003636337830488091,4.800449214813583e23,0.0
28800.0,4.799766018722485e23,4.7998553687393705e23,-8.935001688524194e18,-1.8615494283828342e-5,1.8184204154917224e21,0.0037885605431568865,4.799766018722485e23,0.0
32400.0,4.799106077136478e23,4.799208173950618e23,-1.0209681414010438e19,-2.127413157765067e-5,1.8904378845446233e21,0.003939145862082312,4.799106077136478e23,0.0
36000.0,4.7984607913613363e23,4.798575774009643e23,-1.1498264830645633e19,-2.396240238400186e-5,1.9598102492601285e21,0.004084247708741046,4.7984607913613363e23,0.0
39600.0,4.7978245036115176e23,4.79795243777894e23,-1.279341674222741e19,-2.666503689869708e-5,2.027406917338008e21,0.004225679609189324,4.7978245036115176e23,0.0
43200.0,4.7971955388942706e23,4.797336383723053e23,-1.408448287826405e19,-2.9359826515452926e-5,2.09511238429498e21,0.0043673691583101335,4.7971955388942706e23,0.0
46800.0,4.796575477426458e23,4.796729097857416e23,-1.5362043095776494e19,-3.2027105938545144e-5,2.1625401699310313e21,0.004508508580983104,4.796575477426458e23,0.0
50400.0,4.795966776354675e23,4.796132961143975e23,-1.6618478930034164e19,-3.4650946732924534e-5,2.2301541963864814e21,0.004650061813150383,4.795966776354675e23,0.0
54000.0,4.79537110934548e23,4.795549620334985e23,-1.785109895051844e19,-3.722568815524881e-5,2.2975123397657782e21,0.00479110435329658,4.79537110934548e23,0.0
57600.0,4.794788898113259e23,4.794979458179897e23,-1.90560066637786e19,-3.9743160895523686e-5,2.3627259515137263e21,0.00492769546630813,4.794788898113259e23,0.0
61200.0,4.7942197453121216e23,4.7944220897969155e23,-2.023444847939027e19,-4.220592620765015e-5,2.4245201822987646e21,0.005057173661406543,4.7942197453121216e23,0.0
64800.0,4.7936628249565706e23,4.793876759616899e23,-2.1393466032809574e19,-4.4628641633766545e-5,2.482730354732252e21,0.005179192707936743,4.7936628249565706e23,0.0
68400.0,4.79311726384414e23,4.7933427016980967e23,-2.2543785395644006e19,-4.7033661299501794e-5,2.5389940865033495e21,0.005297166638620988,4.79311726384414e23,0.0
72000.0,4.792582176387622e23,4.792819063197874e23,-2.3688681025190232e19,-4.942780353751894e-5,2.5953548075262647e21,0.005415357967805357,4.792582176387622e23,0.0
75600.0,4.7920565091831084e23,4.792304806700035e23,-2.482975169269098e19,-5.1814396689832976e-5,2.652680636589579e21,0.005535578788576882,4.7920565091831084e23,0.0
79200.0,4.791538198668201e23,4.7917978640724045e23,-2.5966540420336845e19,-5.4192493816608195e-5,2.71044047349187e21,0.005656723083717107,4.791538198668201e23,0.0
82800.0,4.791024997350637e23,4.7912959830250974e23,-2.709856744605378e19,-5.656110636249837e-5,2.767062826369888e21,0.005775513231302344,4.791024997350637e23,0.0
86400.0,4.790514003891273e23,4.7907962715524596e23,-2.8226766118647235e19,-5.892220771240621e-5,2.8212804417849645e21,0.005889306323900263,4.790514003891273e23,0.0
