exclusive_s,inferences,specializations,method
2.243794,1282,1282,UnrolledUtilities.output_type_for_promotion /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:34
2.117454,391,391,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:21
1.472061,835,831,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:3
1.410752,39,39,ClimaCore.MatrixFields.multiply_matrix_at_index /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/matrix_multiplication.jl:462
1.172950,110,45,Base.Broadcast.materialize! broadcast.jl:879
0.990959,70,35,ClimaCore.DataLayouts.#foreach_slice#57 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:238
0.986734,449,441,UnrolledUtilities.first_reduction_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:60
0.907474,266,108,Base.Dict dict.jl:90
0.799627,129,76,ClimaCore.Operators.getidx /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:2918
0.762570,2,2,ClimaAtmos.TurbulenceConvectionParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:486
0.686039,1276,1269,UnrolledUtilities.unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:157
0.683251,70,35,ClimaCore.DataLayouts.#foreach_slice#53 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:201
0.683176,74,31,ClimaCore.Fields.#copyto!#10 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
0.624307,124,74,Base.ntuple ntuple.jl:17
0.584638,101,45,Base.Broadcast.materialize! broadcast.jl:882
0.536057,213,207,Base.ntuple ntuple.jl:69
0.523478,34,34,ClimaCore.DataLayouts.foreach_point /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:171
0.521936,48,29,ClimaCore.DataLayouts.setindex! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:218
0.469436,209,133,CommonDataModel.#_defVar#8 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CommonDataModel/xg2OM/src/variable.jl:126
0.469339,2050,2044,UnrolledUtilities.unrolled_map_into_tuple /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:153
0.459553,74,31,ClimaCore.Fields.copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
0.447632,255,104,Base.Broadcast._getindex broadcast.jl:674
0.435419,58,58,ClimaCore.MatrixFields.union_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:370
0.428585,406,343,Base.ntuple ntuple.jl:48
0.394176,23063,4180,Base.getproperty Base.jl:49
