inclusive_s,method,signature
96.464967,ClimaAtmos.args_integrator /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/simulation/integrator.jl:183,Tuple{typeof(Core.kwcall); @NamedTuple{verbose::Bool}; typeof(ClimaAtmos.args_integrator); ClimaCore.Fields.FieldVector{Float64; @NamedTuple{c::ClimaCore.Fields.Field{ClimaCore.DataLayouts.VIJFH{@NamedTuple{ρ::Float64; uₕ::ClimaCore.Geometry.Covariant12Vector{Float64}; ρe_tot::Float64; ρq_tot::Float64; ρe_src_strat::Float64; ρe_src_tropo::Float64; ρe_src_rad::Float64; ρe_src_sfc::Float64; ρe_src_s
23.669877,ClimaAtmos.get_simulation /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/config/type_getters.jl:706,Tuple{typeof(ClimaAtmos.get_simulation); ClimaAtmos.AtmosConfig{Float64; ClimaParams.ParamDict{Float64}; Dict{String; Any}; ClimaComms.SingletonCommsContext{ClimaComms.CPUSingleThreaded}; Tuple{String; String}}}
18.587518,ClimaAtmos.build_cache /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/cache.jl:179,Tuple{typeof(Core.kwcall); @NamedTuple{parent_budget::Nothing}; typeof(ClimaAtmos.build_cache); ClimaCore.Fields.FieldVector{Float64; @NamedTuple{c::ClimaCore.Fields.Field{ClimaCore.DataLayouts.VIJFH{@NamedTuple{ρ::Float64; uₕ::ClimaCore.Geometry.Covariant12Vector{Float64}; ρe_tot::Float64; ρq_tot::Float64; ρe_src_strat::Float64; ρe_src_tropo::Float64; ρe_src_rad::Float64; ρe_src_sfc::Float64; ρe_
2.133480,ClimaAtmos.AtmosSimulation /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/simulation/AtmosSimulations.jl:337,Tuple{typeof(Core.kwcall); @NamedTuple{model::ClimaAtmos.AtmosModel{ClimaAtmos.AtmosWater{ClimaAtmos.EquilibriumMicrophysics0M; ClimaAtmos.QuadratureCloud; ClimaAtmos.Implicit; Nothing; ClimaAtmos.SGSQuadrature{3; StaticArraysCore.SVector{3; Float64}; StaticArraysCore.SVector{3; Float64}; ClimaAtmos.GaussianSGS; Float64}; ClimaAtmos.FixedTerminalVelocity; ClimaAtmos.FixedTerminalVelocity; ClimaAtm
1.851860,ClimaTimeSteppers.init /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/integrators.jl:201,Tuple{typeof(Core.kwcall); @NamedTuple{saveat::Vector{ClimaUtilities.TimeManager.ITime{Int64; Dates.Second; Dates.DateTime}}; callback::ClimaTimeSteppers.CallbackSet{Tuple{ClimaTimeSteppers.DiscreteCallback{ClimaAtmos.var"#660#662"{ClimaAtmos.CappedGeometricSeriesSchedule}; ClimaAtmos.var"#661#663"{ClimaUtilities.OnlineLogging.WallTimeInfo}; Returns{Nothing}; Returns{Nothing}}; ClimaTimeSteppers.D
0.858520,ClimaTimeSteppers.IMEXAlgorithm /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaTimeSteppers/DdUag/src/solvers/imex_tableaus.jl:165,Tuple{Type{ClimaTimeSteppers.IMEXAlgorithm}; ClimaTimeSteppers.ARS343; ClimaTimeSteppers.NewtonsMethod{ClimaTimeSteppers.UpdateEvery{ClimaTimeSteppers.NewNewtonIteration}; Nothing; Nothing; ClimaTimeSteppers.Silent; Nothing}}
0.802562,ClimaAtmos.setup_diagnostics_and_writers /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/simulation/AtmosSimulations.jl:59,Tuple{typeof(Core.kwcall); @NamedTuple{verbose::Bool}; typeof(ClimaAtmos.setup_diagnostics_and_writers); ClimaAtmos.Diagnostics.DiagnosticsConfig{Vector{Any}}; ClimaAtmos.AtmosModel{ClimaAtmos.AtmosWater{ClimaAtmos.EquilibriumMicrophysics0M; ClimaAtmos.QuadratureCloud; ClimaAtmos.Implicit; Nothing; ClimaAtmos.SGSQuadrature{3; StaticArraysCore.SVector{3; Float64}; StaticArraysCore.SVector{3; Float6
0.745746,ClimaAtmos.energy_source_tracer_tuple /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/config/tracer_config.jl:504,Tuple{typeof(ClimaAtmos.energy_source_tracer_tuple); Vector{Dict{Any; Any}}; Type{Float64}}
0.515570,Dates.DateTime /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/Dates/src/io.jl:568,Tuple{Type{Dates.DateTime}; String; Dates.DateFormat{:yyyymmdd; Tuple{Dates.DatePart{'y'}; Dates.DatePart{'m'}; Dates.DatePart{'d'}}}}
0.326927,ClimaCore.Operators.column_integral_indefinite! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/integrals.jl:52,Tuple{typeof(ClimaCore.Operators.column_integral_indefinite!); ClimaAtmos.Setups.var"#dp_dz#7"{Thermodynamics.Parameters.ThermodynamicsParameters{Float64}; Nothing; AtmosphericProfilesLibrary.ZProfile{AtmosphericProfilesLibrary.var"#95#96"{Float64}}; AtmosphericProfilesLibrary.ZProfile{AtmosphericProfilesLibrary.var"#93#94"{Float64}}; Float64}; ClimaCore.Fields.Field{ClimaCore.DataLayouts.VIJFH{Fl
