exclusive_s,inferences,specializations,method
4.548491,727,727,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:21
3.519118,1596,1596,UnrolledUtilities.output_type_for_promotion /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:34
2.535409,1099,1098,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:3
1.970376,107,48,Base.Broadcast.materialize! broadcast.jl:882
1.419816,577,569,UnrolledUtilities.first_reduction_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:60
1.366204,401,395,Base.ntuple ntuple.jl:69
1.089336,1590,1583,UnrolledUtilities.unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:157
0.984686,84,37,ClimaCore.Fields.#copyto!#10 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
0.968732,78,31,ClimaCore.DataLayouts.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:164
0.941685,2624,2618,UnrolledUtilities.unrolled_map_into_tuple /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:153
0.930055,266,108,Base.Dict dict.jl:90
0.918011,39,39,ClimaCore.MatrixFields.multiply_matrix_at_index /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/matrix_multiplication.jl:462
0.802614,1,1,Base._replace_finish strings/util.jl:817
0.774335,2,2,ClimaAtmos.TurbulenceConvectionParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:486
0.774240,84,37,ClimaCore.Fields.copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
0.753416,1272,1263,UnrolledUtilities.unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:163
0.710805,129,76,ClimaCore.Operators.getidx /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:2918
0.710159,84,42,ClimaCore.DataLayouts.#foreach_slice#53 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:201
0.653192,116,48,Base.Broadcast.materialize! broadcast.jl:879
0.642042,485,415,Base.ntuple ntuple.jl:48
0.551874,24796,4710,Base.getproperty Base.jl:49
0.545791,42,42,ClimaCore.DataLayouts.foreach_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:201
0.473536,209,133,CommonDataModel.#_defVar#8 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/CommonDataModel/xg2OM/src/variable.jl:126
0.463233,129,75,Base.ntuple ntuple.jl:17
0.448929,593,580,UnrolledUtilities.unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:174
0.418214,289,226,Base.collect array.jl:784
0.412629,41,41,ClimaCore.DataLayouts.#foreach_point#49 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:171
0.396565,33,33,NCDatasets.#NCDataset#12 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NCDatasets/xJGTj/src/dataset.jl:249
0.387285,4,4,ClimaAtmos.set_implicit_precomputed_quantities! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.374286,43,43,ClimaCore.DataLayouts.scoped_slice_loop /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:264
0.370241,84,42,ClimaCore.DataLayouts.#foreach_slice#57 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:238
0.367967,41,41,ClimaCore.DataLayouts.foreach_point /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:171
0.362402,13130,1504,Base.indexed_iterate tuple.jl:159
0.357608,15611,4330,Base.getindex tuple.jl:31
0.357249,44,43,UnrolledUtilities.unrolled_product /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:443
0.352319,320,311,Base.print_to_string strings/io.jl:137
0.341789,280,113,Base.Broadcast._getindex broadcast.jl:674
0.322297,141,79,ClimaParams.get_parameter_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaParams/9BD0g/src/ClimaParams.jl:257
0.316900,751,748,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:10
0.313866,1011,785,UnrolledUtilities.unrolled_append_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:112
0.310838,42,42,ClimaCore.DataLayouts.#foreach_pool_slice#54 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:221
0.310460,878,662,Base.iterate generator.jl:43
0.308844,59,59,ClimaCore.MatrixFields.union_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:370
0.308836,98,96,Base.ntuple ntuple.jl:50
0.303448,1056,980,UnrolledUtilities.unrolled_flatmap_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:395
0.301497,38,38,ClimaCore.DataLayouts.#copyto!#88 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:487
0.295026,38,38,ClimaCore.DataLayouts.copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:487
0.276670,213,204,Base.ntuple ntuple.jl:49
0.260055,1869,1085,Base.Broadcast.Broadcasted broadcast.jl:176
0.257322,24,12,ClimaCore.Operators.apply_stencil! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:3224
0.255230,376,258,Base.map tuple.jl:358
0.249871,7453,2639,UnrolledUtilities.generic_getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:8
0.247763,86,86,ClimaCore.MatrixFields.is_valid_name /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:151
0.241633,4,4,Dates.parse /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/Dates/src/parse.jl:281
0.236606,785,785,UnrolledUtilities.unrolled_append /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:120
0.233985,3,2,CreateParametersExt.ThermodynamicsParameters /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/Thermodynamics/keokW/ext/CreateParametersExt.jl:9
0.232731,42,42,ClimaCore.DataLayouts.foreach_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:238
0.226977,42,16,ClimaCore.DataLayouts.get_struct /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:263
0.224337,42,42,ClimaCore.DataLayouts.foreach_pool_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:221
0.219157,33,27,UnrolledUtilities._unrolled_foreach /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:36
0.214234,31,17,ClimaCore.DataLayouts.set_struct! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:207
0.213851,109,47,ClimaCore.DataLayouts.view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:183
0.206413,3599,834,Base.iterate tuple.jl:69
0.202289,79,42,ClimaCore.DataLayouts.slice_every_arg /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:286
0.198842,378,273,Base.collect_to! array.jl:844
0.195034,2610,2610,Base._eq tuple.jl:550
0.189345,209,118,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24
0.185755,453,140,Base.Broadcast._broadcast_getindex broadcast.jl:649
0.182320,50,40,Base.grow_to! abstractdict.jl:589
0.181929,18,4,StaticArrays.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/indexing.jl:259
0.179685,21,21,ClimaCore.MatrixFields.expand_child_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:422
0.176911,380,380,UnrolledUtilities._unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:66
0.176831,474,440,Base.merge namedtuple.jl:334
0.176026,814,814,UnrolledUtilities.promoted_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:133
0.171076,22,14,ClimaCore.Fields.copy /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:91
0.168783,2022,1587,UnrolledUtilities.unrolled_map_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:155
0.167415,2,2,ClimaAtmos.NonOrographicGravityWaveParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:617
0.165896,3800,1021,Core.NamedTuple boot.jl:727
0.163501,385,235,Base.Broadcast.broadcasted broadcast.jl:1327
0.163105,1032,325,Base.setproperty! Base.jl:50
0.159700,1366,1366,ClimaCore.MatrixFields.is_child_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:324
0.159405,3756,2075,Base.Generator generator.jl:33
0.159041,1312,781,UnrolledUtilities.#25 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:115
0.158905,208,115,Core.Array boot.jl:577
0.155910,127,127,ClimaCore.DataLayouts.vijh_params /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/broadcast.jl:152
0.152756,1479,880,Base.tail essentials.jl:514
0.152429,25,15,LLVM.Interop.unsafe_load /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/LLVM/N6lMx/src/interop/pointer.jl:87
0.149083,1609,1604,Base.Iterators.map iterators.jl:62
0.148406,174,155,Base.afoldl operators.jl:549
0.146386,53,53,NCDatasets.#defVar#30 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NCDatasets/xJGTj/src/cfvariable.jl:99
0.145450,86,83,Base.ht_keyindex2_shorthash! dict.jl:265
0.142757,217,97,Base.Broadcast.getindex broadcast.jl:607
0.141044,308,263,Base.collect_to_with_first! array.jl:824
0.140663,568,568,UnrolledUtilities.unrolled_flatten /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:426
0.139236,1,1,ClimaAtmos.trace_gas_parameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:425
0.139147,3112,2616,Base.!= operators.jl:277
0.136746,8,8,StaticArrays._broadcast /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/broadcast.jl:111
0.135903,603,559,ClimaCore.Utilities.Unrolled.unrolled_tuple_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/Utilities.jl:137
0.133536,18,15,ClimaCore.Geometry.* /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:549
0.130890,12,12,ClimaCore.Operators._serial_copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:3144
0.129963,984,983,UnrolledUtilities.#unrolled_mapreduce#36 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:179
0.126154,168,33,Base._join_preserve_annotations strings/io.jl:356
0.125873,887,886,Base.argtail essentials.jl:496
0.125128,321,319,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:5
0.123398,47,47,Base.rehash! dict.jl:137
0.123186,74,74,UnrolledUtilities.unrolled_split /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:413
0.123042,54,30,ClimaCore.Operators.instantiate /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:378
0.121725,651,42,Base.invokelatest essentials.jl:1052
0.120404,143,136,Base._setindex! dict.jl:322
0.116489,444,361,Base.string strings/io.jl:189
0.113352,1774,1718,Base.Fix1 operators.jl:1127
0.111590,177,177,Base._iterator_upper_bound array.jl:743
0.111321,2,1,Dates.tryparsenext_internal /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/Dates/src/parse.jl:125
0.109597,57,57,ClimaCore.MatrixFields.map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:80
0.107373,75,40,Base.setindex tuple.jl:55
