exclusive_s,inferences,specializations,method
327.865024,10999,10999,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:21
323.592446,8849,8841,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:10
235.134502,412854,412854,Base.== tuple.jl:547
223.127858,412834,412834,Base.isequal tuple.jl:533
176.840889,413529,413529,ClimaCore.MatrixFields.#46 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:54
170.791420,845047,845047,UnrolledUtilities.#60 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:405
166.538100,414203,413670,Base.!= operators.jl:277
117.795820,17703,17691,UnrolledUtilities.unrolled_map_into_tuple /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:153
92.727008,413826,413802,Base.Fix2 operators.jl:1144
76.669897,4872,4821,UnrolledUtilities.unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:174
57.482367,12882,12872,UnrolledUtilities.unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:163
41.566666,8769,8769,UnrolledUtilities.output_type_for_promotion /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:34
37.346126,8768,8755,UnrolledUtilities.unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:157
33.690559,7949,7947,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:3
25.946219,4811,4803,UnrolledUtilities.first_reduction_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:60
25.925932,4605,4597,Base.ntuple ntuple.jl:69
23.945685,4374,4373,UnrolledUtilities._unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:66
16.173287,413579,413579,Base._eq tuple.jl:550
14.647700,413631,413631,Base._isequal tuple.jl:535
13.795980,7048,7048,UnrolledUtilities.unrolled_append /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:120
12.654719,421265,421265,ClimaCore.MatrixFields.is_overlapping_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:330
12.485618,7099,7099,UnrolledUtilities.promoted_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:133
12.399331,8072,7048,UnrolledUtilities.unrolled_append_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:112
10.022623,387,125,Base.Broadcast.materialize! broadcast.jl:882
8.917739,2305,2166,Base.ntuple ntuple.jl:48
8.089491,330,101,ClimaCore.Fields.#copyto!#10 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
7.296860,64,63,UnrolledUtilities.unrolled_product /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:443
6.599554,86293,86167,Base.Fix1 operators.jl:1127
6.035498,396,125,Base.Broadcast.materialize! broadcast.jl:879
5.376425,528,206,ClimaCore.DataLayouts.view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:183
5.350601,330,101,ClimaCore.Fields.copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:170
4.777462,38690,21956,Base.getindex tuple.jl:31
4.695524,9724,8759,UnrolledUtilities.unrolled_map_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:155
4.426415,81577,81577,ClimaCore.MatrixFields.#83 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:336
4.407458,224,112,ClimaCore.DataLayouts.#foreach_slice#53 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:201
3.942586,224,112,ClimaCore.DataLayouts.#foreach_slice#57 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:238
3.776618,111,111,ClimaCore.DataLayouts.foreach_point /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:171
3.758469,20,12,ClimaAtmos.#189 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/microphysics_cache.jl:218
3.314015,113,113,ClimaCore.DataLayouts.scoped_slice_loop /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:264
3.146409,4813,4813,UnrolledUtilities.unrolled_flatten /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:426
2.996450,40594,40594,ClimaCore.MatrixFields.#95 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:376
2.990743,9034,8822,UnrolledUtilities.unrolled_flatmap_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:395
2.759284,66,66,ClimaCore.MatrixFields.multiply_matrix_at_index /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/matrix_multiplication.jl:462
2.712837,60076,19091,UnrolledUtilities.generic_getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:8
2.564762,794,794,ClimaCore.MatrixFields.is_valid_name /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl:151
