exclusive_s,file
261.174896,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl
178.340037,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl
72.426020,tuple.jl
45.045581,operators.jl
35.514784,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl
34.733483,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl
26.127511,broadcast.jl
25.005097,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl
23.203190,ntuple.jl
17.926578,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl
7.436792,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl
4.613003,/dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/microphysics_cache.jl
3.604661,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl
3.091077,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name.jl
2.879412,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl
2.147417,dict.jl
2.034020,Base.jl
1.867031,/dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl
1.815511,array.jl
1.793510,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/matrix_multiplication.jl
1.711983,/dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/prognostic_equations/implicit/manual_sparse_jacobian.jl
1.450731,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/broadcast.jl
1.408133,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl
1.342680,iterators.jl
1.282596,subarray.jl
1.180763,/dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl
