run,family,geometry,dt_seconds,float_type,remapped_maximum,tracer_upwinding,microphysics_model,final_gross_relative,final_operator_residual,final_max_abs_q_tag_res,final_max_abs_ledger_sum,final_overclaimed_relative,final_orphaned_relative,commit
a1_dt10,water,column,10.0,Float64,false,vanleer_limiter,0M,2.6597547943707836e-5,2.8444387242934572e-6,2.8444387242934572e-6,0.0,NaN,NaN,3659746d1005b84d057c8ade3c59138b4c91fa6d
a1_dt10_notags,none,column,10.0,Float64,false,vanleer_limiter,0M,NaN,NaN,NaN,NaN,NaN,NaN,c7c00de9e395eaf1db9c044b19f6c45b3e47d9ea
a1_dt2p5,water,column,2.5,Float64,false,vanleer_limiter,0M,2.7968683916382806e-5,2.888078290205329e-6,2.888078290205329e-6,0.0,NaN,NaN,3659746d1005b84d057c8ade3c59138b4c91fa6d
a1_dt5,water,column,5.0,Float64,false,vanleer_limiter,0M,2.4127665958183826e-5,2.54724831310364e-6,2.54724831310364e-6,0.0,NaN,NaN,3659746d1005b84d057c8ade3c59138b4c91fa6d
a2_first_order_dt10,water,column,10.0,Float64,false,first_order,0M,8.135940128685781e-6,7.755930547977621e-7,7.755930547977621e-7,0.0,NaN,NaN,66d6dedcdbfab7447bbe96a3544c6d4f7e507763
a2_first_order_dt2p5,water,column,2.5,Float64,false,first_order,0M,5.830529248365779e-6,5.447428331318447e-7,5.447428331318447e-7,0.0,NaN,NaN,66d6dedcdbfab7447bbe96a3544c6d4f7e507763
a2_first_order_dt5,water,column,5.0,Float64,false,first_order,0M,7.3086103771325095e-6,7.090255880136951e-7,7.090255880136951e-7,0.0,NaN,NaN,66d6dedcdbfab7447bbe96a3544c6d4f7e507763
a2_none_dt10,water,column,10.0,Float64,false,none,0M,2.25149513380277e-6,2.0539299833773886e-7,2.0539299833773886e-7,0.0,NaN,NaN,66d6dedcdbfab7447bbe96a3544c6d4f7e507763
a2_none_dt2p5,water,column,2.5,Float64,false,none,0M,1.6715453383722203e-6,1.0795737170667194e-7,1.0795737170667194e-7,0.0,NaN,NaN,66d6dedcdbfab7447bbe96a3544c6d4f7e507763
a2_none_dt5,water,column,5.0,Float64,false,none,0M,1.7574137753307126e-6,1.0487161321829132e-7,1.0487161321829132e-7,0.0,NaN,NaN,66d6dedcdbfab7447bbe96a3544c6d4f7e507763
a3_1m,water,column,10.0,Float64,false,vanleer_limiter,1M,5.5046936763326564e-6,9.844689503599882e-8,9.844689503599882e-8,0.0,NaN,NaN,49b2ec9737f227de7d7fb03ed33c061157e9e773
a4_float32,water,column,10.0,Float32,false,vanleer_limiter,0M,2.745324e-5,2.85309715764015e-6,2.85309715764015e-6,0.0,NaN,NaN,49b2ec9737f227de7d7fb03ed33c061157e9e773
a5_sphere_limiter,water,sphere,300.0,Float64,true,vanleer_limiter,0M,0.0002786321738150626,0.0006245937484300658,1.9245532357558924e-5,0.0006245965466792897,0.00014306823758503573,2.5074748460401116e-9,8ed98b63f27fae0bb9960ba2017ce53623a10f49
