run,family,geometry,dt_seconds,float_type,remapped_maximum,final_gross_relative,final_nonpositive_fraction,max_nonpositive_fraction,final_nonpositive_mass_fraction,final_max_abs_e_src_res,most_negative_tag_value,most_negative_tag,most_negative_source_tag_value,most_negative_source_tag,recorded_processes,final_max_e_prc,commit
c0_column,energy_source,column,10.0,Float64,false,0.13456131085846748,0.9666666666666667,1.0,NaN,26888.66561703798,-44972.50629142498,strat,-2.4689182620290938e-9,rad,,NaN,49b2ec9737f227de7d7fb03ed33c061157e9e773
c0_column_notags,none,column,10.0,Float64,false,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,c7c00de9e395eaf1db9c044b19f6c45b3e47d9ea
c0_sphere,energy_source,sphere,400.0,Float64,true,0.01542423698718311,0.4327600052941768,0.4327600052941768,NaN,11042.177725350648,-100416.38783695316,extratropics,-209.19296717092027,sfc,,NaN,49b2ec9737f227de7d7fb03ed33c061157e9e773
c0_sphere_audit,energy_source,sphere,400.0,Float64,true,0.01542423698718311,0.4327600052941768,0.4327600052941768,0.7838645478174882,NaN,NaN,,NaN,,,NaN,bcbe190f844c59374a16290e1bb05af6bf5bca5a
c10_sphere_enthalpy_repair,energy_source,sphere,400.0,Float64,true,0.0005293223029746868,0.0,0.0,0.0,1182.8566757035999,-1.9350334919086876e-26,sfc,-1.9350334919086876e-26,sfc,radiation surface_flux microphysics,3359.148236054472,7dc0a302ad83799c2edd978b7dd57299c279a266
c1_sphere_shift,energy_source,sphere,400.0,Float64,true,0.003798184214720837,0.0,0.0,0.0,5132.324147161713,-11575.246034321493,tropics,-219.92528521048462,sfc,,NaN,72a1bc6aa1fe161387062d3193ae2085fba0330a
c3_column_record,energy_source,column,10.0,Float64,false,0.13456131085846748,0.9666666666666667,1.0,NaN,26888.66561703798,-44972.50629142498,strat,-2.4689182620290938e-9,rad,radiation,7587.324107300024,1a9a419e78225225f9fb0aff8aa54b16c1d8a7af
c4_sphere_tag_offset,energy_source,sphere,400.0,Float64,true,0.0038176911923481728,0.0,0.0,0.0,4720.822625085697,-11574.916765634316,tropics,-212.50787983020177,sfc,,NaN,29430612267fc3742bfe217bf65ab5f060a7d34d
c4_sphere_tag_offset_2x,energy_source,sphere,400.0,Float64,true,0.0017496601494186202,0.0,0.0,0.0,4852.646655958641,-17504.740443401206,tropics,-214.11045725802708,sfc,,NaN,29430612267fc3742bfe217bf65ab5f060a7d34d
c5_column_offset,energy_source,column,10.0,Float64,false,0.022123389867419595,0.0,0.0,0.0,16452.296832268432,-2.468918270665195e-9,rad,-2.468918270665195e-9,rad,radiation surface_flux,7587.324107300024,bca389bac1034d31070d2e7d4612dfbe68ab3008
c5_sphere_gray,energy_source,sphere,400.0,Float64,true,0.005883030522350899,0.0,0.0,0.0,5153.403941015582,-11663.610281195264,tropics,-208.03201783840393,sfc,radiation surface_flux,3359.148236054472,bca389bac1034d31070d2e7d4612dfbe68ab3008
c6_column_no_repair,energy_source,column,10.0,Float64,false,0.021307331342930662,0.0,0.0,0.0,15562.668768010277,-2.468918270749154e-9,rad,-2.468918270749154e-9,rad,radiation surface_flux subsidence microphysics,7587.324107300024,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec
c6_column_repair,energy_source,column,10.0,Float64,false,0.021307331342930662,0.0,0.0,0.0,15562.668768010277,0.0,rad,0.0,rad,radiation surface_flux subsidence microphysics,7587.324107300024,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec
c6_sphere_first_order,energy_source,sphere,400.0,Float64,true,0.0055187283956160335,0.0,0.0,0.0,5321.192030672508,-11588.167343953171,tropics,-208.0380058145646,sfc,radiation surface_flux microphysics,3359.148236054472,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec
c6_sphere_no_repair,energy_source,sphere,400.0,Float64,true,0.005889306323900263,0.0,0.0,0.0,5302.3918685635435,-11663.609666733266,tropics,-208.0416896420459,sfc,radiation surface_flux microphysics,3359.148236054472,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec
c6_sphere_repair,energy_source,sphere,400.0,Float64,true,0.005862904516248709,0.0,0.0,0.0,5302.3919455501455,-2.644127451236632e-53,sfc,-2.644127451236632e-53,sfc,radiation surface_flux microphysics,3359.148236054472,f3bbdb7bb2df71f74e455f92fe1f8690c0e9a6ec
c7_sphere_mp,energy_source,sphere,400.0,Float64,true,0.005889306323900263,0.0,0.0,0.0,5302.3918685635435,-11663.609666733266,tropics,-208.0416896420459,sfc,radiation surface_flux microphysics,3359.148236054472,414f5f1b0b621d0d09b58e641c5620bb867bdbfd
c8_column_1m,energy_source,column,10.0,Float64,false,0.021559923807741906,0.0,0.0,0.0,16217.419003866424,0.0,rad,0.0,rad,radiation surface_flux subsidence microphysics precipitation,15771.289692558163,c11d1d3b9b77b7ec3fe405fa15b9ed2ea0921355
c9_column_enthalpy,energy_source,column,10.0,Float64,false,1.9928684025348078e-5,0.0,0.0,0.0,14.162416613689857,-1.5582221809091977e-6,rad,-1.5582221809091977e-6,rad,radiation surface_flux subsidence microphysics,7587.324107300024,0bfb503722448c33f784ab5292d756c590610db3
c9_sphere_enthalpy,energy_source,sphere,400.0,Float64,true,0.000529350947731773,0.0,0.0,0.0,1182.8566757034137,-12509.733801915447,tropics,-397.05622564934305,sfc,radiation surface_flux microphysics,3359.148236054472,0bfb503722448c33f784ab5292d756c590610db3
